"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -6.64759645461E+001, +0.00000000000E+000
+7.50500000000E+009, -6.59502252257E+001, +0.00000000000E+000
+7.51000000000E+009, -7.03908766136E+001, +0.00000000000E+000
+7.51500000000E+009, -7.14987554342E+001, +0.00000000000E+000
+7.52000000000E+009, -7.18918566850E+001, +0.00000000000E+000
+7.52500000000E+009, -7.52040801944E+001, +0.00000000000E+000
+7.53000000000E+009, -7.49115450631E+001, +0.00000000000E+000
+7.53500000000E+009, -7.92058511184E+001, +0.00000000000E+000
+7.54000000000E+009, -7.20324157569E+001, +0.00000000000E+000
+7.54500000000E+009, -7.55631066917E+001, +0.00000000000E+000
+7.55000000000E+009, -8.02309475815E+001, +0.00000000000E+000
+7.55500000000E+009, -7.60367454464E+001, +0.00000000000E+000
+7.56000000000E+009, -7.59293559411E+001, +0.00000000000E+000
+7.56500000000E+009, -7.60285477557E+001, +0.00000000000E+000
+7.57000000000E+009, -7.39193813855E+001, +0.00000000000E+000
+7.57500000000E+009, -7.28483107728E+001, +0.00000000000E+000
+7.58000000000E+009, -7.06733471990E+001, +0.00000000000E+000
+7.58500000000E+009, -7.01246351474E+001, +0.00000000000E+000
+7.59000000000E+009, -7.07914898765E+001, +0.00000000000E+000
+7.59500000000E+009, -6.95283478489E+001, +0.00000000000E+000
+7.60000000000E+009, -7.14031538516E+001, +0.00000000000E+000
+7.60500000000E+009, -7.43580076531E+001, +0.00000000000E+000
+7.61000000000E+009, -7.51359372008E+001, +0.00000000000E+000
+7.61500000000E+009, -7.74907178986E+001, +0.00000000000E+000
+7.62000000000E+009, -7.65935641187E+001, +0.00000000000E+000
+7.62500000000E+009, -7.49504791993E+001, +0.00000000000E+000
+7.63000000000E+009, -7.90245910948E+001, +0.00000000000E+000
+7.63500000000E+009, -7.87662269011E+001, +0.00000000000E+000
+7.64000000000E+009, -8.17631564839E+001, +0.00000000000E+000
+7.64500000000E+009, -8.72895164939E+001, +0.00000000000E+000
+7.65000000000E+009, -8.41335282216E+001, +0.00000000000E+000
+7.65500000000E+009, -8.20109430957E+001, +0.00000000000E+000
+7.66000000000E+009, -8.40061450040E+001, +0.00000000000E+000
+7.66500000000E+009, -8.67160540612E+001, +0.00000000000E+000
+7.67000000000E+009, -8.17065185033E+001, +0.00000000000E+000
+7.67500000000E+009, -8.39367582849E+001, +0.00000000000E+000
+7.68000000000E+009, -8.36294577406E+001, +0.00000000000E+000
+7.68500000000E+009, -8.31025076366E+001, +0.00000000000E+000
+7.69000000000E+009, -8.08126171654E+001, +0.00000000000E+000
+7.69500000000E+009, -8.44457791247E+001, +0.00000000000E+000
+7.70000000000E+009, -8.06659138510E+001, +0.00000000000E+000
+7.70500000000E+009, -8.40090206734E+001, +0.00000000000E+000
+7.71000000000E+009, -8.11283234318E+001, +0.00000000000E+000
+7.71500000000E+009, -7.74447151514E+001, +0.00000000000E+000
+7.72000000000E+009, -7.62945771211E+001, +0.00000000000E+000
+7.72500000000E+009, -8.14824217859E+001, +0.00000000000E+000
+7.73000000000E+009, -7.92137229300E+001, +0.00000000000E+000
+7.73500000000E+009, -8.14375326090E+001, +0.00000000000E+000
+7.74000000000E+009, -8.55280927459E+001, +0.00000000000E+000
+7.74500000000E+009, -8.32711235470E+001, +0.00000000000E+000
+7.75000000000E+009, -8.69701863888E+001, +0.00000000000E+000
+7.75500000000E+009, -8.82005946897E+001, +0.00000000000E+000
+7.76000000000E+009, -9.14042957668E+001, +0.00000000000E+000
+7.76500000000E+009, -8.91113447869E+001, +0.00000000000E+000
+7.77000000000E+009, -9.26881550263E+001, +0.00000000000E+000
+7.77500000000E+009, -9.40244997526E+001, +0.00000000000E+000
+7.78000000000E+009, -9.32080282772E+001, +0.00000000000E+000
+7.78500000000E+009, -8.74854290644E+001, +0.00000000000E+000
+7.79000000000E+009, -9.21664978919E+001, +0.00000000000E+000
+7.79500000000E+009, -9.26606992891E+001, +0.00000000000E+000
+7.80000000000E+009, -8.87073215941E+001, +0.00000000000E+000
+7.80500000000E+009, -8.86890635700E+001, +0.00000000000E+000
+7.81000000000E+009, -9.21376250820E+001, +0.00000000000E+000
+7.81500000000E+009, -8.60538028597E+001, +0.00000000000E+000
+7.82000000000E+009, -8.78375103549E+001, +0.00000000000E+000
+7.82500000000E+009, -8.80898687284E+001, +0.00000000000E+000
+7.83000000000E+009, -9.32800053041E+001, +0.00000000000E+000
+7.83500000000E+009, -9.22152852507E+001, +0.00000000000E+000
+7.84000000000E+009, -9.44273721716E+001, +0.00000000000E+000
+7.84500000000E+009, -9.04684418645E+001, +0.00000000000E+000
+7.85000000000E+009, -9.43998826316E+001, +0.00000000000E+000
+7.85500000000E+009, -9.55500260664E+001, +0.00000000000E+000
+7.86000000000E+009, -9.45686822629E+001, +0.00000000000E+000
+7.86500000000E+009, -1.00547750184E+002, +0.00000000000E+000
+7.87000000000E+009, -1.00123603912E+002, +0.00000000000E+000
+7.87500000000E+009, -1.02337427740E+002, +0.00000000000E+000
+7.88000000000E+009, -1.05779346001E+002, +0.00000000000E+000
+7.88500000000E+009, -1.07185943488E+002, +0.00000000000E+000
+7.89000000000E+009, -1.05055386458E+002, +0.00000000000E+000
+7.89500000000E+009, -1.02601731320E+002, +0.00000000000E+000
+7.90000000000E+009, -1.07387549661E+002, +0.00000000000E+000
+7.90500000000E+009, -1.03623916758E+002, +0.00000000000E+000
+7.91000000000E+009, -1.03553886741E+002, +0.00000000000E+000
+7.91500000000E+009, -1.04210437072E+002, +0.00000000000E+000
+7.92000000000E+009, -1.01458593398E+002, +0.00000000000E+000
+7.92500000000E+009, -1.02947207406E+002, +0.00000000000E+000
+7.93000000000E+009, -1.07957582186E+002, +0.00000000000E+000
+7.93500000000E+009, -1.05910196876E+002, +0.00000000000E+000
+7.94000000000E+009, -1.05378811313E+002, +0.00000000000E+000
+7.94500000000E+009, -9.91603773111E+001, +0.00000000000E+000
+7.95000000000E+009, -1.01580843623E+002, +0.00000000000E+000
+7.95500000000E+009, -1.07762730280E+002, +0.00000000000E+000
+7.96000000000E+009, -1.00871500507E+002, +0.00000000000E+000
+7.96500000000E+009, -1.13843504262E+002, +0.00000000000E+000
+7.97000000000E+009, -1.12172756162E+002, +0.00000000000E+000
+7.97500000000E+009, -1.13853218058E+002, +0.00000000000E+000
+7.98000000000E+009, -1.15981341930E+002, +0.00000000000E+000
+7.98500000000E+009, -1.18343216262E+002, +0.00000000000E+000
+7.99000000000E+009, -1.15938955814E+002, +0.00000000000E+000
+7.99500000000E+009, -1.12828617907E+002, +0.00000000000E+000
+8.00000000000E+009, -1.12255071000E+002, +0.00000000000E+000
+8.00500000000E+009, -1.15696159063E+002, +0.00000000000E+000
+8.01000000000E+009, -1.15847059227E+002, +0.00000000000E+000
+8.01500000000E+009, -1.17185631609E+002, +0.00000000000E+000
+8.02000000000E+009, -1.17285412906E+002, +0.00000000000E+000
+8.02500000000E+009, -1.16451993229E+002, +0.00000000000E+000
+8.03000000000E+009, -1.18202247682E+002, +0.00000000000E+000
+8.03500000000E+009, -1.14990501753E+002, +0.00000000000E+000
+8.04000000000E+009, -1.14944815388E+002, +0.00000000000E+000
+8.04500000000E+009, -1.10752739620E+002, +0.00000000000E+000
+8.05000000000E+009, -1.09075888907E+002, +0.00000000000E+000
+8.05500000000E+009, -1.14454387588E+002, +0.00000000000E+000
+8.06000000000E+009, -1.11626391031E+002, +0.00000000000E+000
+8.06500000000E+009, -1.16408763238E+002, +0.00000000000E+000
+8.07000000000E+009, -1.11672582797E+002, +0.00000000000E+000
+8.07500000000E+009, -1.14579436003E+002, +0.00000000000E+000
+8.08000000000E+009, -1.22390632603E+002, +0.00000000000E+000
+8.08500000000E+009, -1.16135270085E+002, +0.00000000000E+000
+8.09000000000E+009, -1.26989126657E+002, +0.00000000000E+000
+8.09500000000E+009, -1.20482307585E+002, +0.00000000000E+000
+8.10000000000E+009, -1.22081384497E+002, +0.00000000000E+000
+8.10500000000E+009, -1.27522640996E+002, +0.00000000000E+000
+8.11000000000E+009, -1.27525526300E+002, +0.00000000000E+000
+8.11500000000E+009, -1.26224238936E+002, +0.00000000000E+000
+8.12000000000E+009, -1.28112619446E+002, +0.00000000000E+000
+8.12500000000E+009, -1.27011121564E+002, +0.00000000000E+000
+8.13000000000E+009, -1.26653578245E+002, +0.00000000000E+000
+8.13500000000E+009, -1.27046651996E+002, +0.00000000000E+000
+8.14000000000E+009, -1.13457124523E+002, +0.00000000000E+000
+8.14500000000E+009, -1.25334840218E+002, +0.00000000000E+000
+8.15000000000E+009, -1.19103085002E+002, +0.00000000000E+000
+8.15500000000E+009, -1.19229860867E+002, +0.00000000000E+000
+8.16000000000E+009, -1.19339667873E+002, +0.00000000000E+000
+8.16500000000E+009, -1.11557305450E+002, +0.00000000000E+000
+8.17000000000E+009, -1.15095482344E+002, +0.00000000000E+000
+8.17500000000E+009, -1.18582183713E+002, +0.00000000000E+000
+8.18000000000E+009, -1.18295883008E+002, +0.00000000000E+000
+8.18500000000E+009, -1.26246332364E+002, +0.00000000000E+000
+8.19000000000E+009, -1.19284605791E+002, +0.00000000000E+000
+8.19500000000E+009, -1.28077851549E+002, +0.00000000000E+000
+8.20000000000E+009, -1.20874333697E+002, +0.00000000000E+000
+8.20500000000E+009, -1.23000997695E+002, +0.00000000000E+000
+8.21000000000E+009, -1.28065257675E+002, +0.00000000000E+000
+8.21500000000E+009, -1.28954643660E+002, +0.00000000000E+000
+8.22000000000E+009, -1.30065058584E+002, +0.00000000000E+000
+8.22500000000E+009, -1.32274960335E+002, +0.00000000000E+000
+8.23000000000E+009, -1.31010159224E+002, +0.00000000000E+000
+8.23500000000E+009, -1.31475804555E+002, +0.00000000000E+000
+8.24000000000E+009, -1.38728394860E+002, +0.00000000000E+000
+8.24500000000E+009, -1.22970541778E+002, +0.00000000000E+000
+8.25000000000E+009, -1.28510428301E+002, +0.00000000000E+000
+8.25500000000E+009, -1.23127085461E+002, +0.00000000000E+000
+8.26000000000E+009, -1.19838199166E+002, +0.00000000000E+000
+8.26500000000E+009, -1.20483278087E+002, +0.00000000000E+000
+8.27000000000E+009, -1.17910240712E+002, +0.00000000000E+000
+8.27500000000E+009, -1.24492093100E+002, +0.00000000000E+000
+8.28000000000E+009, -1.21501244120E+002, +0.00000000000E+000
+8.28500000000E+009, -1.23308275114E+002, +0.00000000000E+000
+8.29000000000E+009, -1.21791161882E+002, +0.00000000000E+000
+8.29500000000E+009, -1.20877036051E+002, +0.00000000000E+000
+8.30000000000E+009, -1.14040842513E+002, +0.00000000000E+000
+8.30500000000E+009, -1.16415555510E+002, +0.00000000000E+000
+8.31000000000E+009, -1.27027100079E+002, +0.00000000000E+000
+8.31500000000E+009, -1.31384280887E+002, +0.00000000000E+000
+8.32000000000E+009, -1.31509717116E+002, +0.00000000000E+000
+8.32500000000E+009, -1.29563422414E+002, +0.00000000000E+000
+8.33000000000E+009, -1.31895838001E+002, +0.00000000000E+000
+8.33500000000E+009, -1.38664575379E+002, +0.00000000000E+000
+8.34000000000E+009, -1.40460419384E+002, +0.00000000000E+000
+8.34500000000E+009, -1.22558371752E+002, +0.00000000000E+000
+8.35000000000E+009, -1.25788796348E+002, +0.00000000000E+000
+8.35500000000E+009, -1.30698986357E+002, +0.00000000000E+000
+8.36000000000E+009, -1.18226828207E+002, +0.00000000000E+000
+8.36500000000E+009, -1.20777583611E+002, +0.00000000000E+000
+8.37000000000E+009, -1.22962445499E+002, +0.00000000000E+000
+8.37500000000E+009, -1.35754308984E+002, +0.00000000000E+000
+8.38000000000E+009, -1.25660715334E+002, +0.00000000000E+000
+8.38500000000E+009, -1.38285142512E+002, +0.00000000000E+000
+8.39000000000E+009, -1.15250746187E+002, +0.00000000000E+000
+8.39500000000E+009, -1.28418398278E+002, +0.00000000000E+000
+8.40000000000E+009, -1.20599932064E+002, +0.00000000000E+000
+8.40500000000E+009, -1.20094173206E+002, +0.00000000000E+000
+8.41000000000E+009, -1.18192487377E+002, +0.00000000000E+000
+8.41500000000E+009, -1.16577483471E+002, +0.00000000000E+000
+8.42000000000E+009, -1.21288611450E+002, +0.00000000000E+000
+8.42500000000E+009, -1.27535915231E+002, +0.00000000000E+000
+8.43000000000E+009, -1.31001026494E+002, +0.00000000000E+000
+8.43500000000E+009, -1.24095642972E+002, +0.00000000000E+000
+8.44000000000E+009, -1.33356646474E+002, +0.00000000000E+000
+8.44500000000E+009, -1.47070183243E+002, +0.00000000000E+000
+8.45000000000E+009, -1.36867213113E+002, +0.00000000000E+000
+8.45500000000E+009, -1.41440482947E+002, +0.00000000000E+000
+8.46000000000E+009, -1.43495844862E+002, +0.00000000000E+000
+8.46500000000E+009, -1.38628883418E+002, +0.00000000000E+000
+8.47000000000E+009, -1.35501904791E+002, +0.00000000000E+000
+8.47500000000E+009, -1.37873247763E+002, +0.00000000000E+000
+8.48000000000E+009, -1.37079326446E+002, +0.00000000000E+000
+8.48500000000E+009, -1.39635209345E+002, +0.00000000000E+000
+8.49000000000E+009, -1.24223477490E+002, +0.00000000000E+000
+8.49500000000E+009, -1.31629136436E+002, +0.00000000000E+000
+8.50000000000E+009, -1.34257863539E+002, +0.00000000000E+000
