"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +1.57178274236E-001, +0.00000000000E+000
+7.50500000000E+009, +1.40369688120E-001, +0.00000000000E+000
+7.51000000000E+009, +1.60306848606E-001, +0.00000000000E+000
+7.51500000000E+009, +1.56871927456E-001, +0.00000000000E+000
+7.52000000000E+009, +1.54549609403E-001, +0.00000000000E+000
+7.52500000000E+009, +1.67928717300E-001, +0.00000000000E+000
+7.53000000000E+009, +1.58979615397E-001, +0.00000000000E+000
+7.53500000000E+009, +1.64208850484E-001, +0.00000000000E+000
+7.54000000000E+009, +1.64012983218E-001, +0.00000000000E+000
+7.54500000000E+009, +1.53963246973E-001, +0.00000000000E+000
+7.55000000000E+009, +1.51082980479E-001, +0.00000000000E+000
+7.55500000000E+009, +1.43660942969E-001, +0.00000000000E+000
+7.56000000000E+009, +1.51399168358E-001, +0.00000000000E+000
+7.56500000000E+009, +1.61469370388E-001, +0.00000000000E+000
+7.57000000000E+009, +1.34538329761E-001, +0.00000000000E+000
+7.57500000000E+009, +1.41677235453E-001, +0.00000000000E+000
+7.58000000000E+009, +1.48407329512E-001, +0.00000000000E+000
+7.58500000000E+009, +1.27664164707E-001, +0.00000000000E+000
+7.59000000000E+009, +1.26421572987E-001, +0.00000000000E+000
+7.59500000000E+009, +1.34377926560E-001, +0.00000000000E+000
+7.60000000000E+009, +1.25949409010E-001, +0.00000000000E+000
+7.60500000000E+009, +1.26263194046E-001, +0.00000000000E+000
+7.61000000000E+009, +1.34462421687E-001, +0.00000000000E+000
+7.61500000000E+009, +1.25220816373E-001, +0.00000000000E+000
+7.62000000000E+009, +1.33744386415E-001, +0.00000000000E+000
+7.62500000000E+009, +1.29723532544E-001, +0.00000000000E+000
+7.63000000000E+009, +1.29747662454E-001, +0.00000000000E+000
+7.63500000000E+009, +1.21682156422E-001, +0.00000000000E+000
+7.64000000000E+009, +1.32682816032E-001, +0.00000000000E+000
+7.64500000000E+009, +1.24962513372E-001, +0.00000000000E+000
+7.65000000000E+009, +1.27114534869E-001, +0.00000000000E+000
+7.65500000000E+009, +1.23004842519E-001, +0.00000000000E+000
+7.66000000000E+009, +1.26939158680E-001, +0.00000000000E+000
+7.66500000000E+009, +1.27721230410E-001, +0.00000000000E+000
+7.67000000000E+009, +1.33068257545E-001, +0.00000000000E+000
+7.67500000000E+009, +1.19623997368E-001, +0.00000000000E+000
+7.68000000000E+009, +1.16143956060E-001, +0.00000000000E+000
+7.68500000000E+009, +1.20905239260E-001, +0.00000000000E+000
+7.69000000000E+009, +1.16775269514E-001, +0.00000000000E+000
+7.69500000000E+009, +1.09608666055E-001, +0.00000000000E+000
+7.70000000000E+009, +1.10695953383E-001, +0.00000000000E+000
+7.70500000000E+009, +1.06308686579E-001, +0.00000000000E+000
+7.71000000000E+009, +1.19040289160E-001, +0.00000000000E+000
+7.71500000000E+009, +1.00352356668E-001, +0.00000000000E+000
+7.72000000000E+009, +1.01207833099E-001, +0.00000000000E+000
+7.72500000000E+009, +1.11529160257E-001, +0.00000000000E+000
+7.73000000000E+009, +1.10828731582E-001, +0.00000000000E+000
+7.73500000000E+009, +1.17894915487E-001, +0.00000000000E+000
+7.74000000000E+009, +1.16062111798E-001, +0.00000000000E+000
+7.74500000000E+009, +1.22569071699E-001, +0.00000000000E+000
+7.75000000000E+009, +1.19151910721E-001, +0.00000000000E+000
+7.75500000000E+009, +1.11308983862E-001, +0.00000000000E+000
+7.76000000000E+009, +1.10311688086E-001, +0.00000000000E+000
+7.76500000000E+009, +1.08579770031E-001, +0.00000000000E+000
+7.77000000000E+009, +1.18661869233E-001, +0.00000000000E+000
+7.77500000000E+009, +1.20706644593E-001, +0.00000000000E+000
+7.78000000000E+009, +1.10515854771E-001, +0.00000000000E+000
+7.78500000000E+009, +9.74511616275E-002, +0.00000000000E+000
+7.79000000000E+009, +1.00255736164E-001, +0.00000000000E+000
+7.79500000000E+009, +1.10086855097E-001, +0.00000000000E+000
+7.80000000000E+009, +1.08918057200E-001, +0.00000000000E+000
+7.80500000000E+009, +9.69678655472E-002, +0.00000000000E+000
+7.81000000000E+009, +1.13747960921E-001, +0.00000000000E+000
+7.81500000000E+009, +1.22958118192E-001, +0.00000000000E+000
+7.82000000000E+009, +1.12409990647E-001, +0.00000000000E+000
+7.82500000000E+009, +1.12012233435E-001, +0.00000000000E+000
+7.83000000000E+009, +1.14576083905E-001, +0.00000000000E+000
+7.83500000000E+009, +1.13813712528E-001, +0.00000000000E+000
+7.84000000000E+009, +1.06374405967E-001, +0.00000000000E+000
+7.84500000000E+009, +1.05053042695E-001, +0.00000000000E+000
