"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +3.37205959832E-001, +0.00000000000E+000
+7.50500000000E+009, +3.19088900750E-001, +0.00000000000E+000
+7.51000000000E+009, +3.09254888785E-001, +0.00000000000E+000
+7.51500000000E+009, +3.02984854387E-001, +0.00000000000E+000
+7.52000000000E+009, +3.01720440179E-001, +0.00000000000E+000
+7.52500000000E+009, +2.96169618785E-001, +0.00000000000E+000
+7.53000000000E+009, +2.98953635046E-001, +0.00000000000E+000
+7.53500000000E+009, +2.98300208713E-001, +0.00000000000E+000
+7.54000000000E+009, +3.06097279895E-001, +0.00000000000E+000
+7.54500000000E+009, +3.14469651857E-001, +0.00000000000E+000
+7.55000000000E+009, +3.25854763956E-001, +0.00000000000E+000
+7.55500000000E+009, +3.36059493959E-001, +0.00000000000E+000
+7.56000000000E+009, +3.49360412264E-001, +0.00000000000E+000
+7.56500000000E+009, +3.57368695484E-001, +0.00000000000E+000
+7.57000000000E+009, +3.63352378020E-001, +0.00000000000E+000
+7.57500000000E+009, +3.57269877204E-001, +0.00000000000E+000
+7.58000000000E+009, +3.61443691692E-001, +0.00000000000E+000
+7.58500000000E+009, +3.46412273985E-001, +0.00000000000E+000
+7.59000000000E+009, +3.41812334665E-001, +0.00000000000E+000
+7.59500000000E+009, +3.25382187276E-001, +0.00000000000E+000
+7.60000000000E+009, +3.15432592403E-001, +0.00000000000E+000
+7.60500000000E+009, +3.05369506328E-001, +0.00000000000E+000
+7.61000000000E+009, +2.92686611059E-001, +0.00000000000E+000
+7.61500000000E+009, +2.87590814971E-001, +0.00000000000E+000
+7.62000000000E+009, +2.85399089569E-001, +0.00000000000E+000
+7.62500000000E+009, +2.80171114414E-001, +0.00000000000E+000
+7.63000000000E+009, +2.86171691254E-001, +0.00000000000E+000
+7.63500000000E+009, +2.90211019800E-001, +0.00000000000E+000
+7.64000000000E+009, +3.03048481678E-001, +0.00000000000E+000
+7.64500000000E+009, +3.20548748107E-001, +0.00000000000E+000
+7.65000000000E+009, +3.26995914693E-001, +0.00000000000E+000
+7.65500000000E+009, +3.35293729082E-001, +0.00000000000E+000
+7.66000000000E+009, +3.46369853598E-001, +0.00000000000E+000
+7.66500000000E+009, +3.54796764284E-001, +0.00000000000E+000
+7.67000000000E+009, +3.66059315021E-001, +0.00000000000E+000
+7.67500000000E+009, +3.46984014505E-001, +0.00000000000E+000
+7.68000000000E+009, +3.39854452703E-001, +0.00000000000E+000
+7.68500000000E+009, +3.31705618091E-001, +0.00000000000E+000
+7.69000000000E+009, +3.17243691103E-001, +0.00000000000E+000
+7.69500000000E+009, +3.06604487971E-001, +0.00000000000E+000
+7.70000000000E+009, +2.95727288050E-001, +0.00000000000E+000
+7.70500000000E+009, +2.88227107188E-001, +0.00000000000E+000
+7.71000000000E+009, +2.78795951905E-001, +0.00000000000E+000
+7.71500000000E+009, +2.80953907326E-001, +0.00000000000E+000
+7.72000000000E+009, +2.74174977572E-001, +0.00000000000E+000
+7.72500000000E+009, +2.83537312464E-001, +0.00000000000E+000
+7.73000000000E+009, +2.90390862746E-001, +0.00000000000E+000
+7.73500000000E+009, +2.99846347808E-001, +0.00000000000E+000
+7.74000000000E+009, +3.19500178723E-001, +0.00000000000E+000
+7.74500000000E+009, +3.26145200748E-001, +0.00000000000E+000
+7.75000000000E+009, +3.45857328695E-001, +0.00000000000E+000
+7.75500000000E+009, +3.57687205650E-001, +0.00000000000E+000
+7.76000000000E+009, +3.63232946297E-001, +0.00000000000E+000
+7.76500000000E+009, +3.68991569955E-001, +0.00000000000E+000
+7.77000000000E+009, +3.61308709393E-001, +0.00000000000E+000
+7.77500000000E+009, +3.60614589154E-001, +0.00000000000E+000
+7.78000000000E+009, +3.50558655920E-001, +0.00000000000E+000
+7.78500000000E+009, +3.31896960706E-001, +0.00000000000E+000
+7.79000000000E+009, +3.27655328703E-001, +0.00000000000E+000
+7.79500000000E+009, +3.13119243563E-001, +0.00000000000E+000
+7.80000000000E+009, +2.99787676496E-001, +0.00000000000E+000
+7.80500000000E+009, +2.90321610130E-001, +0.00000000000E+000
+7.81000000000E+009, +2.83300409949E-001, +0.00000000000E+000
+7.81500000000E+009, +2.81304919967E-001, +0.00000000000E+000
+7.82000000000E+009, +2.86031095195E-001, +0.00000000000E+000
+7.82500000000E+009, +2.90442911724E-001, +0.00000000000E+000
+7.83000000000E+009, +3.03273177527E-001, +0.00000000000E+000
+7.83500000000E+009, +3.10499818096E-001, +0.00000000000E+000
+7.84000000000E+009, +3.28461628548E-001, +0.00000000000E+000
+7.84500000000E+009, +3.43647337179E-001, +0.00000000000E+000
+7.85000000000E+009, +3.53641313012E-001, +0.00000000000E+000
+7.85500000000E+009, +3.65777608144E-001, +0.00000000000E+000
+7.86000000000E+009, +3.74365589372E-001, +0.00000000000E+000
+7.86500000000E+009, +3.72837787882E-001, +0.00000000000E+000
+7.87000000000E+009, +3.74317215381E-001, +0.00000000000E+000
+7.87500000000E+009, +3.60838006050E-001, +0.00000000000E+000
+7.88000000000E+009, +3.54042498719E-001, +0.00000000000E+000
+7.88500000000E+009, +3.44247709292E-001, +0.00000000000E+000
+7.89000000000E+009, +3.31117410649E-001, +0.00000000000E+000
+7.89500000000E+009, +3.13566805713E-001, +0.00000000000E+000
+7.90000000000E+009, +3.05982825351E-001, +0.00000000000E+000
+7.90500000000E+009, +3.05638561629E-001, +0.00000000000E+000
+7.91000000000E+009, +3.00087077041E-001, +0.00000000000E+000
+7.91500000000E+009, +3.02785023863E-001, +0.00000000000E+000
+7.92000000000E+009, +3.03821820925E-001, +0.00000000000E+000
+7.92500000000E+009, +3.20252874815E-001, +0.00000000000E+000
+7.93000000000E+009, +3.24761786204E-001, +0.00000000000E+000
+7.93500000000E+009, +3.40003461332E-001, +0.00000000000E+000
+7.94000000000E+009, +3.57277856263E-001, +0.00000000000E+000
+7.94500000000E+009, +3.64026629772E-001, +0.00000000000E+000
+7.95000000000E+009, +3.77223894820E-001, +0.00000000000E+000
+7.95500000000E+009, +3.86066463330E-001, +0.00000000000E+000
+7.96000000000E+009, +3.83144087612E-001, +0.00000000000E+000
+7.96500000000E+009, +3.77328614440E-001, +0.00000000000E+000
+7.97000000000E+009, +3.72869632708E-001, +0.00000000000E+000
+7.97500000000E+009, +3.71894845824E-001, +0.00000000000E+000
+7.98000000000E+009, +3.60173418727E-001, +0.00000000000E+000
+7.98500000000E+009, +3.48666237759E-001, +0.00000000000E+000
+7.99000000000E+009, +3.37160761022E-001, +0.00000000000E+000
+7.99500000000E+009, +3.40585514043E-001, +0.00000000000E+000
+8.00000000000E+009, +3.25678054886E-001, +0.00000000000E+000
+8.00500000000E+009, +3.19027846425E-001, +0.00000000000E+000
+8.01000000000E+009, +3.25060263671E-001, +0.00000000000E+000
+8.01500000000E+009, +3.29130610751E-001, +0.00000000000E+000
+8.02000000000E+009, +3.34403570438E-001, +0.00000000000E+000
+8.02500000000E+009, +3.46602497655E-001, +0.00000000000E+000
+8.03000000000E+009, +3.53188006775E-001, +0.00000000000E+000
+8.03500000000E+009, +3.61406379747E-001, +0.00000000000E+000
+8.04000000000E+009, +3.78863832789E-001, +0.00000000000E+000
+8.04500000000E+009, +3.85299572727E-001, +0.00000000000E+000
+8.05000000000E+009, +3.89583517745E-001, +0.00000000000E+000
+8.05500000000E+009, +3.91520865106E-001, +0.00000000000E+000
+8.06000000000E+009, +3.90739051755E-001, +0.00000000000E+000
+8.06500000000E+009, +3.83557855191E-001, +0.00000000000E+000
+8.07000000000E+009, +3.88396508575E-001, +0.00000000000E+000
+8.07500000000E+009, +3.71317055491E-001, +0.00000000000E+000
+8.08000000000E+009, +3.62854709350E-001, +0.00000000000E+000
+8.08500000000E+009, +3.54293127778E-001, +0.00000000000E+000
+8.09000000000E+009, +3.42424278783E-001, +0.00000000000E+000
+8.09500000000E+009, +3.45102871948E-001, +0.00000000000E+000
+8.10000000000E+009, +3.32759623886E-001, +0.00000000000E+000
+8.10500000000E+009, +3.41063962077E-001, +0.00000000000E+000
+8.11000000000E+009, +3.37132606171E-001, +0.00000000000E+000
+8.11500000000E+009, +3.33188155548E-001, +0.00000000000E+000
+8.12000000000E+009, +3.41693869369E-001, +0.00000000000E+000
+8.12500000000E+009, +3.51132573053E-001, +0.00000000000E+000
+8.13000000000E+009, +3.66843953300E-001, +0.00000000000E+000
+8.13500000000E+009, +3.70900930513E-001, +0.00000000000E+000
+8.14000000000E+009, +3.80408190824E-001, +0.00000000000E+000
+8.14500000000E+009, +3.84960033578E-001, +0.00000000000E+000
+8.15000000000E+009, +3.84232994941E-001, +0.00000000000E+000
+8.15500000000E+009, +3.89908958873E-001, +0.00000000000E+000
+8.16000000000E+009, +3.95508386705E-001, +0.00000000000E+000
+8.16500000000E+009, +3.90782024100E-001, +0.00000000000E+000
+8.17000000000E+009, +3.84725187204E-001, +0.00000000000E+000
+8.17500000000E+009, +3.73493818763E-001, +0.00000000000E+000
+8.18000000000E+009, +3.63797086599E-001, +0.00000000000E+000
+8.18500000000E+009, +3.61048334260E-001, +0.00000000000E+000
+8.19000000000E+009, +3.55393717015E-001, +0.00000000000E+000
+8.19500000000E+009, +3.46091600459E-001, +0.00000000000E+000
+8.20000000000E+009, +3.32906600253E-001, +0.00000000000E+000
+8.20500000000E+009, +3.37532513281E-001, +0.00000000000E+000
+8.21000000000E+009, +3.34559176400E-001, +0.00000000000E+000
+8.21500000000E+009, +3.38227581618E-001, +0.00000000000E+000
+8.22000000000E+009, +3.44030634063E-001, +0.00000000000E+000
