"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -8.50695823813E+001, +0.00000000000E+000
+7.50500000000E+009, -8.59697313812E+001, +0.00000000000E+000
+7.51000000000E+009, -8.70650010124E+001, +0.00000000000E+000
+7.51500000000E+009, -8.65381176262E+001, +0.00000000000E+000
+7.52000000000E+009, -8.59905957196E+001, +0.00000000000E+000
+7.52500000000E+009, -8.64557668319E+001, +0.00000000000E+000
+7.53000000000E+009, -8.54611727576E+001, +0.00000000000E+000
+7.53500000000E+009, -8.43002987700E+001, +0.00000000000E+000
+7.54000000000E+009, -8.41532573870E+001, +0.00000000000E+000
+7.54500000000E+009, -8.50918767279E+001, +0.00000000000E+000
+7.55000000000E+009, -8.52903222981E+001, +0.00000000000E+000
+7.55500000000E+009, -8.78016650289E+001, +0.00000000000E+000
+7.56000000000E+009, -9.01427825218E+001, +0.00000000000E+000
+7.56500000000E+009, -9.33590795185E+001, +0.00000000000E+000
+7.57000000000E+009, -9.61645482527E+001, +0.00000000000E+000
+7.57500000000E+009, -9.97440486339E+001, +0.00000000000E+000
+7.58000000000E+009, -1.02738399456E+002, +0.00000000000E+000
+7.58500000000E+009, -1.06879816315E+002, +0.00000000000E+000
+7.59000000000E+009, -1.09672859793E+002, +0.00000000000E+000
+7.59500000000E+009, -1.11919333514E+002, +0.00000000000E+000
+7.60000000000E+009, -1.13414536111E+002, +0.00000000000E+000
+7.60500000000E+009, -1.14080838769E+002, +0.00000000000E+000
+7.61000000000E+009, -1.14749737863E+002, +0.00000000000E+000
+7.61500000000E+009, -1.13335638586E+002, +0.00000000000E+000
+7.62000000000E+009, -1.11664690436E+002, +0.00000000000E+000
+7.62500000000E+009, -1.10962553986E+002, +0.00000000000E+000
+7.63000000000E+009, -1.09665080092E+002, +0.00000000000E+000
+7.63500000000E+009, -1.09216707908E+002, +0.00000000000E+000
+7.64000000000E+009, -1.07376819946E+002, +0.00000000000E+000
+7.64500000000E+009, -1.09236400592E+002, +0.00000000000E+000
+7.65000000000E+009, -1.10062905519E+002, +0.00000000000E+000
