"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +1.67769326566E-003, +0.00000000000E+000
+7.50500000000E+009, +1.32116945522E-003, +0.00000000000E+000
+7.51000000000E+009, +1.55588186149E-003, +0.00000000000E+000
+7.51500000000E+009, +1.09934821197E-003, +0.00000000000E+000
+7.52000000000E+009, +3.17551953613E-003, +0.00000000000E+000
+7.52500000000E+009, +3.97129189906E-003, +0.00000000000E+000
+7.53000000000E+009, +3.82580468213E-003, +0.00000000000E+000
+7.53500000000E+009, +4.07604910714E-003, +0.00000000000E+000
+7.54000000000E+009, +3.28127982416E-003, +0.00000000000E+000
+7.54500000000E+009, +3.17932305242E-003, +0.00000000000E+000
+7.55000000000E+009, +2.63498565196E-003, +0.00000000000E+000
+7.55500000000E+009, +2.08590785854E-003, +0.00000000000E+000
+7.56000000000E+009, +3.91763696997E-003, +0.00000000000E+000
+7.56500000000E+009, +2.06945791048E-003, +0.00000000000E+000
+7.57000000000E+009, +3.46757768705E-003, +0.00000000000E+000
+7.57500000000E+009, +4.09076408987E-003, +0.00000000000E+000
+7.58000000000E+009, +3.48721586761E-003, +0.00000000000E+000
+7.58500000000E+009, +1.91100252957E-003, +0.00000000000E+000
+7.59000000000E+009, +1.50756097655E-003, +0.00000000000E+000
+7.59500000000E+009, +9.53126127471E-004, +0.00000000000E+000
+7.60000000000E+009, +1.61057937695E-003, +0.00000000000E+000
+7.60500000000E+009, +1.92584935656E-003, +0.00000000000E+000
+7.61000000000E+009, +2.09396945136E-003, +0.00000000000E+000
+7.61500000000E+009, +5.75500586144E-003, +0.00000000000E+000
+7.62000000000E+009, +1.73983010873E-003, +0.00000000000E+000
+7.62500000000E+009, +2.73932438027E-003, +0.00000000000E+000
+7.63000000000E+009, +1.77832286123E-003, +0.00000000000E+000
+7.63500000000E+009, +5.04055860281E-003, +0.00000000000E+000
+7.64000000000E+009, +4.22468424883E-003, +0.00000000000E+000
+7.64500000000E+009, +3.41442236202E-003, +0.00000000000E+000
