"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +9.51214743774E+001, +0.00000000000E+000
+7.50500000000E+009, -1.65004556392E+002, +0.00000000000E+000
+7.51000000000E+009, +7.69551449798E+001, +0.00000000000E+000
+7.51500000000E+009, -1.55174457283E+002, +0.00000000000E+000
+7.52000000000E+009, +4.20645653144E+001, +0.00000000000E+000
+7.52500000000E+009, -1.40890208967E+002, +0.00000000000E+000
+7.53000000000E+009, -6.76419908742E+001, +0.00000000000E+000
+7.53500000000E+009, -5.52901957731E+000, +0.00000000000E+000
+7.54000000000E+009, -1.60016081054E+002, +0.00000000000E+000
+7.54500000000E+009, -5.28610501624E+001, +0.00000000000E+000
+7.55000000000E+009, +6.94897643012E+001, +0.00000000000E+000
+7.55500000000E+009, +5.87630125305E+001, +0.00000000000E+000
+7.56000000000E+009, -1.78565889057E+002, +0.00000000000E+000
+7.56500000000E+009, -6.89058755832E+001, +0.00000000000E+000
+7.57000000000E+009, +1.70509387284E+002, +0.00000000000E+000
+7.57500000000E+009, +8.88145569237E+001, +0.00000000000E+000
+7.58000000000E+009, +7.75352590326E+001, +0.00000000000E+000
+7.58500000000E+009, +6.42583013046E+001, +0.00000000000E+000
+7.59000000000E+009, -9.01468788933E+001, +0.00000000000E+000
+7.59500000000E+009, +1.23228348002E+002, +0.00000000000E+000
+7.60000000000E+009, +1.51971905863E+002, +0.00000000000E+000
+7.60500000000E+009, -6.58388348087E+001, +0.00000000000E+000
+7.61000000000E+009, -8.69843001249E+001, +0.00000000000E+000
+7.61500000000E+009, -1.58998960865E+001, +0.00000000000E+000
+7.62000000000E+009, -1.51855375282E+002, +0.00000000000E+000
+7.62500000000E+009, -1.15842834464E+002, +0.00000000000E+000
+7.63000000000E+009, -1.62773879653E+002, +0.00000000000E+000
+7.63500000000E+009, -1.27158188001E+002, +0.00000000000E+000
+7.64000000000E+009, -9.00759039156E+001, +0.00000000000E+000
+7.64500000000E+009, +1.72593515783E+002, +0.00000000000E+000
+7.65000000000E+009, +8.22702021386E+001, +0.00000000000E+000
+7.65500000000E+009, +1.63710575737E+002, +0.00000000000E+000
+7.66000000000E+009, -1.61576561338E+002, +0.00000000000E+000
+7.66500000000E+009, +9.42109303435E+001, +0.00000000000E+000
+7.67000000000E+009, -5.41059843807E+000, +0.00000000000E+000
+7.67500000000E+009, +1.47635370301E+002, +0.00000000000E+000
+7.68000000000E+009, -1.11553868249E+002, +0.00000000000E+000
+7.68500000000E+009, -1.01396664644E+002, +0.00000000000E+000
+7.69000000000E+009, -7.91551292192E+001, +0.00000000000E+000
+7.69500000000E+009, -1.52541570158E+002, +0.00000000000E+000
+7.70000000000E+009, -1.24323584569E+002, +0.00000000000E+000
+7.70500000000E+009, +1.59198541152E+002, +0.00000000000E+000
+7.71000000000E+009, -1.45913906412E+002, +0.00000000000E+000
+7.71500000000E+009, -6.50719166484E+001, +0.00000000000E+000
+7.72000000000E+009, -1.39811508888E+002, +0.00000000000E+000
+7.72500000000E+009, +1.00614045608E+002, +0.00000000000E+000
+7.73000000000E+009, +3.16453227134E+000, +0.00000000000E+000
+7.73500000000E+009, +1.71598793344E+002, +0.00000000000E+000
+7.74000000000E+009, -1.71764648286E+002, +0.00000000000E+000
+7.74500000000E+009, +8.83082573192E+001, +0.00000000000E+000
+7.75000000000E+009, -1.50899539898E+002, +0.00000000000E+000
+7.75500000000E+009, -1.76795733887E+002, +0.00000000000E+000
+7.76000000000E+009, +1.77395866919E+002, +0.00000000000E+000
+7.76500000000E+009, +1.48838523503E+002, +0.00000000000E+000
+7.77000000000E+009, +1.48520085811E+002, +0.00000000000E+000
+7.77500000000E+009, -1.78691946272E+002, +0.00000000000E+000
+7.78000000000E+009, +1.25111266981E+002, +0.00000000000E+000
+7.78500000000E+009, +9.59314815263E+001, +0.00000000000E+000
+7.79000000000E+009, +1.57677960907E+002, +0.00000000000E+000
+7.79500000000E+009, +1.19822273974E+002, +0.00000000000E+000
+7.80000000000E+009, -1.61631449472E+002, +0.00000000000E+000
+7.80500000000E+009, +1.41682461425E+002, +0.00000000000E+000
+7.81000000000E+009, +1.41581917350E+002, +0.00000000000E+000
+7.81500000000E+009, +1.30491177680E+002, +0.00000000000E+000
+7.82000000000E+009, +1.60879962139E+002, +0.00000000000E+000
+7.82500000000E+009, +1.28920849783E+002, +0.00000000000E+000
+7.83000000000E+009, +1.01850033057E+002, +0.00000000000E+000
+7.83500000000E+009, +1.10215444867E+002, +0.00000000000E+000
+7.84000000000E+009, +1.22278219310E+002, +0.00000000000E+000
+7.84500000000E+009, +1.46859209490E+002, +0.00000000000E+000
+7.85000000000E+009, +1.07012092708E+002, +0.00000000000E+000
+7.85500000000E+009, +9.08302934730E+001, +0.00000000000E+000
+7.86000000000E+009, +9.56274856762E+001, +0.00000000000E+000
+7.86500000000E+009, -1.74748303777E+002, +0.00000000000E+000
+7.87000000000E+009, +1.21641581926E+002, +0.00000000000E+000
+7.87500000000E+009, +1.43103843525E+002, +0.00000000000E+000
+7.88000000000E+009, +1.29673579527E+002, +0.00000000000E+000
+7.88500000000E+009, +1.60848613224E+002, +0.00000000000E+000
+7.89000000000E+009, +1.36388648561E+002, +0.00000000000E+000
+7.89500000000E+009, +1.10184110287E+002, +0.00000000000E+000
+7.90000000000E+009, +9.64056804360E+001, +0.00000000000E+000
+7.90500000000E+009, +1.00520711670E+002, +0.00000000000E+000
+7.91000000000E+009, +1.00764675048E+002, +0.00000000000E+000
+7.91500000000E+009, +1.08199074320E+002, +0.00000000000E+000
+7.92000000000E+009, +1.02330560276E+002, +0.00000000000E+000
+7.92500000000E+009, +1.17219082177E+002, +0.00000000000E+000
+7.93000000000E+009, +1.11618112733E+002, +0.00000000000E+000
+7.93500000000E+009, +9.29069614587E+001, +0.00000000000E+000
+7.94000000000E+009, +1.03760099773E+002, +0.00000000000E+000
+7.94500000000E+009, +5.61355250277E+001, +0.00000000000E+000
+7.95000000000E+009, +1.14245192459E+002, +0.00000000000E+000
+7.95500000000E+009, +1.09262737801E+002, +0.00000000000E+000
+7.96000000000E+009, +1.30509342147E+002, +0.00000000000E+000
+7.96500000000E+009, +1.11230088343E+002, +0.00000000000E+000
+7.97000000000E+009, +1.11651904918E+002, +0.00000000000E+000
+7.97500000000E+009, +8.77914968759E+001, +0.00000000000E+000
+7.98000000000E+009, +5.03333165379E+001, +0.00000000000E+000
+7.98500000000E+009, +9.41871494904E+001, +0.00000000000E+000
+7.99000000000E+009, +1.20875451423E+002, +0.00000000000E+000
+7.99500000000E+009, +8.52707858181E+001, +0.00000000000E+000
+8.00000000000E+009, -3.45155881962E+000, +0.00000000000E+000
+8.00500000000E+009, +1.38337748024E+002, +0.00000000000E+000
+8.01000000000E+009, +9.63228818798E+001, +0.00000000000E+000
+8.01500000000E+009, +1.11427768834E+002, +0.00000000000E+000
+8.02000000000E+009, +7.60719932525E+001, +0.00000000000E+000
+8.02500000000E+009, +7.50367822807E+001, +0.00000000000E+000
+8.03000000000E+009, +1.29715913520E+002, +0.00000000000E+000
+8.03500000000E+009, +9.90623951945E+001, +0.00000000000E+000
+8.04000000000E+009, +6.97433279996E+001, +0.00000000000E+000
+8.04500000000E+009, -2.14873996790E+001, +0.00000000000E+000
+8.05000000000E+009, -3.89674096876E+001, +0.00000000000E+000
+8.05500000000E+009, +3.43115151546E+001, +0.00000000000E+000
+8.06000000000E+009, +7.90687352650E+001, +0.00000000000E+000
+8.06500000000E+009, +6.48139336676E+001, +0.00000000000E+000
+8.07000000000E+009, +6.32162616446E+001, +0.00000000000E+000
+8.07500000000E+009, +4.25679105855E+001, +0.00000000000E+000
+8.08000000000E+009, +6.91736009259E+001, +0.00000000000E+000
+8.08500000000E+009, +8.83931219910E+001, +0.00000000000E+000
+8.09000000000E+009, +9.25739615511E+001, +0.00000000000E+000
+8.09500000000E+009, +2.10193551603E+000, +0.00000000000E+000
+8.10000000000E+009, +8.45782307743E+001, +0.00000000000E+000
+8.10500000000E+009, +4.24054405748E+001, +0.00000000000E+000
+8.11000000000E+009, +3.99071397648E+001, +0.00000000000E+000
+8.11500000000E+009, +3.94704403388E+001, +0.00000000000E+000
+8.12000000000E+009, +3.60533695256E+001, +0.00000000000E+000
+8.12500000000E+009, +2.33863050048E+001, +0.00000000000E+000
+8.13000000000E+009, +1.41259596538E+001, +0.00000000000E+000
+8.13500000000E+009, +3.71366198374E+000, +0.00000000000E+000
+8.14000000000E+009, -4.50901379984E-001, +0.00000000000E+000
+8.14500000000E+009, +4.61319977241E+001, +0.00000000000E+000
+8.15000000000E+009, +6.35010674787E+001, +0.00000000000E+000
+8.15500000000E+009, +4.67377997374E+001, +0.00000000000E+000
+8.16000000000E+009, +3.57736994398E+001, +0.00000000000E+000
+8.16500000000E+009, -4.81235810910E+001, +0.00000000000E+000
