"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.50000000000E+009, -2.08334461558E+001, +0.00000000000E+000
+1.50750000000E+009, -2.10175110478E+001, +0.00000000000E+000
+1.51500000000E+009, -2.13646251945E+001, +0.00000000000E+000
+1.52250000000E+009, -2.16285504493E+001, +0.00000000000E+000
+1.53000000000E+009, -2.19509019198E+001, +0.00000000000E+000
+1.53750000000E+009, -2.21459345387E+001, +0.00000000000E+000
+1.54500000000E+009, -2.25163773537E+001, +0.00000000000E+000
+1.55250000000E+009, -2.27433448462E+001, +0.00000000000E+000
+1.56000000000E+009, -2.29631467968E+001, +0.00000000000E+000
+1.56750000000E+009, -2.32250573753E+001, +0.00000000000E+000
+1.57500000000E+009, -2.35112819632E+001, +0.00000000000E+000
+1.58250000000E+009, -2.38145834777E+001, +0.00000000000E+000
+1.59000000000E+009, -2.41787450295E+001, +0.00000000000E+000
+1.59750000000E+009, -2.46774127327E+001, +0.00000000000E+000
+1.60500000000E+009, -2.53072435011E+001, +0.00000000000E+000
+1.61250000000E+009, -2.59089960196E+001, +0.00000000000E+000
+1.62000000000E+009, -2.67741671260E+001, +0.00000000000E+000
+1.62750000000E+009, -2.71791424043E+001, +0.00000000000E+000
+1.63500000000E+009, -2.78817128464E+001, +0.00000000000E+000
+1.64250000000E+009, -2.83458747423E+001, +0.00000000000E+000
+1.65000000000E+009, -2.85739280015E+001, +0.00000000000E+000
+1.65750000000E+009, -2.85109046527E+001, +0.00000000000E+000
+1.66500000000E+009, -2.85140872962E+001, +0.00000000000E+000
+1.67250000000E+009, -2.82316537242E+001, +0.00000000000E+000
+1.68000000000E+009, -2.81415636588E+001, +0.00000000000E+000
+1.68750000000E+009, -2.81701827049E+001, +0.00000000000E+000
+1.69500000000E+009, -2.79509435551E+001, +0.00000000000E+000
+1.70250000000E+009, -2.86210307832E+001, +0.00000000000E+000
+1.71000000000E+009, -2.93150592119E+001, +0.00000000000E+000
+1.71750000000E+009, -3.03180591415E+001, +0.00000000000E+000
+1.72500000000E+009, -3.18310247904E+001, +0.00000000000E+000
+1.73250000000E+009, -3.33101318353E+001, +0.00000000000E+000
+1.74000000000E+009, -3.51724863433E+001, +0.00000000000E+000
+1.74750000000E+009, -3.60621002195E+001, +0.00000000000E+000
+1.75500000000E+009, -3.66822993113E+001, +0.00000000000E+000
+1.76250000000E+009, -3.63062529520E+001, +0.00000000000E+000
+1.77000000000E+009, -3.57767769048E+001, +0.00000000000E+000
+1.77750000000E+009, -3.59427294520E+001, +0.00000000000E+000
+1.78500000000E+009, -3.66057976624E+001, +0.00000000000E+000
+1.79250000000E+009, -3.70205812509E+001, +0.00000000000E+000
+1.80000000000E+009, -3.80861934321E+001, +0.00000000000E+000
+1.80750000000E+009, -3.85807599465E+001, +0.00000000000E+000
+1.81500000000E+009, -3.96938909877E+001, +0.00000000000E+000
+1.82250000000E+009, -4.11619294188E+001, +0.00000000000E+000
+1.83000000000E+009, -4.11683014059E+001, +0.00000000000E+000
+1.83750000000E+009, -4.04438554671E+001, +0.00000000000E+000
+1.84500000000E+009, -3.81426163958E+001, +0.00000000000E+000
+1.85250000000E+009, -3.55330636597E+001, +0.00000000000E+000
+1.86000000000E+009, -3.37388838467E+001, +0.00000000000E+000
+1.86750000000E+009, -3.23293302943E+001, +0.00000000000E+000
+1.87500000000E+009, -3.10862500515E+001, +0.00000000000E+000
+1.88250000000E+009, -3.03904182625E+001, +0.00000000000E+000
+1.89000000000E+009, -2.98249267277E+001, +0.00000000000E+000
+1.89750000000E+009, -3.00593040462E+001, +0.00000000000E+000
+1.90500000000E+009, -3.01395581593E+001, +0.00000000000E+000
+1.91250000000E+009, -3.06688505091E+001, +0.00000000000E+000
+1.92000000000E+009, -3.15000451108E+001, +0.00000000000E+000
+1.92750000000E+009, -3.20880062778E+001, +0.00000000000E+000
+1.93500000000E+009, -3.23118355301E+001, +0.00000000000E+000
+1.94250000000E+009, -3.22152319704E+001, +0.00000000000E+000
+1.95000000000E+009, -3.18993455725E+001, +0.00000000000E+000
+1.95750000000E+009, -3.12036483967E+001, +0.00000000000E+000
+1.96500000000E+009, -3.00927235466E+001, +0.00000000000E+000
+1.97250000000E+009, -2.92995999626E+001, +0.00000000000E+000
+1.98000000000E+009, -2.84639530082E+001, +0.00000000000E+000
+1.98750000000E+009, -2.79106835680E+001, +0.00000000000E+000
+1.99500000000E+009, -2.74745872541E+001, +0.00000000000E+000
+2.00250000000E+009, -2.70773265345E+001, +0.00000000000E+000
+2.01000000000E+009, -2.69981228142E+001, +0.00000000000E+000
+2.01750000000E+009, -2.73410482563E+001, +0.00000000000E+000
+2.02500000000E+009, -2.80869992268E+001, +0.00000000000E+000
+2.03250000000E+009, -2.84182273184E+001, +0.00000000000E+000
+2.04000000000E+009, -2.96555456610E+001, +0.00000000000E+000
+2.04750000000E+009, -3.12115055861E+001, +0.00000000000E+000
+2.05500000000E+009, -3.31390257915E+001, +0.00000000000E+000
+2.06250000000E+009, -3.50734978280E+001, +0.00000000000E+000
+2.07000000000E+009, -3.75848804336E+001, +0.00000000000E+000
+2.07750000000E+009, -3.94161326649E+001, +0.00000000000E+000
+2.08500000000E+009, -4.00424416811E+001, +0.00000000000E+000
+2.09250000000E+009, -3.96467169181E+001, +0.00000000000E+000
+2.10000000000E+009, -3.68321579632E+001, +0.00000000000E+000
+2.10750000000E+009, -3.37127571355E+001, +0.00000000000E+000
+2.11500000000E+009, -3.11934394493E+001, +0.00000000000E+000
+2.12250000000E+009, -2.95051017942E+001, +0.00000000000E+000
+2.13000000000E+009, -2.81447106272E+001, +0.00000000000E+000
+2.13750000000E+009, -2.69232012016E+001, +0.00000000000E+000
+2.14500000000E+009, -2.59526124544E+001, +0.00000000000E+000
+2.15250000000E+009, -2.52437865152E+001, +0.00000000000E+000
+2.16000000000E+009, -2.47777047881E+001, +0.00000000000E+000
+2.16750000000E+009, -2.41279402797E+001, +0.00000000000E+000
+2.17500000000E+009, -2.35373582996E+001, +0.00000000000E+000
+2.18250000000E+009, -2.26313698069E+001, +0.00000000000E+000
+2.19000000000E+009, -2.16869296153E+001, +0.00000000000E+000
+2.19750000000E+009, -2.06707198732E+001, +0.00000000000E+000
+2.20500000000E+009, -1.97564809361E+001, +0.00000000000E+000
+2.21250000000E+009, -1.87283704367E+001, +0.00000000000E+000
+2.22000000000E+009, -1.78927703019E+001, +0.00000000000E+000
+2.22750000000E+009, -1.70696260454E+001, +0.00000000000E+000
+2.23500000000E+009, -1.63337123641E+001, +0.00000000000E+000
+2.24250000000E+009, -1.57381516436E+001, +0.00000000000E+000
+2.25000000000E+009, -1.51428997418E+001, +0.00000000000E+000
+2.25750000000E+009, -1.46350501383E+001, +0.00000000000E+000
+2.26500000000E+009, -1.41384405079E+001, +0.00000000000E+000
+2.27250000000E+009, -1.36532502978E+001, +0.00000000000E+000
+2.28000000000E+009, -1.31172625696E+001, +0.00000000000E+000
+2.28750000000E+009, -1.25686513057E+001, +0.00000000000E+000
+2.29500000000E+009, -1.20395210359E+001, +0.00000000000E+000
+2.30250000000E+009, -1.15060205446E+001, +0.00000000000E+000
+2.31000000000E+009, -1.09555566712E+001, +0.00000000000E+000
+2.31750000000E+009, -1.04453375816E+001, +0.00000000000E+000
+2.32500000000E+009, -9.94748675259E+000, +0.00000000000E+000
+2.33250000000E+009, -9.45437051750E+000, +0.00000000000E+000
+2.34000000000E+009, -8.99406468752E+000, +0.00000000000E+000
+2.34750000000E+009, -8.56826475900E+000, +0.00000000000E+000
+2.35500000000E+009, -8.15327895704E+000, +0.00000000000E+000
+2.36250000000E+009, -7.75918611347E+000, +0.00000000000E+000
+2.37000000000E+009, -7.35631023682E+000, +0.00000000000E+000
+2.37750000000E+009, -6.95742983116E+000, +0.00000000000E+000
