"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.50000000000E+009, -4.58356072143E+001, +0.00000000000E+000
+1.50750000000E+009, -4.56496231439E+001, +0.00000000000E+000
+1.51500000000E+009, -4.47672179323E+001, +0.00000000000E+000
+1.52250000000E+009, -4.39829277739E+001, +0.00000000000E+000
+1.53000000000E+009, -4.34327310499E+001, +0.00000000000E+000
+1.53750000000E+009, -4.36563065670E+001, +0.00000000000E+000
+1.54500000000E+009, -4.31095443982E+001, +0.00000000000E+000
+1.55250000000E+009, -4.34107348474E+001, +0.00000000000E+000
+1.56000000000E+009, -4.40073688194E+001, +0.00000000000E+000
+1.56750000000E+009, -4.51215274299E+001, +0.00000000000E+000
+1.57500000000E+009, -4.53075229440E+001, +0.00000000000E+000
+1.58250000000E+009, -4.68094530723E+001, +0.00000000000E+000
+1.59000000000E+009, -4.97731853588E+001, +0.00000000000E+000
+1.59750000000E+009, -5.19295097465E+001, +0.00000000000E+000
+1.60500000000E+009, -5.60044595859E+001, +0.00000000000E+000
+1.61250000000E+009, -5.44675470042E+001, +0.00000000000E+000
+1.62000000000E+009, -4.93492040226E+001, +0.00000000000E+000
+1.62750000000E+009, -4.62453894227E+001, +0.00000000000E+000
+1.63500000000E+009, -4.47637236367E+001, +0.00000000000E+000
+1.64250000000E+009, -4.31283390726E+001, +0.00000000000E+000
+1.65000000000E+009, -4.13147635269E+001, +0.00000000000E+000
+1.65750000000E+009, -4.02623032121E+001, +0.00000000000E+000
+1.66500000000E+009, -3.98747962768E+001, +0.00000000000E+000
+1.67250000000E+009, -3.94655833839E+001, +0.00000000000E+000
+1.68000000000E+009, -3.93136578468E+001, +0.00000000000E+000
+1.68750000000E+009, -3.93893732632E+001, +0.00000000000E+000
+1.69500000000E+009, -4.02301948331E+001, +0.00000000000E+000
+1.70250000000E+009, -4.09986596881E+001, +0.00000000000E+000
+1.71000000000E+009, -4.20046523232E+001, +0.00000000000E+000
+1.71750000000E+009, -4.32927618033E+001, +0.00000000000E+000
+1.72500000000E+009, -4.52903625963E+001, +0.00000000000E+000
+1.73250000000E+009, -4.85828994771E+001, +0.00000000000E+000
+1.74000000000E+009, -5.09359111844E+001, +0.00000000000E+000
+1.74750000000E+009, -5.45916617114E+001, +0.00000000000E+000
+1.75500000000E+009, -6.74407563527E+001, +0.00000000000E+000
+1.76250000000E+009, -5.75412021748E+001, +0.00000000000E+000
+1.77000000000E+009, -5.00573508379E+001, +0.00000000000E+000
+1.77750000000E+009, -4.71343605020E+001, +0.00000000000E+000
+1.78500000000E+009, -4.44925926560E+001, +0.00000000000E+000
+1.79250000000E+009, -4.24337140357E+001, +0.00000000000E+000
