"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.50000000000E+009, -1.00272644838E+001, +0.00000000000E+000
+1.50750000000E+009, -1.00285302758E+001, +0.00000000000E+000
+1.51500000000E+009, -1.00230271426E+001, +0.00000000000E+000
+1.52250000000E+009, -1.00321717560E+001, +0.00000000000E+000
+1.53000000000E+009, -1.00260698591E+001, +0.00000000000E+000
+1.53750000000E+009, -1.00272383411E+001, +0.00000000000E+000
+1.54500000000E+009, -1.00289086507E+001, +0.00000000000E+000
+1.55250000000E+009, -1.00311719368E+001, +0.00000000000E+000
+1.56000000000E+009, -1.00350128637E+001, +0.00000000000E+000
+1.56750000000E+009, -1.00336712887E+001, +0.00000000000E+000
+1.57500000000E+009, -1.00314765901E+001, +0.00000000000E+000
+1.58250000000E+009, -1.00341930673E+001, +0.00000000000E+000
+1.59000000000E+009, -1.00339108994E+001, +0.00000000000E+000
+1.59750000000E+009, -1.00343289726E+001, +0.00000000000E+000
+1.60500000000E+009, -1.00376875557E+001, +0.00000000000E+000
+1.61250000000E+009, -1.00371810425E+001, +0.00000000000E+000
+1.62000000000E+009, -1.00415687481E+001, +0.00000000000E+000
+1.62750000000E+009, -1.00425547851E+001, +0.00000000000E+000
+1.63500000000E+009, -1.00402445375E+001, +0.00000000000E+000
+1.64250000000E+009, -1.00407654094E+001, +0.00000000000E+000
+1.65000000000E+009, -1.00367077661E+001, +0.00000000000E+000
+1.65750000000E+009, -1.00378073154E+001, +0.00000000000E+000
+1.66500000000E+009, -1.00314345206E+001, +0.00000000000E+000
+1.67250000000E+009, -1.00329521079E+001, +0.00000000000E+000
+1.68000000000E+009, -1.00297721171E+001, +0.00000000000E+000
+1.68750000000E+009, -1.00279038335E+001, +0.00000000000E+000
+1.69500000000E+009, -1.00294085528E+001, +0.00000000000E+000
+1.70250000000E+009, -1.00312510345E+001, +0.00000000000E+000
+1.71000000000E+009, -1.00276054798E+001, +0.00000000000E+000
+1.71750000000E+009, -1.00337585806E+001, +0.00000000000E+000
+1.72500000000E+009, -1.00315240579E+001, +0.00000000000E+000
+1.73250000000E+009, -1.00346808154E+001, +0.00000000000E+000
+1.74000000000E+009, -1.00366665451E+001, +0.00000000000E+000
+1.74750000000E+009, -1.00391346322E+001, +0.00000000000E+000
+1.75500000000E+009, -1.00390627855E+001, +0.00000000000E+000
+1.76250000000E+009, -1.00399135488E+001, +0.00000000000E+000
+1.77000000000E+009, -1.00351080464E+001, +0.00000000000E+000
+1.77750000000E+009, -1.00392090765E+001, +0.00000000000E+000
+1.78500000000E+009, -1.00404569935E+001, +0.00000000000E+000
+1.79250000000E+009, -1.00353230897E+001, +0.00000000000E+000
+1.80000000000E+009, -1.00360302521E+001, +0.00000000000E+000
+1.80750000000E+009, -1.00330683013E+001, +0.00000000000E+000
+1.81500000000E+009, -1.00322023956E+001, +0.00000000000E+000
+1.82250000000E+009, -1.00339972175E+001, +0.00000000000E+000
+1.83000000000E+009, -1.00301080585E+001, +0.00000000000E+000
+1.83750000000E+009, -1.00302503961E+001, +0.00000000000E+000
+1.84500000000E+009, -1.00339514217E+001, +0.00000000000E+000
+1.85250000000E+009, -1.00364909097E+001, +0.00000000000E+000
+1.86000000000E+009, -1.00379211212E+001, +0.00000000000E+000
+1.86750000000E+009, -1.00403764354E+001, +0.00000000000E+000
+1.87500000000E+009, -1.00412433502E+001, +0.00000000000E+000
+1.88250000000E+009, -1.00377626504E+001, +0.00000000000E+000
+1.89000000000E+009, -1.00426603725E+001, +0.00000000000E+000
+1.89750000000E+009, -1.00375210566E+001, +0.00000000000E+000
+1.90500000000E+009, -1.00399594397E+001, +0.00000000000E+000
+1.91250000000E+009, -1.00365666290E+001, +0.00000000000E+000
+1.92000000000E+009, -1.00364893857E+001, +0.00000000000E+000
+1.92750000000E+009, -1.00309805333E+001, +0.00000000000E+000
+1.93500000000E+009, -1.00299109046E+001, +0.00000000000E+000
+1.94250000000E+009, -1.00294403965E+001, +0.00000000000E+000
+1.95000000000E+009, -1.00301806818E+001, +0.00000000000E+000
+1.95750000000E+009, -1.00310566057E+001, +0.00000000000E+000
+1.96500000000E+009, -1.00258775713E+001, +0.00000000000E+000
+1.97250000000E+009, -1.00373969728E+001, +0.00000000000E+000
+1.98000000000E+009, -1.00347774360E+001, +0.00000000000E+000
+1.98750000000E+009, -1.00406641147E+001, +0.00000000000E+000
+1.99500000000E+009, -1.00369324030E+001, +0.00000000000E+000
+2.00250000000E+009, -1.00440726826E+001, +0.00000000000E+000
+2.01000000000E+009, -1.00388629821E+001, +0.00000000000E+000
+2.01750000000E+009, -1.00419447614E+001, +0.00000000000E+000
+2.02500000000E+009, -1.00424220569E+001, +0.00000000000E+000
+2.03250000000E+009, -1.00430416925E+001, +0.00000000000E+000
+2.04000000000E+009, -1.00485123023E+001, +0.00000000000E+000
+2.04750000000E+009, -1.00520929000E+001, +0.00000000000E+000
+2.05500000000E+009, -1.00499481047E+001, +0.00000000000E+000
+2.06250000000E+009, -1.00530525074E+001, +0.00000000000E+000
+2.07000000000E+009, -1.00457313110E+001, +0.00000000000E+000
+2.07750000000E+009, -1.00428337254E+001, +0.00000000000E+000
+2.08500000000E+009, -1.00424894861E+001, +0.00000000000E+000
+2.09250000000E+009, -1.00397514124E+001, +0.00000000000E+000
+2.10000000000E+009, -1.00411911144E+001, +0.00000000000E+000
+2.10750000000E+009, -1.00391151396E+001, +0.00000000000E+000
+2.11500000000E+009, -1.00388531791E+001, +0.00000000000E+000
+2.12250000000E+009, -1.00422676450E+001, +0.00000000000E+000
+2.13000000000E+009, -1.00406775366E+001, +0.00000000000E+000
+2.13750000000E+009, -1.00435390807E+001, +0.00000000000E+000
+2.14500000000E+009, -1.00450021280E+001, +0.00000000000E+000
+2.15250000000E+009, -1.00498407399E+001, +0.00000000000E+000
+2.16000000000E+009, -1.00578321097E+001, +0.00000000000E+000
+2.16750000000E+009, -1.00575503809E+001, +0.00000000000E+000
+2.17500000000E+009, -1.00660077701E+001, +0.00000000000E+000
+2.18250000000E+009, -1.00636180520E+001, +0.00000000000E+000
+2.19000000000E+009, -1.00636187243E+001, +0.00000000000E+000
+2.19750000000E+009, -1.00517309202E+001, +0.00000000000E+000
+2.20500000000E+009, -1.00496190739E+001, +0.00000000000E+000
+2.21250000000E+009, -1.00472233540E+001, +0.00000000000E+000
+2.22000000000E+009, -1.00417023681E+001, +0.00000000000E+000
+2.22750000000E+009, -1.00458277841E+001, +0.00000000000E+000
+2.23500000000E+009, -1.00415862378E+001, +0.00000000000E+000
+2.24250000000E+009, -1.00403124127E+001, +0.00000000000E+000
+2.25000000000E+009, -1.00456758491E+001, +0.00000000000E+000
+2.25750000000E+009, -1.00381876071E+001, +0.00000000000E+000
+2.26500000000E+009, -1.00427612987E+001, +0.00000000000E+000
+2.27250000000E+009, -1.00490533683E+001, +0.00000000000E+000
+2.28000000000E+009, -1.00476273687E+001, +0.00000000000E+000
+2.28750000000E+009, -1.00556913809E+001, +0.00000000000E+000
+2.29500000000E+009, -1.00547395569E+001, +0.00000000000E+000
+2.30250000000E+009, -1.00496883066E+001, +0.00000000000E+000
+2.31000000000E+009, -1.00480185653E+001, +0.00000000000E+000
+2.31750000000E+009, -1.00465706143E+001, +0.00000000000E+000
+2.32500000000E+009, -1.00486360826E+001, +0.00000000000E+000
+2.33250000000E+009, -1.00456490500E+001, +0.00000000000E+000
+2.34000000000E+009, -1.00488783200E+001, +0.00000000000E+000
+2.34750000000E+009, -1.00454683642E+001, +0.00000000000E+000
+2.35500000000E+009, -1.00461145262E+001, +0.00000000000E+000
