"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +6.61064830141E-001, +0.00000000000E+000
+7.50500000000E+009, +6.60544293483E-001, +0.00000000000E+000
+7.51000000000E+009, +6.48944247130E-001, +0.00000000000E+000
+7.51500000000E+009, +6.49000415066E-001, +0.00000000000E+000
+7.52000000000E+009, +6.43228607676E-001, +0.00000000000E+000
+7.52500000000E+009, +6.42924566529E-001, +0.00000000000E+000
+7.53000000000E+009, +6.53101545516E-001, +0.00000000000E+000
+7.53500000000E+009, +6.63913661094E-001, +0.00000000000E+000
+7.54000000000E+009, +6.65810744325E-001, +0.00000000000E+000
+7.54500000000E+009, +6.54437951360E-001, +0.00000000000E+000
+7.55000000000E+009, +6.65070202810E-001, +0.00000000000E+000
+7.55500000000E+009, +6.82726603515E-001, +0.00000000000E+000
+7.56000000000E+009, +6.71709416718E-001, +0.00000000000E+000
+7.56500000000E+009, +6.71619397843E-001, +0.00000000000E+000
+7.57000000000E+009, +6.70142443104E-001, +0.00000000000E+000
+7.57500000000E+009, +6.69717994714E-001, +0.00000000000E+000
+7.58000000000E+009, +6.85967694567E-001, +0.00000000000E+000
+7.58500000000E+009, +6.77934034676E-001, +0.00000000000E+000
+7.59000000000E+009, +6.78418795395E-001, +0.00000000000E+000
+7.59500000000E+009, +6.68574925584E-001, +0.00000000000E+000
+7.60000000000E+009, +6.66061780395E-001, +0.00000000000E+000
+7.60500000000E+009, +6.68167421937E-001, +0.00000000000E+000
+7.61000000000E+009, +6.68655837810E-001, +0.00000000000E+000
+7.61500000000E+009, +6.56163440724E-001, +0.00000000000E+000
+7.62000000000E+009, +6.58241770442E-001, +0.00000000000E+000
+7.62500000000E+009, +6.65675487447E-001, +0.00000000000E+000
+7.63000000000E+009, +6.68897486524E-001, +0.00000000000E+000
+7.63500000000E+009, +6.53072975761E-001, +0.00000000000E+000
+7.64000000000E+009, +6.72926952583E-001, +0.00000000000E+000
+7.64500000000E+009, +6.66259454042E-001, +0.00000000000E+000
+7.65000000000E+009, +6.71675132787E-001, +0.00000000000E+000
+7.65500000000E+009, +6.66652426732E-001, +0.00000000000E+000
+7.66000000000E+009, +6.63583147863E-001, +0.00000000000E+000
+7.66500000000E+009, +6.76533438350E-001, +0.00000000000E+000
+7.67000000000E+009, +6.86894609754E-001, +0.00000000000E+000
+7.67500000000E+009, +6.86108618390E-001, +0.00000000000E+000
+7.68000000000E+009, +6.84227420728E-001, +0.00000000000E+000
+7.68500000000E+009, +6.76764014781E-001, +0.00000000000E+000
+7.69000000000E+009, +6.78075781876E-001, +0.00000000000E+000
+7.69500000000E+009, +6.80686381581E-001, +0.00000000000E+000
+7.70000000000E+009, +6.68388224015E-001, +0.00000000000E+000
+7.70500000000E+009, +6.65090321708E-001, +0.00000000000E+000
+7.71000000000E+009, +6.66473395040E-001, +0.00000000000E+000
+7.71500000000E+009, +6.61863522261E-001, +0.00000000000E+000
+7.72000000000E+009, +6.57367800072E-001, +0.00000000000E+000
+7.72500000000E+009, +6.46698216924E-001, +0.00000000000E+000
+7.73000000000E+009, +6.53041203515E-001, +0.00000000000E+000
+7.73500000000E+009, +6.49237425930E-001, +0.00000000000E+000
+7.74000000000E+009, +6.53018557550E-001, +0.00000000000E+000
+7.74500000000E+009, +6.43342582332E-001, +0.00000000000E+000
+7.75000000000E+009, +6.49576512773E-001, +0.00000000000E+000
+7.75500000000E+009, +6.49772974559E-001, +0.00000000000E+000
+7.76000000000E+009, +6.56248724262E-001, +0.00000000000E+000
+7.76500000000E+009, +6.75297788006E-001, +0.00000000000E+000
+7.77000000000E+009, +6.51866598831E-001, +0.00000000000E+000
+7.77500000000E+009, +6.76885520381E-001, +0.00000000000E+000
+7.78000000000E+009, +6.56116228154E-001, +0.00000000000E+000
+7.78500000000E+009, +6.52346557940E-001, +0.00000000000E+000
+7.79000000000E+009, +6.54597344335E-001, +0.00000000000E+000
+7.79500000000E+009, +6.45766543677E-001, +0.00000000000E+000
+7.80000000000E+009, +6.24674951917E-001, +0.00000000000E+000
+7.80500000000E+009, +6.38587570679E-001, +0.00000000000E+000
+7.81000000000E+009, +6.26215964644E-001, +0.00000000000E+000
+7.81500000000E+009, +6.14094954781E-001, +0.00000000000E+000
+7.82000000000E+009, +6.32226288517E-001, +0.00000000000E+000
+7.82500000000E+009, +6.06182864382E-001, +0.00000000000E+000
+7.83000000000E+009, +5.92192724896E-001, +0.00000000000E+000
+7.83500000000E+009, +6.19690049659E-001, +0.00000000000E+000
+7.84000000000E+009, +5.92901316352E-001, +0.00000000000E+000
+7.84500000000E+009, +5.88200137374E-001, +0.00000000000E+000
+7.85000000000E+009, +5.89819961438E-001, +0.00000000000E+000
+7.85500000000E+009, +5.92684008686E-001, +0.00000000000E+000
+7.86000000000E+009, +5.95937780465E-001, +0.00000000000E+000
+7.86500000000E+009, +5.91186062863E-001, +0.00000000000E+000
+7.87000000000E+009, +5.92689049555E-001, +0.00000000000E+000
+7.87500000000E+009, +5.95123367915E-001, +0.00000000000E+000
+7.88000000000E+009, +6.02608601842E-001, +0.00000000000E+000
+7.88500000000E+009, +6.31108659153E-001, +0.00000000000E+000
+7.89000000000E+009, +6.12804990133E-001, +0.00000000000E+000
+7.89500000000E+009, +5.97464017051E-001, +0.00000000000E+000
+7.90000000000E+009, +5.99200637503E-001, +0.00000000000E+000
+7.90500000000E+009, +5.90237871879E-001, +0.00000000000E+000
+7.91000000000E+009, +5.84362937696E-001, +0.00000000000E+000
+7.91500000000E+009, +5.80548557629E-001, +0.00000000000E+000
