"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -7.53115586611E+001, +0.00000000000E+000
+7.50500000000E+009, -7.83591846523E+001, +0.00000000000E+000
+7.51000000000E+009, -7.99767676894E+001, +0.00000000000E+000
+7.51500000000E+009, -8.30895696289E+001, +0.00000000000E+000
+7.52000000000E+009, -8.49782437925E+001, +0.00000000000E+000
+7.52500000000E+009, -8.70460821457E+001, +0.00000000000E+000
+7.53000000000E+009, -8.93451811753E+001, +0.00000000000E+000
+7.53500000000E+009, -9.14049493244E+001, +0.00000000000E+000
+7.54000000000E+009, -9.18505265207E+001, +0.00000000000E+000
+7.54500000000E+009, -9.33408174786E+001, +0.00000000000E+000
+7.55000000000E+009, -9.44767649553E+001, +0.00000000000E+000
+7.55500000000E+009, -9.43026669678E+001, +0.00000000000E+000
+7.56000000000E+009, -9.53849444703E+001, +0.00000000000E+000
+7.56500000000E+009, -9.52029670423E+001, +0.00000000000E+000
+7.57000000000E+009, -9.51985621493E+001, +0.00000000000E+000
+7.57500000000E+009, -9.58487233589E+001, +0.00000000000E+000
+7.58000000000E+009, -9.70791556150E+001, +0.00000000000E+000
+7.58500000000E+009, -9.81630489462E+001, +0.00000000000E+000
+7.59000000000E+009, -9.90748990825E+001, +0.00000000000E+000
+7.59500000000E+009, -1.01397871014E+002, +0.00000000000E+000
+7.60000000000E+009, -1.03800150887E+002, +0.00000000000E+000
+7.60500000000E+009, -1.05352412293E+002, +0.00000000000E+000
+7.61000000000E+009, -1.08849660613E+002, +0.00000000000E+000
+7.61500000000E+009, -1.10521172285E+002, +0.00000000000E+000
+7.62000000000E+009, -1.12799004360E+002, +0.00000000000E+000
+7.62500000000E+009, -1.14560314160E+002, +0.00000000000E+000
+7.63000000000E+009, -1.17003629908E+002, +0.00000000000E+000
+7.63500000000E+009, -1.18078998506E+002, +0.00000000000E+000
+7.64000000000E+009, -1.18629519545E+002, +0.00000000000E+000
+7.64500000000E+009, -1.19942621178E+002, +0.00000000000E+000
+7.65000000000E+009, -1.19752643517E+002, +0.00000000000E+000
+7.65500000000E+009, -1.20600108673E+002, +0.00000000000E+000
+7.66000000000E+009, -1.21079181994E+002, +0.00000000000E+000
+7.66500000000E+009, -1.20851699188E+002, +0.00000000000E+000
+7.67000000000E+009, -1.21779166184E+002, +0.00000000000E+000
+7.67500000000E+009, -1.23430839480E+002, +0.00000000000E+000
+7.68000000000E+009, -1.24277382636E+002, +0.00000000000E+000
+7.68500000000E+009, -1.25488579944E+002, +0.00000000000E+000
+7.69000000000E+009, -1.27378765083E+002, +0.00000000000E+000
+7.69500000000E+009, -1.30088169423E+002, +0.00000000000E+000
+7.70000000000E+009, -1.30950093566E+002, +0.00000000000E+000
+7.70500000000E+009, -1.34359596363E+002, +0.00000000000E+000
+7.71000000000E+009, -1.36276786565E+002, +0.00000000000E+000
+7.71500000000E+009, -1.38646710558E+002, +0.00000000000E+000
+7.72000000000E+009, -1.40662633357E+002, +0.00000000000E+000
+7.72500000000E+009, -1.42188550931E+002, +0.00000000000E+000
+7.73000000000E+009, -1.43098256616E+002, +0.00000000000E+000
+7.73500000000E+009, -1.44674452214E+002, +0.00000000000E+000
+7.74000000000E+009, -1.45665494301E+002, +0.00000000000E+000
+7.74500000000E+009, -1.46648864189E+002, +0.00000000000E+000
+7.75000000000E+009, -1.47208848515E+002, +0.00000000000E+000
+7.75500000000E+009, -1.46782638708E+002, +0.00000000000E+000
+7.76000000000E+009, -1.47413447022E+002, +0.00000000000E+000
+7.76500000000E+009, -1.48444373751E+002, +0.00000000000E+000
+7.77000000000E+009, -1.49293292156E+002, +0.00000000000E+000
+7.77500000000E+009, -1.50492934382E+002, +0.00000000000E+000
+7.78000000000E+009, -1.52442732629E+002, +0.00000000000E+000
+7.78500000000E+009, -1.53288491801E+002, +0.00000000000E+000
+7.79000000000E+009, -1.55471417149E+002, +0.00000000000E+000
+7.79500000000E+009, -1.57811074855E+002, +0.00000000000E+000
+7.80000000000E+009, -1.59955742571E+002, +0.00000000000E+000
+7.80500000000E+009, -1.61526220091E+002, +0.00000000000E+000
+7.81000000000E+009, -1.63491238590E+002, +0.00000000000E+000
+7.81500000000E+009, -1.66040623406E+002, +0.00000000000E+000
+7.82000000000E+009, -1.67492407656E+002, +0.00000000000E+000
+7.82500000000E+009, -1.69745166333E+002, +0.00000000000E+000
+7.83000000000E+009, -1.70716670889E+002, +0.00000000000E+000
+7.83500000000E+009, -1.71519695892E+002, +0.00000000000E+000
+7.84000000000E+009, -1.72216196659E+002, +0.00000000000E+000
+7.84500000000E+009, -1.72100694683E+002, +0.00000000000E+000
+7.85000000000E+009, -1.73783403007E+002, +0.00000000000E+000
+7.85500000000E+009, -1.73746246102E+002, +0.00000000000E+000
+7.86000000000E+009, -1.74672006480E+002, +0.00000000000E+000
+7.86500000000E+009, -1.75167563229E+002, +0.00000000000E+000
+7.87000000000E+009, -1.76372532938E+002, +0.00000000000E+000
+7.87500000000E+009, -1.77980134041E+002, +0.00000000000E+000
+7.88000000000E+009, -1.78704278590E+002, +0.00000000000E+000
+7.88500000000E+009, +1.78780114275E+002, +0.00000000000E+000
+7.89000000000E+009, +1.76136022924E+002, +0.00000000000E+000
