"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +3.36329044542E-001, +0.00000000000E+000
+7.50500000000E+009, +3.52215941806E-001, +0.00000000000E+000
+7.51000000000E+009, +3.31482106348E-001, +0.00000000000E+000
+7.51500000000E+009, +3.44921691580E-001, +0.00000000000E+000
+7.52000000000E+009, +3.14324152781E-001, +0.00000000000E+000
+7.52500000000E+009, +3.33934055060E-001, +0.00000000000E+000
+7.53000000000E+009, +3.51683859544E-001, +0.00000000000E+000
+7.53500000000E+009, +3.42599886838E-001, +0.00000000000E+000
+7.54000000000E+009, +3.46938599077E-001, +0.00000000000E+000
+7.54500000000E+009, +3.44605630399E-001, +0.00000000000E+000
+7.55000000000E+009, +3.53687295931E-001, +0.00000000000E+000
+7.55500000000E+009, +3.68123814195E-001, +0.00000000000E+000
+7.56000000000E+009, +3.59393329164E-001, +0.00000000000E+000
+7.56500000000E+009, +3.60258568679E-001, +0.00000000000E+000
+7.57000000000E+009, +3.51435592181E-001, +0.00000000000E+000
+7.57500000000E+009, +3.44941359395E-001, +0.00000000000E+000
+7.58000000000E+009, +3.59636163240E-001, +0.00000000000E+000
+7.58500000000E+009, +3.56836580161E-001, +0.00000000000E+000
+7.59000000000E+009, +3.09778467782E-001, +0.00000000000E+000
+7.59500000000E+009, +3.26637124099E-001, +0.00000000000E+000
+7.60000000000E+009, +3.08692769481E-001, +0.00000000000E+000
+7.60500000000E+009, +3.13484299944E-001, +0.00000000000E+000
+7.61000000000E+009, +2.94245829747E-001, +0.00000000000E+000
+7.61500000000E+009, +2.79509079622E-001, +0.00000000000E+000
+7.62000000000E+009, +2.77834054216E-001, +0.00000000000E+000
+7.62500000000E+009, +2.90774423910E-001, +0.00000000000E+000
+7.63000000000E+009, +2.97714381067E-001, +0.00000000000E+000
+7.63500000000E+009, +2.72931131503E-001, +0.00000000000E+000
+7.64000000000E+009, +2.91706006344E-001, +0.00000000000E+000
+7.64500000000E+009, +2.55931426213E-001, +0.00000000000E+000
+7.65000000000E+009, +2.81275890036E-001, +0.00000000000E+000
+7.65500000000E+009, +2.77811520204E-001, +0.00000000000E+000
+7.66000000000E+009, +2.86122243688E-001, +0.00000000000E+000
+7.66500000000E+009, +2.85713005734E-001, +0.00000000000E+000
+7.67000000000E+009, +2.77055418925E-001, +0.00000000000E+000
+7.67500000000E+009, +2.85094364968E-001, +0.00000000000E+000
+7.68000000000E+009, +2.71985684710E-001, +0.00000000000E+000
+7.68500000000E+009, +2.66117684352E-001, +0.00000000000E+000
+7.69000000000E+009, +2.67822577779E-001, +0.00000000000E+000
+7.69500000000E+009, +2.55592089350E-001, +0.00000000000E+000
+7.70000000000E+009, +2.54277129275E-001, +0.00000000000E+000
+7.70500000000E+009, +2.46384698812E-001, +0.00000000000E+000
+7.71000000000E+009, +2.43588322545E-001, +0.00000000000E+000
+7.71500000000E+009, +2.26104698385E-001, +0.00000000000E+000
+7.72000000000E+009, +2.42628565692E-001, +0.00000000000E+000
+7.72500000000E+009, +2.20877243116E-001, +0.00000000000E+000
+7.73000000000E+009, +2.03724560157E-001, +0.00000000000E+000
+7.73500000000E+009, +1.97264845181E-001, +0.00000000000E+000
+7.74000000000E+009, +2.01267157046E-001, +0.00000000000E+000
+7.74500000000E+009, +2.13546185152E-001, +0.00000000000E+000
+7.75000000000E+009, +2.13390037334E-001, +0.00000000000E+000
+7.75500000000E+009, +1.99184980556E-001, +0.00000000000E+000
+7.76000000000E+009, +2.00736203545E-001, +0.00000000000E+000
+7.76500000000E+009, +2.04752045159E-001, +0.00000000000E+000
+7.77000000000E+009, +2.13104507038E-001, +0.00000000000E+000
+7.77500000000E+009, +2.14629449655E-001, +0.00000000000E+000
+7.78000000000E+009, +2.12717555851E-001, +0.00000000000E+000
+7.78500000000E+009, +2.18719377589E-001, +0.00000000000E+000
+7.79000000000E+009, +2.14300751802E-001, +0.00000000000E+000
+7.79500000000E+009, +2.27859430590E-001, +0.00000000000E+000
+7.80000000000E+009, +1.91073085755E-001, +0.00000000000E+000
+7.80500000000E+009, +1.87647005299E-001, +0.00000000000E+000
+7.81000000000E+009, +1.88109038646E-001, +0.00000000000E+000
+7.81500000000E+009, +1.72939958358E-001, +0.00000000000E+000
+7.82000000000E+009, +1.94025975832E-001, +0.00000000000E+000
+7.82500000000E+009, +1.48756933494E-001, +0.00000000000E+000
+7.83000000000E+009, +1.58199198048E-001, +0.00000000000E+000
+7.83500000000E+009, +1.71687037975E-001, +0.00000000000E+000
+7.84000000000E+009, +1.58746735829E-001, +0.00000000000E+000
+7.84500000000E+009, +1.56265753831E-001, +0.00000000000E+000
+7.85000000000E+009, +1.49402054556E-001, +0.00000000000E+000
+7.85500000000E+009, +1.55787729488E-001, +0.00000000000E+000
+7.86000000000E+009, +1.62366438702E-001, +0.00000000000E+000
+7.86500000000E+009, +1.63819093269E-001, +0.00000000000E+000
+7.87000000000E+009, +1.62096317259E-001, +0.00000000000E+000
+7.87500000000E+009, +1.62913184587E-001, +0.00000000000E+000
+7.88000000000E+009, +1.65878152032E-001, +0.00000000000E+000
+7.88500000000E+009, +1.99570422410E-001, +0.00000000000E+000
+7.89000000000E+009, +1.97884210595E-001, +0.00000000000E+000
+7.89500000000E+009, +1.68012983903E-001, +0.00000000000E+000
+7.90000000000E+009, +1.97007347547E-001, +0.00000000000E+000
+7.90500000000E+009, +2.01697257035E-001, +0.00000000000E+000
+7.91000000000E+009, +1.95323943176E-001, +0.00000000000E+000
+7.91500000000E+009, +1.98373600811E-001, +0.00000000000E+000
+7.92000000000E+009, +1.98290330490E-001, +0.00000000000E+000
+7.92500000000E+009, +1.94946141344E-001, +0.00000000000E+000
+7.93000000000E+009, +1.87058414764E-001, +0.00000000000E+000
+7.93500000000E+009, +1.90761801683E-001, +0.00000000000E+000
+7.94000000000E+009, +1.95228658731E-001, +0.00000000000E+000
+7.94500000000E+009, +1.66342356412E-001, +0.00000000000E+000
+7.95000000000E+009, +1.89299390050E-001, +0.00000000000E+000
+7.95500000000E+009, +1.62139536017E-001, +0.00000000000E+000
+7.96000000000E+009, +1.36219780050E-001, +0.00000000000E+000
+7.96500000000E+009, +1.51148929599E-001, +0.00000000000E+000
+7.97000000000E+009, +1.63940951341E-001, +0.00000000000E+000
+7.97500000000E+009, +1.45655474011E-001, +0.00000000000E+000
+7.98000000000E+009, +1.61776197876E-001, +0.00000000000E+000
+7.98500000000E+009, +1.58834076469E-001, +0.00000000000E+000
+7.99000000000E+009, +1.55558930031E-001, +0.00000000000E+000
+7.99500000000E+009, +1.84852455166E-001, +0.00000000000E+000
+8.00000000000E+009, +1.72533427970E-001, +0.00000000000E+000
+8.00500000000E+009, +1.67426487212E-001, +0.00000000000E+000
+8.01000000000E+009, +1.82480522527E-001, +0.00000000000E+000
+8.01500000000E+009, +1.99422650050E-001, +0.00000000000E+000
+8.02000000000E+009, +1.94094752986E-001, +0.00000000000E+000
+8.02500000000E+009, +2.00284794515E-001, +0.00000000000E+000
+8.03000000000E+009, +1.84688060557E-001, +0.00000000000E+000
+8.03500000000E+009, +1.85471911916E-001, +0.00000000000E+000
+8.04000000000E+009, +2.07471149322E-001, +0.00000000000E+000
+8.04500000000E+009, +1.96055223574E-001, +0.00000000000E+000
