"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +5.10575805230E-001, +0.00000000000E+000
+7.50500000000E+009, +5.14385572315E-001, +0.00000000000E+000
+7.51000000000E+009, +5.03824021879E-001, +0.00000000000E+000
+7.51500000000E+009, +5.11391290804E-001, +0.00000000000E+000
+7.52000000000E+009, +4.89230969655E-001, +0.00000000000E+000
+7.52500000000E+009, +4.92140014319E-001, +0.00000000000E+000
+7.53000000000E+009, +5.12601002871E-001, +0.00000000000E+000
+7.53500000000E+009, +5.15776433466E-001, +0.00000000000E+000
+7.54000000000E+009, +4.99156518000E-001, +0.00000000000E+000
+7.54500000000E+009, +5.04617537395E-001, +0.00000000000E+000
+7.55000000000E+009, +5.05601322166E-001, +0.00000000000E+000
+7.55500000000E+009, +5.12945465640E-001, +0.00000000000E+000
+7.56000000000E+009, +5.07091359963E-001, +0.00000000000E+000
+7.56500000000E+009, +4.94046235471E-001, +0.00000000000E+000
+7.57000000000E+009, +4.79621219162E-001, +0.00000000000E+000
+7.57500000000E+009, +4.76014927510E-001, +0.00000000000E+000
+7.58000000000E+009, +4.84025143892E-001, +0.00000000000E+000
+7.58500000000E+009, +4.79529103567E-001, +0.00000000000E+000
+7.59000000000E+009, +4.52202448198E-001, +0.00000000000E+000
+7.59500000000E+009, +4.44139430104E-001, +0.00000000000E+000
+7.60000000000E+009, +4.53917666379E-001, +0.00000000000E+000
+7.60500000000E+009, +4.50680015543E-001, +0.00000000000E+000
+7.61000000000E+009, +4.50234280563E-001, +0.00000000000E+000
+7.61500000000E+009, +4.36129091135E-001, +0.00000000000E+000
+7.62000000000E+009, +4.28861480131E-001, +0.00000000000E+000
+7.62500000000E+009, +4.33388149765E-001, +0.00000000000E+000
+7.63000000000E+009, +4.34760529544E-001, +0.00000000000E+000
+7.63500000000E+009, +4.19059946462E-001, +0.00000000000E+000
+7.64000000000E+009, +4.38792247757E-001, +0.00000000000E+000
+7.64500000000E+009, +4.39451730242E-001, +0.00000000000E+000
+7.65000000000E+009, +4.24854899179E-001, +0.00000000000E+000
+7.65500000000E+009, +4.27497026494E-001, +0.00000000000E+000
+7.66000000000E+009, +4.29298013199E-001, +0.00000000000E+000
+7.66500000000E+009, +4.28291786538E-001, +0.00000000000E+000
+7.67000000000E+009, +4.33674133340E-001, +0.00000000000E+000
+7.67500000000E+009, +4.21969380981E-001, +0.00000000000E+000
+7.68000000000E+009, +4.22704844713E-001, +0.00000000000E+000
+7.68500000000E+009, +4.13694175789E-001, +0.00000000000E+000
+7.69000000000E+009, +4.12072516282E-001, +0.00000000000E+000
+7.69500000000E+009, +4.09047002191E-001, +0.00000000000E+000
+7.70000000000E+009, +3.95126384405E-001, +0.00000000000E+000
+7.70500000000E+009, +3.93754878850E-001, +0.00000000000E+000
