"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -1.30540150752E+002, +0.00000000000E+000
+7.50500000000E+009, -1.31788010659E+002, +0.00000000000E+000
+7.51000000000E+009, -1.34849558686E+002, +0.00000000000E+000
+7.51500000000E+009, -1.36204678846E+002, +0.00000000000E+000
+7.52000000000E+009, -1.38670624457E+002, +0.00000000000E+000
+7.52500000000E+009, -1.41511513218E+002, +0.00000000000E+000
+7.53000000000E+009, -1.44876606210E+002, +0.00000000000E+000
+7.53500000000E+009, -1.47712672947E+002, +0.00000000000E+000
+7.54000000000E+009, -1.49974071702E+002, +0.00000000000E+000
+7.54500000000E+009, -1.53588896604E+002, +0.00000000000E+000
+7.55000000000E+009, -1.54428361756E+002, +0.00000000000E+000
+7.55500000000E+009, -1.55998942394E+002, +0.00000000000E+000
+7.56000000000E+009, -1.57948088117E+002, +0.00000000000E+000
+7.56500000000E+009, -1.58795413225E+002, +0.00000000000E+000
+7.57000000000E+009, -1.59681251186E+002, +0.00000000000E+000
+7.57500000000E+009, -1.58114222447E+002, +0.00000000000E+000
+7.58000000000E+009, -1.58317523715E+002, +0.00000000000E+000
+7.58500000000E+009, -1.58598559557E+002, +0.00000000000E+000
+7.59000000000E+009, -1.58742133791E+002, +0.00000000000E+000
+7.59500000000E+009, -1.58591660761E+002, +0.00000000000E+000
+7.60000000000E+009, -1.60122762551E+002, +0.00000000000E+000
+7.60500000000E+009, -1.61951605710E+002, +0.00000000000E+000
+7.61000000000E+009, -1.63609030360E+002, +0.00000000000E+000
+7.61500000000E+009, -1.65490794246E+002, +0.00000000000E+000
+7.62000000000E+009, -1.68081937872E+002, +0.00000000000E+000
+7.62500000000E+009, -1.70806209585E+002, +0.00000000000E+000
+7.63000000000E+009, -1.73192005908E+002, +0.00000000000E+000
+7.63500000000E+009, -1.76770520492E+002, +0.00000000000E+000
+7.64000000000E+009, -1.78873385478E+002, +0.00000000000E+000
+7.64500000000E+009, +1.77983741847E+002, +0.00000000000E+000
+7.65000000000E+009, +1.76266877412E+002, +0.00000000000E+000
+7.65500000000E+009, +1.75298089386E+002, +0.00000000000E+000
+7.66000000000E+009, +1.74004584686E+002, +0.00000000000E+000
+7.66500000000E+009, +1.72374250937E+002, +0.00000000000E+000
+7.67000000000E+009, +1.72577519669E+002, +0.00000000000E+000
+7.67500000000E+009, +1.72106872327E+002, +0.00000000000E+000
+7.68000000000E+009, +1.71945328638E+002, +0.00000000000E+000
+7.68500000000E+009, +1.73205827251E+002, +0.00000000000E+000
+7.69000000000E+009, +1.73030588513E+002, +0.00000000000E+000
+7.69500000000E+009, +1.70789566756E+002, +0.00000000000E+000
+7.70000000000E+009, +1.70506680555E+002, +0.00000000000E+000
+7.70500000000E+009, +1.69294426387E+002, +0.00000000000E+000
+7.71000000000E+009, +1.67279910601E+002, +0.00000000000E+000
+7.71500000000E+009, +1.64914146899E+002, +0.00000000000E+000
+7.72000000000E+009, +1.62799011257E+002, +0.00000000000E+000
+7.72500000000E+009, +1.59450680963E+002, +0.00000000000E+000
+7.73000000000E+009, +1.56014193840E+002, +0.00000000000E+000
+7.73500000000E+009, +1.54924342516E+002, +0.00000000000E+000
+7.74000000000E+009, +1.50931291428E+002, +0.00000000000E+000
+7.74500000000E+009, +1.49723414891E+002, +0.00000000000E+000
