Var1,Var2,mag_mean,mag_median,mag_std,mag_min,mag_max
ATTENUATOR10dB,S11,0.163965002390885,0.172815154385,0.0359950989150197,0.0870178738967,0.225207010805
ATTENUATOR10dB,S21,0.314212044959199,0.319117942302,0.0172313350479097,0.273072297653,0.340107060695
ATTENUATOR10dB,S22,0.0934372341797503,0.0889947306425,0.0299131043848924,0.043255174567,0.1679287173
CIRCULATOR,S11,0.497833842068154,0.515053620535,0.141075679904758,0.28722624922,0.686894609754
CIRCULATOR,S13,0.76035257705207,0.759674305523,0.0690753656759306,0.613665318029,0.90135964882
CIRCULATOR,S22,0.556525788620602,0.5957466057,0.139332155524631,0.332229203027,0.736605585503
CIRCULATOR,S23,0.248916904694323,0.248274330769,0.0133245371416938,0.224712769,0.275253344515
CIRCULATOR,S31,0.337493022709806,0.338561487347,0.0295071279445697,0.274174977572,0.395508386705
CIRCULATOR,S32,0.726643386392701,0.743764997453,0.109535649040688,0.525619871949,0.899433857455
CIRCULATOR,S33,0.492678300890756,0.484554542521,0.0894144795878135,0.367068622066,0.637786950996
COUPLER,S11,0.177276205529763,0.171358621794,0.0872801551086614,0.0129182358871,0.368123814195
COUPLER,S12,0.949520812281368,0.951415670614,0.0183748196953685,0.889123370111,0.989601922207
COUPLER,S13,0.0744954648938085,0.0750583503991,0.00644538243189549,0.0596521927097,0.090272842877
COUPLER,S14,0.00589870830218205,0.00552102329026,0.00299301139991806,0.000613609809171,0.0135376362797
MAGICT,S11,0.265830686195396,0.2232345791,0.128734608306658,0.0701926743826,0.515776433466
MAGICT,S13,0.587154269767115,0.586673007134,0.0255648040345197,0.515282872384,0.64795809458
MAGICT,S21,0.358700396293378,0.36392841082,0.0298093843931287,0.287601894646,0.410459599402
MAGICT,S33,0.553957184194507,0.55514318508,0.0343132550894263,0.475950122117,0.670521880621
MAGICT,S41,0.651613940119308,0.656837302263,0.0395433102271101,0.564373033553,0.728280505547
MAGICT,S42,0.647224369180323,0.652247030237,0.038254533718625,0.560876539992,0.72783829604
MAGICT,S43,0.00756941745628663,0.00781222003325,0.00321212794051323,0.000247361923816,0.0170840252924
MAGICT,S44,0.354947404393299,0.398840713113,0.119966368344323,0.0905161112161,0.497613396215
