"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -6.89490301104E+001, +0.00000000000E+000
+7.50500000000E+009, -7.63815355644E+001, +0.00000000000E+000
+7.51000000000E+009, -7.52903287491E+001, +0.00000000000E+000
+7.51500000000E+009, -7.76803718844E+001, +0.00000000000E+000
+7.52000000000E+009, -7.40282169397E+001, +0.00000000000E+000
+7.52500000000E+009, -7.84431998894E+001, +0.00000000000E+000
+7.53000000000E+009, -7.69158129652E+001, +0.00000000000E+000
+7.53500000000E+009, -8.05235084516E+001, +0.00000000000E+000
+7.54000000000E+009, -7.79028747437E+001, +0.00000000000E+000
+7.54500000000E+009, -8.05569878872E+001, +0.00000000000E+000
+7.55000000000E+009, -7.15937000214E+001, +0.00000000000E+000
+7.55500000000E+009, -7.86853660104E+001, +0.00000000000E+000
+7.56000000000E+009, -7.59173333092E+001, +0.00000000000E+000
+7.56500000000E+009, -7.76738291462E+001, +0.00000000000E+000
+7.57000000000E+009, -7.51378758431E+001, +0.00000000000E+000
+7.57500000000E+009, -8.01413294305E+001, +0.00000000000E+000
+7.58000000000E+009, -8.21331676443E+001, +0.00000000000E+000
+7.58500000000E+009, -7.39009393154E+001, +0.00000000000E+000
+7.59000000000E+009, -7.51402055547E+001, +0.00000000000E+000
+7.59500000000E+009, -7.94166790514E+001, +0.00000000000E+000
+7.60000000000E+009, -8.55540982343E+001, +0.00000000000E+000
+7.60500000000E+009, -7.75513629996E+001, +0.00000000000E+000
+7.61000000000E+009, -7.98782275066E+001, +0.00000000000E+000
+7.61500000000E+009, -8.13631215938E+001, +0.00000000000E+000
+7.62000000000E+009, -8.38874681047E+001, +0.00000000000E+000
+7.62500000000E+009, -8.64338400197E+001, +0.00000000000E+000
+7.63000000000E+009, -9.28161719744E+001, +0.00000000000E+000
+7.63500000000E+009, -8.87895748569E+001, +0.00000000000E+000
+7.64000000000E+009, -8.45584906885E+001, +0.00000000000E+000
+7.64500000000E+009, -8.74445046740E+001, +0.00000000000E+000
+7.65000000000E+009, -8.86516701186E+001, +0.00000000000E+000
+7.65500000000E+009, -8.37047755708E+001, +0.00000000000E+000
+7.66000000000E+009, -9.27955260687E+001, +0.00000000000E+000
+7.66500000000E+009, -8.42580700309E+001, +0.00000000000E+000
+7.67000000000E+009, -8.79016106746E+001, +0.00000000000E+000
+7.67500000000E+009, -8.53606883193E+001, +0.00000000000E+000
+7.68000000000E+009, -8.70920202623E+001, +0.00000000000E+000
+7.68500000000E+009, -8.41276700071E+001, +0.00000000000E+000
+7.69000000000E+009, -8.90366134806E+001, +0.00000000000E+000
+7.69500000000E+009, -8.80043282784E+001, +0.00000000000E+000
+7.70000000000E+009, -8.83706057946E+001, +0.00000000000E+000
+7.70500000000E+009, -9.60116322712E+001, +0.00000000000E+000
+7.71000000000E+009, -9.29602363019E+001, +0.00000000000E+000
+7.71500000000E+009, -8.35416896802E+001, +0.00000000000E+000
+7.72000000000E+009, -8.87648164316E+001, +0.00000000000E+000
+7.72500000000E+009, -9.32697724351E+001, +0.00000000000E+000
+7.73000000000E+009, -9.75864020856E+001, +0.00000000000E+000
+7.73500000000E+009, -9.38016926448E+001, +0.00000000000E+000
+7.74000000000E+009, -9.71221388787E+001, +0.00000000000E+000
+7.74500000000E+009, -9.76080348605E+001, +0.00000000000E+000
+7.75000000000E+009, -9.80670144825E+001, +0.00000000000E+000
+7.75500000000E+009, -9.94715533476E+001, +0.00000000000E+000
+7.76000000000E+009, -9.77063765044E+001, +0.00000000000E+000
+7.76500000000E+009, -9.83986969558E+001, +0.00000000000E+000
+7.77000000000E+009, -1.05581737506E+002, +0.00000000000E+000
+7.77500000000E+009, -9.44319769585E+001, +0.00000000000E+000
+7.78000000000E+009, -1.08737703327E+002, +0.00000000000E+000
+7.78500000000E+009, -9.72597665335E+001, +0.00000000000E+000
+7.79000000000E+009, -1.00108579005E+002, +0.00000000000E+000
+7.79500000000E+009, -1.04256465516E+002, +0.00000000000E+000
+7.80000000000E+009, -9.94717306470E+001, +0.00000000000E+000
+7.80500000000E+009, -9.95399450193E+001, +0.00000000000E+000
+7.81000000000E+009, -1.13345104763E+002, +0.00000000000E+000
+7.81500000000E+009, -1.06226083062E+002, +0.00000000000E+000
+7.82000000000E+009, -1.00189169299E+002, +0.00000000000E+000
+7.82500000000E+009, -1.14683502329E+002, +0.00000000000E+000
+7.83000000000E+009, -1.16699945743E+002, +0.00000000000E+000
+7.83500000000E+009, -1.15882492572E+002, +0.00000000000E+000
+7.84000000000E+009, -1.11191727159E+002, +0.00000000000E+000
+7.84500000000E+009, -1.09472921100E+002, +0.00000000000E+000
+7.85000000000E+009, -1.23902084805E+002, +0.00000000000E+000
+7.85500000000E+009, -1.17286340398E+002, +0.00000000000E+000
