"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +2.00552954599E-001, +0.00000000000E+000
+7.50500000000E+009, +1.94653296840E-001, +0.00000000000E+000
+7.51000000000E+009, +1.82595288103E-001, +0.00000000000E+000
+7.51500000000E+009, +1.91886506365E-001, +0.00000000000E+000
+7.52000000000E+009, +1.88322205198E-001, +0.00000000000E+000
+7.52500000000E+009, +1.86050007211E-001, +0.00000000000E+000
+7.53000000000E+009, +1.98007254578E-001, +0.00000000000E+000
+7.53500000000E+009, +2.02532287967E-001, +0.00000000000E+000
+7.54000000000E+009, +1.97145262621E-001, +0.00000000000E+000
+7.54500000000E+009, +1.96339520096E-001, +0.00000000000E+000
+7.55000000000E+009, +2.04783902996E-001, +0.00000000000E+000
+7.55500000000E+009, +2.18453933496E-001, +0.00000000000E+000
+7.56000000000E+009, +2.11925608593E-001, +0.00000000000E+000
+7.56500000000E+009, +2.09463892253E-001, +0.00000000000E+000
+7.57000000000E+009, +2.06534888488E-001, +0.00000000000E+000
+7.57500000000E+009, +2.07234642689E-001, +0.00000000000E+000
+7.58000000000E+009, +2.14925144780E-001, +0.00000000000E+000
+7.58500000000E+009, +2.07557294555E-001, +0.00000000000E+000
+7.59000000000E+009, +1.95303473283E-001, +0.00000000000E+000
+7.59500000000E+009, +2.02057408982E-001, +0.00000000000E+000
+7.60000000000E+009, +1.82996353247E-001, +0.00000000000E+000
+7.60500000000E+009, +1.97223742393E-001, +0.00000000000E+000
+7.61000000000E+009, +1.82204001097E-001, +0.00000000000E+000
+7.61500000000E+009, +1.78906774212E-001, +0.00000000000E+000
+7.62000000000E+009, +1.88535104526E-001, +0.00000000000E+000
+7.62500000000E+009, +1.85337900072E-001, +0.00000000000E+000
+7.63000000000E+009, +1.92006466759E-001, +0.00000000000E+000
+7.63500000000E+009, +1.77828969904E-001, +0.00000000000E+000
+7.64000000000E+009, +1.90397929332E-001, +0.00000000000E+000
+7.64500000000E+009, +1.82139364912E-001, +0.00000000000E+000
+7.65000000000E+009, +1.93029736323E-001, +0.00000000000E+000
+7.65500000000E+009, +1.84748460056E-001, +0.00000000000E+000
+7.66000000000E+009, +1.83658361480E-001, +0.00000000000E+000
+7.66500000000E+009, +2.00388568976E-001, +0.00000000000E+000
+7.67000000000E+009, +2.10979093041E-001, +0.00000000000E+000
+7.67500000000E+009, +2.05684487571E-001, +0.00000000000E+000
+7.68000000000E+009, +2.15496141550E-001, +0.00000000000E+000
+7.68500000000E+009, +2.13023377705E-001, +0.00000000000E+000
+7.69000000000E+009, +2.02962573796E-001, +0.00000000000E+000
+7.69500000000E+009, +2.00753714482E-001, +0.00000000000E+000
+7.70000000000E+009, +2.08033304622E-001, +0.00000000000E+000
+7.70500000000E+009, +1.93196006999E-001, +0.00000000000E+000
+7.71000000000E+009, +1.96693937169E-001, +0.00000000000E+000
+7.71500000000E+009, +2.01168620338E-001, +0.00000000000E+000
+7.72000000000E+009, +2.02434170989E-001, +0.00000000000E+000
+7.72500000000E+009, +1.80467441570E-001, +0.00000000000E+000
+7.73000000000E+009, +1.86194156380E-001, +0.00000000000E+000
+7.73500000000E+009, +1.84695456856E-001, +0.00000000000E+000
+7.74000000000E+009, +1.76777183198E-001, +0.00000000000E+000
+7.74500000000E+009, +1.74392923718E-001, +0.00000000000E+000
+7.75000000000E+009, +1.84193071889E-001, +0.00000000000E+000
+7.75500000000E+009, +1.79173726385E-001, +0.00000000000E+000
+7.76000000000E+009, +1.94479956588E-001, +0.00000000000E+000
+7.76500000000E+009, +1.96564313410E-001, +0.00000000000E+000
+7.77000000000E+009, +1.91776184721E-001, +0.00000000000E+000
+7.77500000000E+009, +2.20060552596E-001, +0.00000000000E+000
+7.78000000000E+009, +2.13887903955E-001, +0.00000000000E+000
+7.78500000000E+009, +2.07116595023E-001, +0.00000000000E+000
+7.79000000000E+009, +2.04812006524E-001, +0.00000000000E+000
+7.79500000000E+009, +1.96273360268E-001, +0.00000000000E+000
+7.80000000000E+009, +1.99305046155E-001, +0.00000000000E+000
+7.80500000000E+009, +2.15075593748E-001, +0.00000000000E+000
+7.81000000000E+009, +2.03481677114E-001, +0.00000000000E+000
+7.81500000000E+009, +1.95931536347E-001, +0.00000000000E+000
