"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +6.55630298166E+001, +0.00000000000E+000
+7.50500000000E+009, +6.38330032670E+001, +0.00000000000E+000
+7.51000000000E+009, +6.17330591270E+001, +0.00000000000E+000
+7.51500000000E+009, +5.87988121646E+001, +0.00000000000E+000
+7.52000000000E+009, +5.64448824700E+001, +0.00000000000E+000
+7.52500000000E+009, +5.46449573805E+001, +0.00000000000E+000
+7.53000000000E+009, +5.14516327352E+001, +0.00000000000E+000
+7.53500000000E+009, +4.90115445432E+001, +0.00000000000E+000
+7.54000000000E+009, +4.70130342456E+001, +0.00000000000E+000
+7.54500000000E+009, +4.37826442767E+001, +0.00000000000E+000
+7.55000000000E+009, +4.15813427448E+001, +0.00000000000E+000
+7.55500000000E+009, +3.86904815907E+001, +0.00000000000E+000
+7.56000000000E+009, +3.65865310890E+001, +0.00000000000E+000
+7.56500000000E+009, +3.41385476338E+001, +0.00000000000E+000
+7.57000000000E+009, +3.35786698734E+001, +0.00000000000E+000
+7.57500000000E+009, +3.10838388614E+001, +0.00000000000E+000
+7.58000000000E+009, +3.05380507401E+001, +0.00000000000E+000
+7.58500000000E+009, +2.85550778292E+001, +0.00000000000E+000
+7.59000000000E+009, +2.63685346798E+001, +0.00000000000E+000
+7.59500000000E+009, +2.58332407101E+001, +0.00000000000E+000
+7.60000000000E+009, +2.39403626623E+001, +0.00000000000E+000
+7.60500000000E+009, +2.21791838929E+001, +0.00000000000E+000
+7.61000000000E+009, +2.02397566591E+001, +0.00000000000E+000
+7.61500000000E+009, +1.73018601941E+001, +0.00000000000E+000
+7.62000000000E+009, +1.57738271200E+001, +0.00000000000E+000
+7.62500000000E+009, +1.31975571884E+001, +0.00000000000E+000
+7.63000000000E+009, +1.14594297082E+001, +0.00000000000E+000
+7.63500000000E+009, +8.09783543059E+000, +0.00000000000E+000
+7.64000000000E+009, +4.96449612921E+000, +0.00000000000E+000
+7.64500000000E+009, +2.53971969723E+000, +0.00000000000E+000
+7.65000000000E+009, +5.61495916498E-001, +0.00000000000E+000
+7.65500000000E+009, -2.14366579471E+000, +0.00000000000E+000
+7.66000000000E+009, -3.91089338604E+000, +0.00000000000E+000
+7.66500000000E+009, -5.12802739380E+000, +0.00000000000E+000
+7.67000000000E+009, -7.73916428354E+000, +0.00000000000E+000
+7.67500000000E+009, -9.49294567683E+000, +0.00000000000E+000
+7.68000000000E+009, -1.19283201626E+001, +0.00000000000E+000
+7.68500000000E+009, -1.34176624369E+001, +0.00000000000E+000
+7.69000000000E+009, -1.43812746617E+001, +0.00000000000E+000
+7.69500000000E+009, -1.60692406469E+001, +0.00000000000E+000
+7.70000000000E+009, -1.77370262004E+001, +0.00000000000E+000
+7.70500000000E+009, -1.91174457912E+001, +0.00000000000E+000
+7.71000000000E+009, -2.06720852311E+001, +0.00000000000E+000
+7.71500000000E+009, -2.33250006758E+001, +0.00000000000E+000
+7.72000000000E+009, -2.43036110425E+001, +0.00000000000E+000
+7.72500000000E+009, -2.67574588596E+001, +0.00000000000E+000
+7.73000000000E+009, -2.93373213579E+001, +0.00000000000E+000
+7.73500000000E+009, -3.14909739166E+001, +0.00000000000E+000
+7.74000000000E+009, -3.37549670535E+001, +0.00000000000E+000
+7.74500000000E+009, -3.74186242658E+001, +0.00000000000E+000
+7.75000000000E+009, -3.95817377707E+001, +0.00000000000E+000
+7.75500000000E+009, -4.14295440818E+001, +0.00000000000E+000
+7.76000000000E+009, -4.40979168552E+001, +0.00000000000E+000
+7.76500000000E+009, -4.57339403395E+001, +0.00000000000E+000
+7.77000000000E+009, -4.75684370576E+001, +0.00000000000E+000
+7.77500000000E+009, -4.87575303781E+001, +0.00000000000E+000
+7.78000000000E+009, -5.08916155840E+001, +0.00000000000E+000
+7.78500000000E+009, -5.21282586378E+001, +0.00000000000E+000
+7.79000000000E+009, -5.43606183495E+001, +0.00000000000E+000
+7.79500000000E+009, -5.62578144630E+001, +0.00000000000E+000
+7.80000000000E+009, -5.67499437096E+001, +0.00000000000E+000
+7.80500000000E+009, -5.73179609108E+001, +0.00000000000E+000
+7.81000000000E+009, -5.97512670937E+001, +0.00000000000E+000
+7.81500000000E+009, -6.19781809961E+001, +0.00000000000E+000
+7.82000000000E+009, -6.40895054367E+001, +0.00000000000E+000
+7.82500000000E+009, -6.59534769354E+001, +0.00000000000E+000
+7.83000000000E+009, -6.89761104350E+001, +0.00000000000E+000
+7.83500000000E+009, -7.10844698557E+001, +0.00000000000E+000
+7.84000000000E+009, -7.24346506444E+001, +0.00000000000E+000
+7.84500000000E+009, -7.43529342618E+001, +0.00000000000E+000
+7.85000000000E+009, -7.70940269322E+001, +0.00000000000E+000
+7.85500000000E+009, -8.04715218031E+001, +0.00000000000E+000
+7.86000000000E+009, -8.17030588508E+001, +0.00000000000E+000
+7.86500000000E+009, -8.43436861400E+001, +0.00000000000E+000
+7.87000000000E+009, -8.66146851212E+001, +0.00000000000E+000
+7.87500000000E+009, -8.82110774627E+001, +0.00000000000E+000
+7.88000000000E+009, -8.92467740230E+001, +0.00000000000E+000
+7.88500000000E+009, -9.05647128384E+001, +0.00000000000E+000
+7.89000000000E+009, -9.24369900531E+001, +0.00000000000E+000
+7.89500000000E+009, -9.28989657100E+001, +0.00000000000E+000
+7.90000000000E+009, -9.56569477899E+001, +0.00000000000E+000
+7.90500000000E+009, -9.73765323238E+001, +0.00000000000E+000
+7.91000000000E+009, -9.80532694744E+001, +0.00000000000E+000
+7.91500000000E+009, -1.00692590715E+002, +0.00000000000E+000
+7.92000000000E+009, -1.02029336218E+002, +0.00000000000E+000
+7.92500000000E+009, -1.04489643106E+002, +0.00000000000E+000
+7.93000000000E+009, -1.05428974941E+002, +0.00000000000E+000
+7.93500000000E+009, -1.08343357756E+002, +0.00000000000E+000
+7.94000000000E+009, -1.11258364025E+002, +0.00000000000E+000
+7.94500000000E+009, -1.12705678991E+002, +0.00000000000E+000
+7.95000000000E+009, -1.16264991808E+002, +0.00000000000E+000
+7.95500000000E+009, -1.17801981338E+002, +0.00000000000E+000
+7.96000000000E+009, -1.19166740315E+002, +0.00000000000E+000
+7.96500000000E+009, -1.21530735496E+002, +0.00000000000E+000
+7.97000000000E+009, -1.23816156837E+002, +0.00000000000E+000
+7.97500000000E+009, -1.24805262797E+002, +0.00000000000E+000
+7.98000000000E+009, -1.27144042055E+002, +0.00000000000E+000
+7.98500000000E+009, -1.27853183253E+002, +0.00000000000E+000
+7.99000000000E+009, -1.28908957960E+002, +0.00000000000E+000
+7.99500000000E+009, -1.31272918337E+002, +0.00000000000E+000
+8.00000000000E+009, -1.32788111713E+002, +0.00000000000E+000
+8.00500000000E+009, -1.34766854918E+002, +0.00000000000E+000
+8.01000000000E+009, -1.35724806564E+002, +0.00000000000E+000
+8.01500000000E+009, -1.37578288248E+002, +0.00000000000E+000
+8.02000000000E+009, -1.40564665792E+002, +0.00000000000E+000
+8.02500000000E+009, -1.41488024601E+002, +0.00000000000E+000
+8.03000000000E+009, -1.42929030287E+002, +0.00000000000E+000
+8.03500000000E+009, -1.44714312608E+002, +0.00000000000E+000
+8.04000000000E+009, -1.48183755614E+002, +0.00000000000E+000
+8.04500000000E+009, -1.49951516098E+002, +0.00000000000E+000
+8.05000000000E+009, -1.52675309295E+002, +0.00000000000E+000
+8.05500000000E+009, -1.54574388646E+002, +0.00000000000E+000
+8.06000000000E+009, -1.56178132716E+002, +0.00000000000E+000
+8.06500000000E+009, -1.57522153558E+002, +0.00000000000E+000
+8.07000000000E+009, -1.59672415045E+002, +0.00000000000E+000
+8.07500000000E+009, -1.62043074432E+002, +0.00000000000E+000
+8.08000000000E+009, -1.62767981628E+002, +0.00000000000E+000
+8.08500000000E+009, -1.64650049962E+002, +0.00000000000E+000
+8.09000000000E+009, -1.67031283610E+002, +0.00000000000E+000
+8.09500000000E+009, -1.67348278525E+002, +0.00000000000E+000
+8.10000000000E+009, -1.70436646968E+002, +0.00000000000E+000
+8.10500000000E+009, -1.70711591327E+002, +0.00000000000E+000
+8.11000000000E+009, -1.73453386774E+002, +0.00000000000E+000
+8.11500000000E+009, -1.74815722959E+002, +0.00000000000E+000
+8.12000000000E+009, -1.77067865363E+002, +0.00000000000E+000
+8.12500000000E+009, -1.78729454713E+002, +0.00000000000E+000
+8.13000000000E+009, +1.79335497972E+002, +0.00000000000E+000
+8.13500000000E+009, +1.77239130304E+002, +0.00000000000E+000
+8.14000000000E+009, +1.75324651265E+002, +0.00000000000E+000
+8.14500000000E+009, +1.73719770650E+002, +0.00000000000E+000
+8.15000000000E+009, +1.71564919848E+002, +0.00000000000E+000
+8.15500000000E+009, +1.70892258498E+002, +0.00000000000E+000
+8.16000000000E+009, +1.67715894671E+002, +0.00000000000E+000
+8.16500000000E+009, +1.64854067805E+002, +0.00000000000E+000
+8.17000000000E+009, +1.64410071562E+002, +0.00000000000E+000
+8.17500000000E+009, +1.62795429458E+002, +0.00000000000E+000
+8.18000000000E+009, +1.61515491572E+002, +0.00000000000E+000
+8.18500000000E+009, +1.59295173811E+002, +0.00000000000E+000
+8.19000000000E+009, +1.57155003670E+002, +0.00000000000E+000
+8.19500000000E+009, +1.57297301069E+002, +0.00000000000E+000
+8.20000000000E+009, +1.54470667124E+002, +0.00000000000E+000
+8.20500000000E+009, +1.52645610387E+002, +0.00000000000E+000
+8.21000000000E+009, +1.50784897174E+002, +0.00000000000E+000
+8.21500000000E+009, +1.49388396165E+002, +0.00000000000E+000
+8.22000000000E+009, +1.47297487069E+002, +0.00000000000E+000
+8.22500000000E+009, +1.45831277996E+002, +0.00000000000E+000
+8.23000000000E+009, +1.44668393326E+002, +0.00000000000E+000
+8.23500000000E+009, +1.42458992886E+002, +0.00000000000E+000
+8.24000000000E+009, +1.40747739098E+002, +0.00000000000E+000
+8.24500000000E+009, +1.38626874633E+002, +0.00000000000E+000
+8.25000000000E+009, +1.36093988217E+002, +0.00000000000E+000
+8.25500000000E+009, +1.35024287333E+002, +0.00000000000E+000
+8.26000000000E+009, +1.32667443210E+002, +0.00000000000E+000
+8.26500000000E+009, +1.30552218016E+002, +0.00000000000E+000
+8.27000000000E+009, +1.30035484929E+002, +0.00000000000E+000
+8.27500000000E+009, +1.27709476211E+002, +0.00000000000E+000
+8.28000000000E+009, +1.25522461073E+002, +0.00000000000E+000
+8.28500000000E+009, +1.23601369595E+002, +0.00000000000E+000
+8.29000000000E+009, +1.21095246250E+002, +0.00000000000E+000
+8.29500000000E+009, +1.21143535901E+002, +0.00000000000E+000
+8.30000000000E+009, +1.18741797001E+002, +0.00000000000E+000
+8.30500000000E+009, +1.17876522455E+002, +0.00000000000E+000
+8.31000000000E+009, +1.17298068531E+002, +0.00000000000E+000
+8.31500000000E+009, +1.14512954468E+002, +0.00000000000E+000
+8.32000000000E+009, +1.13532261064E+002, +0.00000000000E+000
+8.32500000000E+009, +1.10736164825E+002, +0.00000000000E+000
+8.33000000000E+009, +1.09627296620E+002, +0.00000000000E+000
+8.33500000000E+009, +1.07936528965E+002, +0.00000000000E+000
+8.34000000000E+009, +1.06336767607E+002, +0.00000000000E+000
+8.34500000000E+009, +1.03301048943E+002, +0.00000000000E+000
+8.35000000000E+009, +1.02669606033E+002, +0.00000000000E+000
+8.35500000000E+009, +9.97115419941E+001, +0.00000000000E+000
+8.36000000000E+009, +9.82010964261E+001, +0.00000000000E+000
+8.36500000000E+009, +9.58237208745E+001, +0.00000000000E+000
+8.37000000000E+009, +9.36467085789E+001, +0.00000000000E+000
+8.37500000000E+009, +9.18209175109E+001, +0.00000000000E+000
+8.38000000000E+009, +9.15140804739E+001, +0.00000000000E+000
+8.38500000000E+009, +8.84706132359E+001, +0.00000000000E+000
+8.39000000000E+009, +8.76229699960E+001, +0.00000000000E+000
+8.39500000000E+009, +8.61288437258E+001, +0.00000000000E+000
+8.40000000000E+009, +8.48591582289E+001, +0.00000000000E+000
+8.40500000000E+009, +8.26654122873E+001, +0.00000000000E+000
+8.41000000000E+009, +8.25167003123E+001, +0.00000000000E+000
+8.41500000000E+009, +7.98748876347E+001, +0.00000000000E+000
+8.42000000000E+009, +7.83431418890E+001, +0.00000000000E+000
+8.42500000000E+009, +7.78308144134E+001, +0.00000000000E+000
+8.43000000000E+009, +7.50592621249E+001, +0.00000000000E+000
+8.43500000000E+009, +7.31557866070E+001, +0.00000000000E+000
+8.44000000000E+009, +7.13113436468E+001, +0.00000000000E+000
+8.44500000000E+009, +7.08054208983E+001, +0.00000000000E+000
+8.45000000000E+009, +6.90503093458E+001, +0.00000000000E+000
+8.45500000000E+009, +6.59151031374E+001, +0.00000000000E+000
+8.46000000000E+009, +6.30949951681E+001, +0.00000000000E+000
+8.46500000000E+009, +6.06261595619E+001, +0.00000000000E+000
+8.47000000000E+009, +6.02044569706E+001, +0.00000000000E+000
+8.47500000000E+009, +6.01273884639E+001, +0.00000000000E+000
+8.48000000000E+009, +5.81534377043E+001, +0.00000000000E+000
+8.48500000000E+009, +5.64479972262E+001, +0.00000000000E+000
+8.49000000000E+009, +5.40243546358E+001, +0.00000000000E+000
+8.49500000000E+009, +5.32429210166E+001, +0.00000000000E+000
+8.50000000000E+009, +5.14430777317E+001, +0.00000000000E+000
