"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +2.66560730354E-001, +0.00000000000E+000
+7.50500000000E+009, +2.69715054470E-001, +0.00000000000E+000
+7.51000000000E+009, +2.74178142317E-001, +0.00000000000E+000
+7.51500000000E+009, +2.74920249132E-001, +0.00000000000E+000
+7.52000000000E+009, +2.68649926172E-001, +0.00000000000E+000
+7.52500000000E+009, +2.65413977141E-001, +0.00000000000E+000
+7.53000000000E+009, +2.61400823106E-001, +0.00000000000E+000
+7.53500000000E+009, +2.54227916402E-001, +0.00000000000E+000
+7.54000000000E+009, +2.51448581138E-001, +0.00000000000E+000
+7.54500000000E+009, +2.46257865111E-001, +0.00000000000E+000
+7.55000000000E+009, +2.34982695235E-001, +0.00000000000E+000
+7.55500000000E+009, +2.36071879921E-001, +0.00000000000E+000
+7.56000000000E+009, +2.30248083251E-001, +0.00000000000E+000
+7.56500000000E+009, +2.29981708182E-001, +0.00000000000E+000
+7.57000000000E+009, +2.30730039691E-001, +0.00000000000E+000
+7.57500000000E+009, +2.31853095801E-001, +0.00000000000E+000
+7.58000000000E+009, +2.39844761057E-001, +0.00000000000E+000
+7.58500000000E+009, +2.43639079721E-001, +0.00000000000E+000
+7.59000000000E+009, +2.45509229963E-001, +0.00000000000E+000
+7.59500000000E+009, +2.48223927040E-001, +0.00000000000E+000
+7.60000000000E+009, +2.54472564739E-001, +0.00000000000E+000
+7.60500000000E+009, +2.50384256105E-001, +0.00000000000E+000
+7.61000000000E+009, +2.61483857626E-001, +0.00000000000E+000
+7.61500000000E+009, +2.60545408665E-001, +0.00000000000E+000
+7.62000000000E+009, +2.58107909370E-001, +0.00000000000E+000
+7.62500000000E+009, +2.52677567664E-001, +0.00000000000E+000
+7.63000000000E+009, +2.58528543887E-001, +0.00000000000E+000
+7.63500000000E+009, +2.49315371085E-001, +0.00000000000E+000
+7.64000000000E+009, +2.38755035080E-001, +0.00000000000E+000
+7.64500000000E+009, +2.40818536126E-001, +0.00000000000E+000
+7.65000000000E+009, +2.37463650107E-001, +0.00000000000E+000
+7.65500000000E+009, +2.33371127925E-001, +0.00000000000E+000
+7.66000000000E+009, +2.31778173169E-001, +0.00000000000E+000
+7.66500000000E+009, +2.31835817443E-001, +0.00000000000E+000
+7.67000000000E+009, +2.34068354093E-001, +0.00000000000E+000
+7.67500000000E+009, +2.36965669977E-001, +0.00000000000E+000
+7.68000000000E+009, +2.46545230646E-001, +0.00000000000E+000
+7.68500000000E+009, +2.48274330769E-001, +0.00000000000E+000
+7.69000000000E+009, +2.49228905292E-001, +0.00000000000E+000
+7.69500000000E+009, +2.48847206260E-001, +0.00000000000E+000
+7.70000000000E+009, +2.53882576317E-001, +0.00000000000E+000
+7.70500000000E+009, +2.52480980659E-001, +0.00000000000E+000
+7.71000000000E+009, +2.55273102106E-001, +0.00000000000E+000
+7.71500000000E+009, +2.51604704491E-001, +0.00000000000E+000
+7.72000000000E+009, +2.50194813808E-001, +0.00000000000E+000
+7.72500000000E+009, +2.51797548409E-001, +0.00000000000E+000
+7.73000000000E+009, +2.45805730650E-001, +0.00000000000E+000
+7.73500000000E+009, +2.39650364626E-001, +0.00000000000E+000
+7.74000000000E+009, +2.36383062536E-001, +0.00000000000E+000
+7.74500000000E+009, +2.36956276785E-001, +0.00000000000E+000
+7.75000000000E+009, +2.31375283290E-001, +0.00000000000E+000
+7.75500000000E+009, +2.35703071429E-001, +0.00000000000E+000
+7.76000000000E+009, +2.31518359120E-001, +0.00000000000E+000
+7.76500000000E+009, +2.41681138083E-001, +0.00000000000E+000
+7.77000000000E+009, +2.44177726255E-001, +0.00000000000E+000
+7.77500000000E+009, +2.48170500690E-001, +0.00000000000E+000
+7.78000000000E+009, +2.52259332899E-001, +0.00000000000E+000
+7.78500000000E+009, +2.46629829302E-001, +0.00000000000E+000
+7.79000000000E+009, +2.53797954809E-001, +0.00000000000E+000
+7.79500000000E+009, +2.54667577874E-001, +0.00000000000E+000
+7.80000000000E+009, +2.52603588523E-001, +0.00000000000E+000
+7.80500000000E+009, +2.50419760820E-001, +0.00000000000E+000
+7.81000000000E+009, +2.59505386043E-001, +0.00000000000E+000
+7.81500000000E+009, +2.62551403954E-001, +0.00000000000E+000
+7.82000000000E+009, +2.49976859576E-001, +0.00000000000E+000
+7.82500000000E+009, +2.48102202542E-001, +0.00000000000E+000
+7.83000000000E+009, +2.39924521487E-001, +0.00000000000E+000
+7.83500000000E+009, +2.36527257402E-001, +0.00000000000E+000
+7.84000000000E+009, +2.33221755627E-001, +0.00000000000E+000
+7.84500000000E+009, +2.30347500830E-001, +0.00000000000E+000
+7.85000000000E+009, +2.30371498598E-001, +0.00000000000E+000
+7.85500000000E+009, +2.34698023370E-001, +0.00000000000E+000
+7.86000000000E+009, +2.29558391439E-001, +0.00000000000E+000
+7.86500000000E+009, +2.35720916659E-001, +0.00000000000E+000
+7.87000000000E+009, +2.38417351480E-001, +0.00000000000E+000
+7.87500000000E+009, +2.39558250831E-001, +0.00000000000E+000
+7.88000000000E+009, +2.52586276988E-001, +0.00000000000E+000
+7.88500000000E+009, +2.52865586541E-001, +0.00000000000E+000
+7.89000000000E+009, +2.58350081601E-001, +0.00000000000E+000
+7.89500000000E+009, +2.66391035642E-001, +0.00000000000E+000
+7.90000000000E+009, +2.60952300669E-001, +0.00000000000E+000
+7.90500000000E+009, +2.61676493932E-001, +0.00000000000E+000
+7.91000000000E+009, +2.61087731145E-001, +0.00000000000E+000
+7.91500000000E+009, +2.63582681662E-001, +0.00000000000E+000
+7.92000000000E+009, +2.53930759615E-001, +0.00000000000E+000
+7.92500000000E+009, +2.48038706459E-001, +0.00000000000E+000
+7.93000000000E+009, +2.42175410632E-001, +0.00000000000E+000
+7.93500000000E+009, +2.44342519266E-001, +0.00000000000E+000
+7.94000000000E+009, +2.42100363517E-001, +0.00000000000E+000
+7.94500000000E+009, +2.29263407984E-001, +0.00000000000E+000
+7.95000000000E+009, +2.34244416192E-001, +0.00000000000E+000
+7.95500000000E+009, +2.31946378435E-001, +0.00000000000E+000
+7.96000000000E+009, +2.33063819234E-001, +0.00000000000E+000
+7.96500000000E+009, +2.41063552173E-001, +0.00000000000E+000
+7.97000000000E+009, +2.45082785070E-001, +0.00000000000E+000
+7.97500000000E+009, +2.56450716123E-001, +0.00000000000E+000
+7.98000000000E+009, +2.56961641071E-001, +0.00000000000E+000
+7.98500000000E+009, +2.65091138989E-001, +0.00000000000E+000
+7.99000000000E+009, +2.67721148664E-001, +0.00000000000E+000
+7.99500000000E+009, +2.62871890041E-001, +0.00000000000E+000
+8.00000000000E+009, +2.70730991595E-001, +0.00000000000E+000
+8.00500000000E+009, +2.64727174834E-001, +0.00000000000E+000
+8.01000000000E+009, +2.60215934371E-001, +0.00000000000E+000
+8.01500000000E+009, +2.53774575740E-001, +0.00000000000E+000
+8.02000000000E+009, +2.50518152271E-001, +0.00000000000E+000
+8.02500000000E+009, +2.39627538100E-001, +0.00000000000E+000
+8.03000000000E+009, +2.43147013502E-001, +0.00000000000E+000
+8.03500000000E+009, +2.29729266843E-001, +0.00000000000E+000
+8.04000000000E+009, +2.35330603811E-001, +0.00000000000E+000
+8.04500000000E+009, +2.31236880879E-001, +0.00000000000E+000
+8.05000000000E+009, +2.29494948475E-001, +0.00000000000E+000
+8.05500000000E+009, +2.30032349123E-001, +0.00000000000E+000
+8.06000000000E+009, +2.34159364542E-001, +0.00000000000E+000
+8.06500000000E+009, +2.38911080992E-001, +0.00000000000E+000
+8.07000000000E+009, +2.46882817840E-001, +0.00000000000E+000
+8.07500000000E+009, +2.54701120834E-001, +0.00000000000E+000
+8.08000000000E+009, +2.51396275810E-001, +0.00000000000E+000
+8.08500000000E+009, +2.67413626929E-001, +0.00000000000E+000
+8.09000000000E+009, +2.63840338047E-001, +0.00000000000E+000
