"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +1.00247330409E+002, +0.00000000000E+000
+7.50500000000E+009, +9.93600013463E+001, +0.00000000000E+000
+7.51000000000E+009, +9.80347011000E+001, +0.00000000000E+000
+7.51500000000E+009, +9.93543734922E+001, +0.00000000000E+000
+7.52000000000E+009, +9.94601815223E+001, +0.00000000000E+000
+7.52500000000E+009, +9.84941295496E+001, +0.00000000000E+000
+7.53000000000E+009, +9.90566045454E+001, +0.00000000000E+000
+7.53500000000E+009, +1.01422112908E+002, +0.00000000000E+000
+7.54000000000E+009, +1.01155586230E+002, +0.00000000000E+000
+7.54500000000E+009, +9.99365135198E+001, +0.00000000000E+000
+7.55000000000E+009, +9.98990427481E+001, +0.00000000000E+000
+7.55500000000E+009, +9.71191846733E+001, +0.00000000000E+000
+7.56000000000E+009, +9.43543832801E+001, +0.00000000000E+000
+7.56500000000E+009, +9.12508303783E+001, +0.00000000000E+000
+7.57000000000E+009, +8.74157586328E+001, +0.00000000000E+000
+7.57500000000E+009, +8.46194935093E+001, +0.00000000000E+000
+7.58000000000E+009, +8.11485414112E+001, +0.00000000000E+000
+7.58500000000E+009, +7.70396609322E+001, +0.00000000000E+000
+7.59000000000E+009, +7.48733361481E+001, +0.00000000000E+000
+7.59500000000E+009, +7.13781540369E+001, +0.00000000000E+000
+7.60000000000E+009, +7.06549955269E+001, +0.00000000000E+000
+7.60500000000E+009, +6.91497820193E+001, +0.00000000000E+000
+7.61000000000E+009, +6.91488004733E+001, +0.00000000000E+000
+7.61500000000E+009, +7.00128899128E+001, +0.00000000000E+000
+7.62000000000E+009, +7.20902253901E+001, +0.00000000000E+000
+7.62500000000E+009, +7.33375236946E+001, +0.00000000000E+000
+7.63000000000E+009, +7.34984073184E+001, +0.00000000000E+000
+7.63500000000E+009, +7.45267838825E+001, +0.00000000000E+000
+7.64000000000E+009, +7.55543600959E+001, +0.00000000000E+000
+7.64500000000E+009, +7.47826582557E+001, +0.00000000000E+000
+7.65000000000E+009, +7.33499713312E+001, +0.00000000000E+000
+7.65500000000E+009, +7.15808841105E+001, +0.00000000000E+000
+7.66000000000E+009, +6.74469350559E+001, +0.00000000000E+000
+7.66500000000E+009, +6.36694599077E+001, +0.00000000000E+000
+7.67000000000E+009, +6.13121890227E+001, +0.00000000000E+000
+7.67500000000E+009, +5.63859920420E+001, +0.00000000000E+000
+7.68000000000E+009, +5.36047251822E+001, +0.00000000000E+000
+7.68500000000E+009, +5.04534836636E+001, +0.00000000000E+000
+7.69000000000E+009, +4.91809440073E+001, +0.00000000000E+000
+7.69500000000E+009, +4.58397559088E+001, +0.00000000000E+000
+7.70000000000E+009, +4.61384078522E+001, +0.00000000000E+000
+7.70500000000E+009, +4.52363860091E+001, +0.00000000000E+000
+7.71000000000E+009, +4.64646385918E+001, +0.00000000000E+000
+7.71500000000E+009, +4.76837274160E+001, +0.00000000000E+000
+7.72000000000E+009, +4.93228051387E+001, +0.00000000000E+000
+7.72500000000E+009, +4.94270887709E+001, +0.00000000000E+000
+7.73000000000E+009, +5.13181052971E+001, +0.00000000000E+000
+7.73500000000E+009, +5.07904142305E+001, +0.00000000000E+000
+7.74000000000E+009, +4.94909824111E+001, +0.00000000000E+000
+7.74500000000E+009, +4.80552834715E+001, +0.00000000000E+000
+7.75000000000E+009, +4.68333068319E+001, +0.00000000000E+000
+7.75500000000E+009, +4.33914674240E+001, +0.00000000000E+000
+7.76000000000E+009, +4.03093256234E+001, +0.00000000000E+000
+7.76500000000E+009, +3.76104096273E+001, +0.00000000000E+000
+7.77000000000E+009, +3.45047138578E+001, +0.00000000000E+000
+7.77500000000E+009, +3.10887599337E+001, +0.00000000000E+000
+7.78000000000E+009, +2.70707193289E+001, +0.00000000000E+000
+7.78500000000E+009, +2.49296271544E+001, +0.00000000000E+000
+7.79000000000E+009, +2.34119897063E+001, +0.00000000000E+000
+7.79500000000E+009, +2.16242881638E+001, +0.00000000000E+000
+7.80000000000E+009, +2.28496607720E+001, +0.00000000000E+000
+7.80500000000E+009, +2.25756630002E+001, +0.00000000000E+000
+7.81000000000E+009, +2.30138891083E+001, +0.00000000000E+000
+7.81500000000E+009, +2.39949409639E+001, +0.00000000000E+000
+7.82000000000E+009, +2.43788597836E+001, +0.00000000000E+000
+7.82500000000E+009, +2.50871401880E+001, +0.00000000000E+000
+7.83000000000E+009, +2.52511772083E+001, +0.00000000000E+000
+7.83500000000E+009, +2.41452811837E+001, +0.00000000000E+000
+7.84000000000E+009, +2.46042436725E+001, +0.00000000000E+000
+7.84500000000E+009, +2.30254807003E+001, +0.00000000000E+000
+7.85000000000E+009, +2.09331543643E+001, +0.00000000000E+000
+7.85500000000E+009, +1.66676267990E+001, +0.00000000000E+000
+7.86000000000E+009, +1.36179958270E+001, +0.00000000000E+000
+7.86500000000E+009, +8.88870756104E+000, +0.00000000000E+000
+7.87000000000E+009, +6.68021774468E+000, +0.00000000000E+000
+7.87500000000E+009, +3.87925683689E+000, +0.00000000000E+000
+7.88000000000E+009, +1.10091752510E+000, +0.00000000000E+000
+7.88500000000E+009, -1.11665096004E+000, +0.00000000000E+000
+7.89000000000E+009, -2.60810016932E+000, +0.00000000000E+000
+7.89500000000E+009, -2.28955827987E+000, +0.00000000000E+000
+7.90000000000E+009, -2.68524376575E+000, +0.00000000000E+000
+7.90500000000E+009, -8.94397878723E-001, +0.00000000000E+000
+7.91000000000E+009, +3.36657137552E-001, +0.00000000000E+000
+7.91500000000E+009, +1.18829950238E+000, +0.00000000000E+000
+7.92000000000E+009, +1.00462919833E+000, +0.00000000000E+000
+7.92500000000E+009, +1.84350930988E+000, +0.00000000000E+000
+7.93000000000E+009, -1.82180790643E-001, +0.00000000000E+000
+7.93500000000E+009, -6.85442102380E-001, +0.00000000000E+000
+7.94000000000E+009, -2.33906633738E+000, +0.00000000000E+000
+7.94500000000E+009, -4.09907432955E+000, +0.00000000000E+000
+7.95000000000E+009, -7.38279637620E+000, +0.00000000000E+000
+7.95500000000E+009, -9.92401551164E+000, +0.00000000000E+000
+7.96000000000E+009, -1.44219606901E+001, +0.00000000000E+000
+7.96500000000E+009, -1.83073551668E+001, +0.00000000000E+000
+7.97000000000E+009, -2.16516129418E+001, +0.00000000000E+000
+7.97500000000E+009, -2.35806083698E+001, +0.00000000000E+000
+7.98000000000E+009, -2.65343407951E+001, +0.00000000000E+000
+7.98500000000E+009, -2.66084051428E+001, +0.00000000000E+000
+7.99000000000E+009, -2.75520638127E+001, +0.00000000000E+000
+7.99500000000E+009, -2.82816626823E+001, +0.00000000000E+000
+8.00000000000E+009, -2.81088389890E+001, +0.00000000000E+000
+8.00500000000E+009, -2.76453731192E+001, +0.00000000000E+000
+8.01000000000E+009, -2.71588758466E+001, +0.00000000000E+000
+8.01500000000E+009, -2.68608150671E+001, +0.00000000000E+000
+8.02000000000E+009, -2.73638148344E+001, +0.00000000000E+000
+8.02500000000E+009, -2.79274521269E+001, +0.00000000000E+000
+8.03000000000E+009, -2.84276815378E+001, +0.00000000000E+000
+8.03500000000E+009, -3.00712958172E+001, +0.00000000000E+000
+8.04000000000E+009, -3.13454002425E+001, +0.00000000000E+000
+8.04500000000E+009, -3.43645633150E+001, +0.00000000000E+000
+8.05000000000E+009, -3.66023941413E+001, +0.00000000000E+000
+8.05500000000E+009, -4.00862464347E+001, +0.00000000000E+000
+8.06000000000E+009, -4.26014792574E+001, +0.00000000000E+000
+8.06500000000E+009, -4.52918206584E+001, +0.00000000000E+000
+8.07000000000E+009, -4.69348757083E+001, +0.00000000000E+000
+8.07500000000E+009, -5.02727744663E+001, +0.00000000000E+000
+8.08000000000E+009, -5.20448225929E+001, +0.00000000000E+000
