"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +9.47508227212E-001, +0.00000000000E+000
+7.50500000000E+009, +9.37622129026E-001, +0.00000000000E+000
+7.51000000000E+009, +9.44397163797E-001, +0.00000000000E+000
+7.51500000000E+009, +9.39271248271E-001, +0.00000000000E+000
+7.52000000000E+009, +9.31204952030E-001, +0.00000000000E+000
+7.52500000000E+009, +9.29024073039E-001, +0.00000000000E+000
+7.53000000000E+009, +9.19715556616E-001, +0.00000000000E+000
+7.53500000000E+009, +9.08522994821E-001, +0.00000000000E+000
+7.54000000000E+009, +9.19094862594E-001, +0.00000000000E+000
+7.54500000000E+009, +8.90105893102E-001, +0.00000000000E+000
+7.55000000000E+009, +8.89123370111E-001, +0.00000000000E+000
+7.55500000000E+009, +9.00536635948E-001, +0.00000000000E+000
+7.56000000000E+009, +8.94479281473E-001, +0.00000000000E+000
+7.56500000000E+009, +9.14648228778E-001, +0.00000000000E+000
+7.57000000000E+009, +9.06337675491E-001, +0.00000000000E+000
+7.57500000000E+009, +9.08844605204E-001, +0.00000000000E+000
+7.58000000000E+009, +9.21710425353E-001, +0.00000000000E+000
+7.58500000000E+009, +9.33899532537E-001, +0.00000000000E+000
+7.59000000000E+009, +9.39891154652E-001, +0.00000000000E+000
+7.59500000000E+009, +9.55254175212E-001, +0.00000000000E+000
+7.60000000000E+009, +9.49582660667E-001, +0.00000000000E+000
+7.60500000000E+009, +9.59108910816E-001, +0.00000000000E+000
+7.61000000000E+009, +9.51243400529E-001, +0.00000000000E+000
+7.61500000000E+009, +9.43705261214E-001, +0.00000000000E+000
+7.62000000000E+009, +9.41100116883E-001, +0.00000000000E+000
+7.62500000000E+009, +9.37720686977E-001, +0.00000000000E+000
+7.63000000000E+009, +9.32334739617E-001, +0.00000000000E+000
+7.63500000000E+009, +9.29494319514E-001, +0.00000000000E+000
+7.64000000000E+009, +9.24569064308E-001, +0.00000000000E+000
+7.64500000000E+009, +9.12394059590E-001, +0.00000000000E+000
+7.65000000000E+009, +9.09183531399E-001, +0.00000000000E+000
+7.65500000000E+009, +9.08603492145E-001, +0.00000000000E+000
+7.66000000000E+009, +9.21170176677E-001, +0.00000000000E+000
+7.66500000000E+009, +9.20890472864E-001, +0.00000000000E+000
+7.67000000000E+009, +9.25786688729E-001, +0.00000000000E+000
+7.67500000000E+009, +9.38719112790E-001, +0.00000000000E+000
+7.68000000000E+009, +9.47431971416E-001, +0.00000000000E+000
+7.68500000000E+009, +9.52404084320E-001, +0.00000000000E+000
+7.69000000000E+009, +9.60822527933E-001, +0.00000000000E+000
+7.69500000000E+009, +9.60769403410E-001, +0.00000000000E+000
+7.70000000000E+009, +9.67871664466E-001, +0.00000000000E+000
+7.70500000000E+009, +9.56378925007E-001, +0.00000000000E+000
+7.71000000000E+009, +9.65568334897E-001, +0.00000000000E+000
+7.71500000000E+009, +9.57115888673E-001, +0.00000000000E+000
+7.72000000000E+009, +9.53951689337E-001, +0.00000000000E+000
+7.72500000000E+009, +9.46905883702E-001, +0.00000000000E+000
+7.73000000000E+009, +9.34869695074E-001, +0.00000000000E+000
+7.73500000000E+009, +9.39454199194E-001, +0.00000000000E+000
+7.74000000000E+009, +9.38663135483E-001, +0.00000000000E+000
+7.74500000000E+009, +9.24076100358E-001, +0.00000000000E+000
+7.75000000000E+009, +9.34795091933E-001, +0.00000000000E+000
+7.75500000000E+009, +9.30007856115E-001, +0.00000000000E+000
+7.76000000000E+009, +9.34723220957E-001, +0.00000000000E+000
+7.76500000000E+009, +9.43605659813E-001, +0.00000000000E+000
+7.77000000000E+009, +9.44910419414E-001, +0.00000000000E+000
+7.77500000000E+009, +9.50464025713E-001, +0.00000000000E+000
+7.78000000000E+009, +9.57988076450E-001, +0.00000000000E+000
+7.78500000000E+009, +9.52742000430E-001, +0.00000000000E+000
+7.79000000000E+009, +9.65559901152E-001, +0.00000000000E+000
+7.79500000000E+009, +9.64972133115E-001, +0.00000000000E+000
+7.80000000000E+009, +9.66237504369E-001, +0.00000000000E+000
+7.80500000000E+009, +9.70585634822E-001, +0.00000000000E+000
+7.81000000000E+009, +9.66519448966E-001, +0.00000000000E+000
+7.81500000000E+009, +9.66385710562E-001, +0.00000000000E+000
+7.82000000000E+009, +9.65064764159E-001, +0.00000000000E+000
+7.82500000000E+009, +9.53073156295E-001, +0.00000000000E+000
+7.83000000000E+009, +9.58657053898E-001, +0.00000000000E+000
+7.83500000000E+009, +9.53452456544E-001, +0.00000000000E+000
+7.84000000000E+009, +9.41635306547E-001, +0.00000000000E+000
+7.84500000000E+009, +9.47511934498E-001, +0.00000000000E+000
+7.85000000000E+009, +9.43440445288E-001, +0.00000000000E+000
+7.85500000000E+009, +9.44467099721E-001, +0.00000000000E+000
+7.86000000000E+009, +9.38804554678E-001, +0.00000000000E+000
+7.86500000000E+009, +9.48539048552E-001, +0.00000000000E+000
+7.87000000000E+009, +9.48559465718E-001, +0.00000000000E+000
+7.87500000000E+009, +9.55168684698E-001, +0.00000000000E+000
+7.88000000000E+009, +9.59548840289E-001, +0.00000000000E+000
+7.88500000000E+009, +9.56556502461E-001, +0.00000000000E+000
+7.89000000000E+009, +9.73735372358E-001, +0.00000000000E+000
+7.89500000000E+009, +9.72132507369E-001, +0.00000000000E+000
+7.90000000000E+009, +9.78125309654E-001, +0.00000000000E+000
+7.90500000000E+009, +9.69714860808E-001, +0.00000000000E+000
+7.91000000000E+009, +9.78734155108E-001, +0.00000000000E+000
+7.91500000000E+009, +9.69774607155E-001, +0.00000000000E+000
+7.92000000000E+009, +9.72127337659E-001, +0.00000000000E+000
+7.92500000000E+009, +9.72664569053E-001, +0.00000000000E+000
+7.93000000000E+009, +9.59657468113E-001, +0.00000000000E+000
+7.93500000000E+009, +9.67285968846E-001, +0.00000000000E+000
+7.94000000000E+009, +9.56315451524E-001, +0.00000000000E+000
+7.94500000000E+009, +9.52542896598E-001, +0.00000000000E+000
+7.95000000000E+009, +9.45846984468E-001, +0.00000000000E+000
+7.95500000000E+009, +9.38431986820E-001, +0.00000000000E+000
+7.96000000000E+009, +9.46623755833E-001, +0.00000000000E+000
+7.96500000000E+009, +9.45231654371E-001, +0.00000000000E+000
+7.97000000000E+009, +9.49660224442E-001, +0.00000000000E+000
+7.97500000000E+009, +9.51415670614E-001, +0.00000000000E+000
+7.98000000000E+009, +9.62189099667E-001, +0.00000000000E+000
+7.98500000000E+009, +9.68133656061E-001, +0.00000000000E+000
+7.99000000000E+009, +9.73360505184E-001, +0.00000000000E+000
+7.99500000000E+009, +9.71232149927E-001, +0.00000000000E+000
+8.00000000000E+009, +9.71929062573E-001, +0.00000000000E+000
+8.00500000000E+009, +9.72457135127E-001, +0.00000000000E+000
+8.01000000000E+009, +9.80695416615E-001, +0.00000000000E+000
+8.01500000000E+009, +9.74409930372E-001, +0.00000000000E+000
+8.02000000000E+009, +9.89601922207E-001, +0.00000000000E+000
+8.02500000000E+009, +9.67178010061E-001, +0.00000000000E+000
+8.03000000000E+009, +9.68120421201E-001, +0.00000000000E+000
+8.03500000000E+009, +9.67205675036E-001, +0.00000000000E+000
+8.04000000000E+009, +9.76820547739E-001, +0.00000000000E+000
+8.04500000000E+009, +9.63916038312E-001, +0.00000000000E+000
