"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -9.71708261670E+001, +0.00000000000E+000
+7.50500000000E+009, -9.99610531228E+001, +0.00000000000E+000
+7.51000000000E+009, -1.02063518863E+002, +0.00000000000E+000
+7.51500000000E+009, -1.04102035370E+002, +0.00000000000E+000
+7.52000000000E+009, -1.06354359871E+002, +0.00000000000E+000
+7.52500000000E+009, -1.08510540382E+002, +0.00000000000E+000
+7.53000000000E+009, -1.09933640131E+002, +0.00000000000E+000
+7.53500000000E+009, -1.11870804777E+002, +0.00000000000E+000
+7.54000000000E+009, -1.13072426220E+002, +0.00000000000E+000
+7.54500000000E+009, -1.14287648161E+002, +0.00000000000E+000
+7.55000000000E+009, -1.15396461654E+002, +0.00000000000E+000
+7.55500000000E+009, -1.16802714314E+002, +0.00000000000E+000
+7.56000000000E+009, -1.17610753182E+002, +0.00000000000E+000
+7.56500000000E+009, -1.19007173591E+002, +0.00000000000E+000
+7.57000000000E+009, -1.20117338025E+002, +0.00000000000E+000
+7.57500000000E+009, -1.21763554942E+002, +0.00000000000E+000
+7.58000000000E+009, -1.23515693345E+002, +0.00000000000E+000
+7.58500000000E+009, -1.25014757867E+002, +0.00000000000E+000
+7.59000000000E+009, -1.26705866504E+002, +0.00000000000E+000
+7.59500000000E+009, -1.28535130401E+002, +0.00000000000E+000
+7.60000000000E+009, -1.31312867991E+002, +0.00000000000E+000
+7.60500000000E+009, -1.33530215894E+002, +0.00000000000E+000
+7.61000000000E+009, -1.35638364661E+002, +0.00000000000E+000
+7.61500000000E+009, -1.36985259342E+002, +0.00000000000E+000
+7.62000000000E+009, -1.39266272572E+002, +0.00000000000E+000
+7.62500000000E+009, -1.41684230825E+002, +0.00000000000E+000
+7.63000000000E+009, -1.43256067173E+002, +0.00000000000E+000
+7.63500000000E+009, -1.44635074986E+002, +0.00000000000E+000
+7.64000000000E+009, -1.46183654948E+002, +0.00000000000E+000
+7.64500000000E+009, -1.47132767471E+002, +0.00000000000E+000
+7.65000000000E+009, -1.48299426344E+002, +0.00000000000E+000
+7.65500000000E+009, -1.49954091367E+002, +0.00000000000E+000
+7.66000000000E+009, -1.51542838322E+002, +0.00000000000E+000
+7.66500000000E+009, -1.52150175274E+002, +0.00000000000E+000
+7.67000000000E+009, -1.53938692386E+002, +0.00000000000E+000
+7.67500000000E+009, -1.55080186394E+002, +0.00000000000E+000
+7.68000000000E+009, -1.56685786159E+002, +0.00000000000E+000
+7.68500000000E+009, -1.59118751174E+002, +0.00000000000E+000
+7.69000000000E+009, -1.60944739170E+002, +0.00000000000E+000
+7.69500000000E+009, -1.62861203557E+002, +0.00000000000E+000
+7.70000000000E+009, -1.64948768323E+002, +0.00000000000E+000
+7.70500000000E+009, -1.66613737870E+002, +0.00000000000E+000
+7.71000000000E+009, -1.68526139809E+002, +0.00000000000E+000
+7.71500000000E+009, -1.70669140525E+002, +0.00000000000E+000
+7.72000000000E+009, -1.72329137745E+002, +0.00000000000E+000
+7.72500000000E+009, -1.74350307242E+002, +0.00000000000E+000
+7.73000000000E+009, -1.75613479448E+002, +0.00000000000E+000
+7.73500000000E+009, -1.77248733462E+002, +0.00000000000E+000
+7.74000000000E+009, -1.78593448914E+002, +0.00000000000E+000
