"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +2.78425060767E-001, +0.00000000000E+000
+7.50500000000E+009, +2.79289462344E-001, +0.00000000000E+000
+7.51000000000E+009, +2.74412141095E-001, +0.00000000000E+000
+7.51500000000E+009, +2.85922642860E-001, +0.00000000000E+000
+7.52000000000E+009, +2.88670073850E-001, +0.00000000000E+000
+7.52500000000E+009, +2.87946989343E-001, +0.00000000000E+000
+7.53000000000E+009, +2.96775276896E-001, +0.00000000000E+000
+7.53500000000E+009, +2.89240082751E-001, +0.00000000000E+000
+7.54000000000E+009, +2.89938769319E-001, +0.00000000000E+000
+7.54500000000E+009, +2.90916063370E-001, +0.00000000000E+000
+7.55000000000E+009, +2.93465068856E-001, +0.00000000000E+000
+7.55500000000E+009, +2.89364176824E-001, +0.00000000000E+000
+7.56000000000E+009, +2.85862021108E-001, +0.00000000000E+000
+7.56500000000E+009, +2.85191754356E-001, +0.00000000000E+000
+7.57000000000E+009, +2.77101327222E-001, +0.00000000000E+000
+7.57500000000E+009, +2.77787687000E-001, +0.00000000000E+000
+7.58000000000E+009, +2.78370394906E-001, +0.00000000000E+000
+7.58500000000E+009, +2.73072297653E-001, +0.00000000000E+000
+7.59000000000E+009, +2.77247685010E-001, +0.00000000000E+000
+7.59500000000E+009, +2.78035799573E-001, +0.00000000000E+000
+7.60000000000E+009, +2.81201051503E-001, +0.00000000000E+000
+7.60500000000E+009, +2.80894170062E-001, +0.00000000000E+000
+7.61000000000E+009, +2.87067842410E-001, +0.00000000000E+000
+7.61500000000E+009, +2.90354171461E-001, +0.00000000000E+000
+7.62000000000E+009, +2.99277458543E-001, +0.00000000000E+000
+7.62500000000E+009, +2.95580867128E-001, +0.00000000000E+000
+7.63000000000E+009, +3.02742488571E-001, +0.00000000000E+000
+7.63500000000E+009, +2.99994843700E-001, +0.00000000000E+000
+7.64000000000E+009, +3.01947209070E-001, +0.00000000000E+000
+7.64500000000E+009, +3.03708648972E-001, +0.00000000000E+000
+7.65000000000E+009, +3.01444151908E-001, +0.00000000000E+000
+7.65500000000E+009, +2.99825594498E-001, +0.00000000000E+000
+7.66000000000E+009, +2.96288579138E-001, +0.00000000000E+000
+7.66500000000E+009, +2.87169914732E-001, +0.00000000000E+000
