"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +1.31452606024E+002, +0.00000000000E+000
+7.50500000000E+009, +1.28698206020E+002, +0.00000000000E+000
+7.51000000000E+009, +1.28489712281E+002, +0.00000000000E+000
+7.51500000000E+009, +1.24469015372E+002, +0.00000000000E+000
+7.52000000000E+009, +1.21640419940E+002, +0.00000000000E+000
+7.52500000000E+009, +1.19694687373E+002, +0.00000000000E+000
+7.53000000000E+009, +1.17300730200E+002, +0.00000000000E+000
+7.53500000000E+009, +1.14885457945E+002, +0.00000000000E+000
+7.54000000000E+009, +1.14054071566E+002, +0.00000000000E+000
+7.54500000000E+009, +1.12520771689E+002, +0.00000000000E+000
+7.55000000000E+009, +1.11438605022E+002, +0.00000000000E+000
+7.55500000000E+009, +1.10683230675E+002, +0.00000000000E+000
+7.56000000000E+009, +1.10740868251E+002, +0.00000000000E+000
+7.56500000000E+009, +1.09047639040E+002, +0.00000000000E+000
+7.57000000000E+009, +1.09755797394E+002, +0.00000000000E+000
+7.57500000000E+009, +1.10395438731E+002, +0.00000000000E+000
+7.58000000000E+009, +1.08943388825E+002, +0.00000000000E+000
+7.58500000000E+009, +1.09301254179E+002, +0.00000000000E+000
+7.59000000000E+009, +1.08595423730E+002, +0.00000000000E+000
+7.59500000000E+009, +1.06296665971E+002, +0.00000000000E+000
+7.60000000000E+009, +1.03367138199E+002, +0.00000000000E+000
+7.60500000000E+009, +1.03302024017E+002, +0.00000000000E+000
+7.61000000000E+009, +9.97349845639E+001, +0.00000000000E+000
+7.61500000000E+009, +9.56549713045E+001, +0.00000000000E+000
+7.62000000000E+009, +9.47039869326E+001, +0.00000000000E+000
+7.62500000000E+009, +9.28132832660E+001, +0.00000000000E+000
+7.63000000000E+009, +9.17818667202E+001, +0.00000000000E+000
+7.63500000000E+009, +8.92988352676E+001, +0.00000000000E+000
+7.64000000000E+009, +8.87390942475E+001, +0.00000000000E+000
+7.64500000000E+009, +8.78486869843E+001, +0.00000000000E+000
+7.65000000000E+009, +8.73342481261E+001, +0.00000000000E+000
