"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +6.00072965259E-001, +0.00000000000E+000
+7.50500000000E+009, +5.84909237324E-001, +0.00000000000E+000
+7.51000000000E+009, +5.66426242410E-001, +0.00000000000E+000
+7.51500000000E+009, +5.50641211064E-001, +0.00000000000E+000
+7.52000000000E+009, +5.50209107171E-001, +0.00000000000E+000
+7.52500000000E+009, +5.39436940253E-001, +0.00000000000E+000
+7.53000000000E+009, +5.44715574483E-001, +0.00000000000E+000
+7.53500000000E+009, +5.41340113234E-001, +0.00000000000E+000
+7.54000000000E+009, +5.53223703884E-001, +0.00000000000E+000
+7.54500000000E+009, +5.68824543187E-001, +0.00000000000E+000
+7.55000000000E+009, +5.88233243579E-001, +0.00000000000E+000
+7.55500000000E+009, +6.08611934808E-001, +0.00000000000E+000
+7.56000000000E+009, +6.31431059514E-001, +0.00000000000E+000
+7.56500000000E+009, +6.55575402402E-001, +0.00000000000E+000
+7.57000000000E+009, +6.59804401643E-001, +0.00000000000E+000
+7.57500000000E+009, +6.67693657027E-001, +0.00000000000E+000
+7.58000000000E+009, +6.67810182672E-001, +0.00000000000E+000
+7.58500000000E+009, +6.50271713245E-001, +0.00000000000E+000
+7.59000000000E+009, +6.40254607551E-001, +0.00000000000E+000
+7.59500000000E+009, +6.04307619134E-001, +0.00000000000E+000
+7.60000000000E+009, +5.97219776733E-001, +0.00000000000E+000
+7.60500000000E+009, +5.73902101144E-001, +0.00000000000E+000
+7.61000000000E+009, +5.52746616800E-001, +0.00000000000E+000
+7.61500000000E+009, +5.41575989156E-001, +0.00000000000E+000
+7.62000000000E+009, +5.35030683542E-001, +0.00000000000E+000
+7.62500000000E+009, +5.25619871949E-001, +0.00000000000E+000
+7.63000000000E+009, +5.34211996745E-001, +0.00000000000E+000
+7.63500000000E+009, +5.40484749492E-001, +0.00000000000E+000
+7.64000000000E+009, +5.68416735340E-001, +0.00000000000E+000
+7.64500000000E+009, +6.01845176677E-001, +0.00000000000E+000
+7.65000000000E+009, +6.05832705012E-001, +0.00000000000E+000
+7.65500000000E+009, +6.33529307048E-001, +0.00000000000E+000
+7.66000000000E+009, +6.51796856207E-001, +0.00000000000E+000
+7.66500000000E+009, +6.70519054587E-001, +0.00000000000E+000
+7.67000000000E+009, +6.84377561264E-001, +0.00000000000E+000
+7.67500000000E+009, +6.67897674560E-001, +0.00000000000E+000
+7.68000000000E+009, +6.56128404253E-001, +0.00000000000E+000
+7.68500000000E+009, +6.40268514920E-001, +0.00000000000E+000
+7.69000000000E+009, +6.12242161755E-001, +0.00000000000E+000
+7.69500000000E+009, +5.95809818727E-001, +0.00000000000E+000
+7.70000000000E+009, +5.67535400297E-001, +0.00000000000E+000
+7.70500000000E+009, +5.52305263337E-001, +0.00000000000E+000
+7.71000000000E+009, +5.48281906241E-001, +0.00000000000E+000
+7.71500000000E+009, +5.34899477426E-001, +0.00000000000E+000
+7.72000000000E+009, +5.30581218232E-001, +0.00000000000E+000
+7.72500000000E+009, +5.50157565639E-001, +0.00000000000E+000
+7.73000000000E+009, +5.55199032108E-001, +0.00000000000E+000
+7.73500000000E+009, +5.77178304767E-001, +0.00000000000E+000
+7.74000000000E+009, +6.08359705553E-001, +0.00000000000E+000
+7.74500000000E+009, +6.29034577430E-001, +0.00000000000E+000
+7.75000000000E+009, +6.65834175318E-001, +0.00000000000E+000
+7.75500000000E+009, +6.85196212937E-001, +0.00000000000E+000
+7.76000000000E+009, +7.06318686068E-001, +0.00000000000E+000
+7.76500000000E+009, +7.16971729090E-001, +0.00000000000E+000
+7.77000000000E+009, +7.04165383853E-001, +0.00000000000E+000
+7.77500000000E+009, +7.08586311804E-001, +0.00000000000E+000
+7.78000000000E+009, +6.89695752701E-001, +0.00000000000E+000
+7.78500000000E+009, +6.59929310383E-001, +0.00000000000E+000
+7.79000000000E+009, +6.42531845243E-001, +0.00000000000E+000
+7.79500000000E+009, +6.16343621192E-001, +0.00000000000E+000
+7.80000000000E+009, +5.87279025410E-001, +0.00000000000E+000
+7.80500000000E+009, +5.72399425535E-001, +0.00000000000E+000
+7.81000000000E+009, +5.63929566587E-001, +0.00000000000E+000
+7.81500000000E+009, +5.59244331564E-001, +0.00000000000E+000
+7.82000000000E+009, +5.70434828974E-001, +0.00000000000E+000
+7.82500000000E+009, +5.71693014956E-001, +0.00000000000E+000
+7.83000000000E+009, +5.88514795368E-001, +0.00000000000E+000
+7.83500000000E+009, +6.21121976832E-001, +0.00000000000E+000
+7.84000000000E+009, +6.35343947820E-001, +0.00000000000E+000
+7.84500000000E+009, +6.73198109380E-001, +0.00000000000E+000
+7.85000000000E+009, +6.95915552863E-001, +0.00000000000E+000
+7.85500000000E+009, +7.25809106779E-001, +0.00000000000E+000
+7.86000000000E+009, +7.45454540246E-001, +0.00000000000E+000
