"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -1.56324518753E+001, +0.00000000000E+000
+7.50500000000E+009, -1.59557814650E+001, +0.00000000000E+000
+7.51000000000E+009, -1.71624262363E+001, +0.00000000000E+000
+7.51500000000E+009, -1.62322311299E+001, +0.00000000000E+000
+7.52000000000E+009, -1.79378149617E+001, +0.00000000000E+000
+7.52500000000E+009, -2.11679431038E+001, +0.00000000000E+000
+7.53000000000E+009, -2.30510347114E+001, +0.00000000000E+000
+7.53500000000E+009, -2.53810089552E+001, +0.00000000000E+000
+7.54000000000E+009, -2.47725250863E+001, +0.00000000000E+000
+7.54500000000E+009, -3.14865383594E+001, +0.00000000000E+000
+7.55000000000E+009, -2.76109072416E+001, +0.00000000000E+000
+7.55500000000E+009, -2.99089337146E+001, +0.00000000000E+000
+7.56000000000E+009, -3.20257607649E+001, +0.00000000000E+000
+7.56500000000E+009, -3.45396286071E+001, +0.00000000000E+000
+7.57000000000E+009, -3.41588068640E+001, +0.00000000000E+000
+7.57500000000E+009, -4.04819312492E+001, +0.00000000000E+000
+7.58000000000E+009, -3.61521276397E+001, +0.00000000000E+000
+7.58500000000E+009, -3.78454410590E+001, +0.00000000000E+000
+7.59000000000E+009, -3.67920798967E+001, +0.00000000000E+000
+7.59500000000E+009, -4.34613944242E+001, +0.00000000000E+000
+7.60000000000E+009, -4.15828273861E+001, +0.00000000000E+000
+7.60500000000E+009, -4.56243862045E+001, +0.00000000000E+000
+7.61000000000E+009, -5.23637609595E+001, +0.00000000000E+000
+7.61500000000E+009, -5.12261062827E+001, +0.00000000000E+000
+7.62000000000E+009, -5.39296781734E+001, +0.00000000000E+000
+7.62500000000E+009, -5.58314884010E+001, +0.00000000000E+000
+7.63000000000E+009, -5.93778596352E+001, +0.00000000000E+000
+7.63500000000E+009, -5.95963420580E+001, +0.00000000000E+000
+7.64000000000E+009, -5.83056734595E+001, +0.00000000000E+000
+7.64500000000E+009, -6.36126387962E+001, +0.00000000000E+000
+7.65000000000E+009, -6.16114656408E+001, +0.00000000000E+000
+7.65500000000E+009, -6.51804418019E+001, +0.00000000000E+000
+7.66000000000E+009, -6.47380804857E+001, +0.00000000000E+000
+7.66500000000E+009, -6.87640574949E+001, +0.00000000000E+000
+7.67000000000E+009, -6.95287144745E+001, +0.00000000000E+000
+7.67500000000E+009, -6.96026985177E+001, +0.00000000000E+000
+7.68000000000E+009, -7.18767321723E+001, +0.00000000000E+000
+7.68500000000E+009, -7.23391061641E+001, +0.00000000000E+000
+7.69000000000E+009, -7.69538185371E+001, +0.00000000000E+000
+7.69500000000E+009, -7.75605687530E+001, +0.00000000000E+000
+7.70000000000E+009, -7.89005407845E+001, +0.00000000000E+000
+7.70500000000E+009, -7.98394339728E+001, +0.00000000000E+000
+7.71000000000E+009, -8.38719027547E+001, +0.00000000000E+000
+7.71500000000E+009, -8.77768416545E+001, +0.00000000000E+000
+7.72000000000E+009, -8.65845270257E+001, +0.00000000000E+000
+7.72500000000E+009, -9.26535930488E+001, +0.00000000000E+000
