"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +3.02807489921E-001, +0.00000000000E+000
+7.50500000000E+009, +3.10737270352E-001, +0.00000000000E+000
+7.51000000000E+009, +3.11212169108E-001, +0.00000000000E+000
+7.51500000000E+009, +3.25052834902E-001, +0.00000000000E+000
+7.52000000000E+009, +3.31882723186E-001, +0.00000000000E+000
+7.52500000000E+009, +3.41666641636E-001, +0.00000000000E+000
+7.53000000000E+009, +3.39486756353E-001, +0.00000000000E+000
+7.53500000000E+009, +3.36112513199E-001, +0.00000000000E+000
+7.54000000000E+009, +3.30587400883E-001, +0.00000000000E+000
+7.54500000000E+009, +3.28407888917E-001, +0.00000000000E+000
+7.55000000000E+009, +3.23242251905E-001, +0.00000000000E+000
+7.55500000000E+009, +3.16512787959E-001, +0.00000000000E+000
+7.56000000000E+009, +3.06788959288E-001, +0.00000000000E+000
+7.56500000000E+009, +3.01293512981E-001, +0.00000000000E+000
+7.57000000000E+009, +2.99302246710E-001, +0.00000000000E+000
+7.57500000000E+009, +2.88960106242E-001, +0.00000000000E+000
+7.58000000000E+009, +2.89259723436E-001, +0.00000000000E+000
+7.58500000000E+009, +2.89883244733E-001, +0.00000000000E+000
+7.59000000000E+009, +2.87601894646E-001, +0.00000000000E+000
+7.59500000000E+009, +2.96478458891E-001, +0.00000000000E+000
+7.60000000000E+009, +3.05413590596E-001, +0.00000000000E+000
+7.60500000000E+009, +3.14670679951E-001, +0.00000000000E+000
+7.61000000000E+009, +3.28914588362E-001, +0.00000000000E+000
+7.61500000000E+009, +3.33206446010E-001, +0.00000000000E+000
+7.62000000000E+009, +3.46885124630E-001, +0.00000000000E+000
+7.62500000000E+009, +3.44020158129E-001, +0.00000000000E+000
+7.63000000000E+009, +3.49083372359E-001, +0.00000000000E+000
+7.63500000000E+009, +3.46878839563E-001, +0.00000000000E+000
+7.64000000000E+009, +3.45228471235E-001, +0.00000000000E+000
+7.64500000000E+009, +3.39533776594E-001, +0.00000000000E+000
+7.65000000000E+009, +3.28006609566E-001, +0.00000000000E+000
+7.65500000000E+009, +3.25132571683E-001, +0.00000000000E+000
+7.66000000000E+009, +3.11972900769E-001, +0.00000000000E+000
+7.66500000000E+009, +3.10691867396E-001, +0.00000000000E+000
+7.67000000000E+009, +3.08821706759E-001, +0.00000000000E+000
+7.67500000000E+009, +3.01189819006E-001, +0.00000000000E+000
+7.68000000000E+009, +3.00735791173E-001, +0.00000000000E+000
+7.68500000000E+009, +3.00124960025E-001, +0.00000000000E+000
+7.69000000000E+009, +3.12850819586E-001, +0.00000000000E+000
+7.69500000000E+009, +3.10983601382E-001, +0.00000000000E+000
+7.70000000000E+009, +3.25489706896E-001, +0.00000000000E+000
+7.70500000000E+009, +3.33774338629E-001, +0.00000000000E+000
+7.71000000000E+009, +3.42246539863E-001, +0.00000000000E+000
+7.71500000000E+009, +3.50460782975E-001, +0.00000000000E+000
+7.72000000000E+009, +3.57359350465E-001, +0.00000000000E+000
+7.72500000000E+009, +3.55711287261E-001, +0.00000000000E+000
+7.73000000000E+009, +3.58253363603E-001, +0.00000000000E+000
+7.73500000000E+009, +3.54013107698E-001, +0.00000000000E+000
+7.74000000000E+009, +3.45015417265E-001, +0.00000000000E+000
+7.74500000000E+009, +3.39864933862E-001, +0.00000000000E+000
+7.75000000000E+009, +3.35346742275E-001, +0.00000000000E+000
+7.75500000000E+009, +3.25192419671E-001, +0.00000000000E+000
+7.76000000000E+009, +3.23928516986E-001, +0.00000000000E+000
+7.76500000000E+009, +3.24658304868E-001, +0.00000000000E+000
+7.77000000000E+009, +3.11460610356E-001, +0.00000000000E+000
+7.77500000000E+009, +3.10902220475E-001, +0.00000000000E+000
+7.78000000000E+009, +3.12938891329E-001, +0.00000000000E+000
+7.78500000000E+009, +3.15248198546E-001, +0.00000000000E+000
+7.79000000000E+009, +3.20959779604E-001, +0.00000000000E+000
+7.79500000000E+009, +3.24458005640E-001, +0.00000000000E+000
+7.80000000000E+009, +3.36416549399E-001, +0.00000000000E+000
+7.80500000000E+009, +3.52015568632E-001, +0.00000000000E+000
+7.81000000000E+009, +3.53181132570E-001, +0.00000000000E+000
+7.81500000000E+009, +3.55373111114E-001, +0.00000000000E+000
+7.82000000000E+009, +3.67164798281E-001, +0.00000000000E+000
+7.82500000000E+009, +3.66307761608E-001, +0.00000000000E+000
+7.83000000000E+009, +3.64639985143E-001, +0.00000000000E+000
+7.83500000000E+009, +3.59331838814E-001, +0.00000000000E+000
+7.84000000000E+009, +3.58424457181E-001, +0.00000000000E+000
+7.84500000000E+009, +3.45206419827E-001, +0.00000000000E+000
+7.85000000000E+009, +3.38766644337E-001, +0.00000000000E+000
+7.85500000000E+009, +3.41221745143E-001, +0.00000000000E+000
+7.86000000000E+009, +3.31224681869E-001, +0.00000000000E+000
+7.86500000000E+009, +3.23098258648E-001, +0.00000000000E+000
+7.87000000000E+009, +3.29713495304E-001, +0.00000000000E+000
+7.87500000000E+009, +3.35670461658E-001, +0.00000000000E+000
+7.88000000000E+009, +3.30838873890E-001, +0.00000000000E+000
+7.88500000000E+009, +3.39612910554E-001, +0.00000000000E+000
+7.89000000000E+009, +3.43367309030E-001, +0.00000000000E+000
