"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, -1.59844412519E+002, +0.00000000000E+000
+7.50500000000E+009, -1.31898161054E+002, +0.00000000000E+000
+7.51000000000E+009, -1.68204658277E+002, +0.00000000000E+000
+7.51500000000E+009, +1.73477690186E+002, +0.00000000000E+000
+7.52000000000E+009, +1.74479175002E+002, +0.00000000000E+000
+7.52500000000E+009, -1.79664525539E+002, +0.00000000000E+000
+7.53000000000E+009, -1.64487750835E+002, +0.00000000000E+000
+7.53500000000E+009, -1.75399113819E+002, +0.00000000000E+000
+7.54000000000E+009, -1.68518344735E+002, +0.00000000000E+000
+7.54500000000E+009, +1.71205039405E+002, +0.00000000000E+000
+7.55000000000E+009, +1.70379701636E+002, +0.00000000000E+000
+7.55500000000E+009, +1.69663370047E+002, +0.00000000000E+000
+7.56000000000E+009, +1.58032896491E+002, +0.00000000000E+000
+7.56500000000E+009, +1.78993643847E+002, +0.00000000000E+000
+7.57000000000E+009, +1.34919546283E+002, +0.00000000000E+000
+7.57500000000E+009, +1.65046728763E+002, +0.00000000000E+000
+7.58000000000E+009, +1.57306279372E+002, +0.00000000000E+000
+7.58500000000E+009, +1.26050864486E+002, +0.00000000000E+000
+7.59000000000E+009, +1.26128934217E+002, +0.00000000000E+000
+7.59500000000E+009, +1.47238213425E+002, +0.00000000000E+000
+7.60000000000E+009, +1.32526092371E+002, +0.00000000000E+000
+7.60500000000E+009, +1.50142115260E+002, +0.00000000000E+000
+7.61000000000E+009, +1.03238871507E+002, +0.00000000000E+000
+7.61500000000E+009, +1.29383114313E+002, +0.00000000000E+000
+7.62000000000E+009, +9.19826392342E+001, +0.00000000000E+000
+7.62500000000E+009, +1.18375480422E+002, +0.00000000000E+000
+7.63000000000E+009, +9.10842726446E+001, +0.00000000000E+000
+7.63500000000E+009, +1.07131526326E+002, +0.00000000000E+000
+7.64000000000E+009, +1.20287331573E+002, +0.00000000000E+000
+7.64500000000E+009, +1.19062574791E+002, +0.00000000000E+000
+7.65000000000E+009, +1.17493060311E+002, +0.00000000000E+000
+7.65500000000E+009, +6.97155141999E+001, +0.00000000000E+000
+7.66000000000E+009, +9.23859747128E+001, +0.00000000000E+000
+7.66500000000E+009, +1.12482622436E+002, +0.00000000000E+000
+7.67000000000E+009, +6.73995261053E+001, +0.00000000000E+000
+7.67500000000E+009, +8.26571743323E+001, +0.00000000000E+000
+7.68000000000E+009, +7.32460939563E+001, +0.00000000000E+000
+7.68500000000E+009, +5.08650961328E+001, +0.00000000000E+000
+7.69000000000E+009, +6.66859890214E+001, +0.00000000000E+000
+7.69500000000E+009, +6.04078403357E+001, +0.00000000000E+000
+7.70000000000E+009, +6.41475398765E+001, +0.00000000000E+000
+7.70500000000E+009, +4.81057009291E+001, +0.00000000000E+000
+7.71000000000E+009, +4.53278619736E+001, +0.00000000000E+000
+7.71500000000E+009, +4.08153516262E+001, +0.00000000000E+000
+7.72000000000E+009, +5.13291657141E+001, +0.00000000000E+000
+7.72500000000E+009, +2.62644563232E+001, +0.00000000000E+000
+7.73000000000E+009, +4.05922924203E+001, +0.00000000000E+000
+7.73500000000E+009, +2.19447958007E+001, +0.00000000000E+000
+7.74000000000E+009, +1.51536341997E+001, +0.00000000000E+000
+7.74500000000E+009, +3.40846711925E+001, +0.00000000000E+000
+7.75000000000E+009, +2.53492815191E+001, +0.00000000000E+000
+7.75500000000E+009, +1.35223547883E+001, +0.00000000000E+000
+7.76000000000E+009, +9.65365079474E+000, +0.00000000000E+000
+7.76500000000E+009, +2.12364164461E+001, +0.00000000000E+000
+7.77000000000E+009, +4.36413161229E-001, +0.00000000000E+000
+7.77500000000E+009, -6.28480218915E+000, +0.00000000000E+000
+7.78000000000E+009, -1.35938803122E+001, +0.00000000000E+000
+7.78500000000E+009, -7.99630616988E+000, +0.00000000000E+000
+7.79000000000E+009, -2.49514909447E+001, +0.00000000000E+000
+7.79500000000E+009, -1.88256564865E+001, +0.00000000000E+000
+7.80000000000E+009, +5.43628064165E+000, +0.00000000000E+000
+7.80500000000E+009, -5.04169477650E+001, +0.00000000000E+000
+7.81000000000E+009, -5.24756781863E+001, +0.00000000000E+000
+7.81500000000E+009, -4.30801884320E+001, +0.00000000000E+000
+7.82000000000E+009, -1.68002708093E+000, +0.00000000000E+000
+7.82500000000E+009, -2.05475266446E+001, +0.00000000000E+000
+7.83000000000E+009, -2.25424464646E+001, +0.00000000000E+000
+7.83500000000E+009, -1.75621419135E+001, +0.00000000000E+000
+7.84000000000E+009, -3.87650294227E+001, +0.00000000000E+000
+7.84500000000E+009, -3.35297625907E+001, +0.00000000000E+000
+7.85000000000E+009, -7.10015338934E+001, +0.00000000000E+000
