"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +6.16152509211E+001, +0.00000000000E+000
+7.50500000000E+009, +5.78536036286E+001, +0.00000000000E+000
+7.51000000000E+009, +5.44325819713E+001, +0.00000000000E+000
+7.51500000000E+009, +5.16363472586E+001, +0.00000000000E+000
+7.52000000000E+009, +4.95340671114E+001, +0.00000000000E+000
+7.52500000000E+009, +4.67518800224E+001, +0.00000000000E+000
+7.53000000000E+009, +4.52316396254E+001, +0.00000000000E+000
+7.53500000000E+009, +4.25020212847E+001, +0.00000000000E+000
+7.54000000000E+009, +4.08602541373E+001, +0.00000000000E+000
+7.54500000000E+009, +4.01214295047E+001, +0.00000000000E+000
+7.55000000000E+009, +3.92180432036E+001, +0.00000000000E+000
+7.55500000000E+009, +3.68728792539E+001, +0.00000000000E+000
+7.56000000000E+009, +3.48451589711E+001, +0.00000000000E+000
+7.56500000000E+009, +3.33675246753E+001, +0.00000000000E+000
+7.57000000000E+009, +3.22861140881E+001, +0.00000000000E+000
+7.57500000000E+009, +3.00070998456E+001, +0.00000000000E+000
+7.58000000000E+009, +2.60902881775E+001, +0.00000000000E+000
+7.58500000000E+009, +2.42580894611E+001, +0.00000000000E+000
+7.59000000000E+009, +2.20470063279E+001, +0.00000000000E+000
+7.59500000000E+009, +1.84914035499E+001, +0.00000000000E+000
+7.60000000000E+009, +1.51076497831E+001, +0.00000000000E+000
+7.60500000000E+009, +1.20365133332E+001, +0.00000000000E+000
+7.61000000000E+009, +9.29279587381E+000, +0.00000000000E+000
+7.61500000000E+009, +7.27494927083E+000, +0.00000000000E+000
+7.62000000000E+009, +4.66291892428E+000, +0.00000000000E+000
+7.62500000000E+009, +1.82986117617E+000, +0.00000000000E+000
+7.63000000000E+009, -7.33113385478E-001, +0.00000000000E+000
+7.63500000000E+009, -2.41840273647E+000, +0.00000000000E+000
+7.64000000000E+009, -4.97519784259E+000, +0.00000000000E+000
+7.64500000000E+009, -6.38498569804E+000, +0.00000000000E+000
+7.65000000000E+009, -7.41857279823E+000, +0.00000000000E+000
+7.65500000000E+009, -9.40347974530E+000, +0.00000000000E+000
+7.66000000000E+009, -1.13064620168E+001, +0.00000000000E+000
+7.66500000000E+009, -1.28700728653E+001, +0.00000000000E+000
+7.67000000000E+009, -1.51842698481E+001, +0.00000000000E+000
+7.67500000000E+009, -1.73433594358E+001, +0.00000000000E+000
+7.68000000000E+009, -2.00004357747E+001, +0.00000000000E+000
+7.68500000000E+009, -2.34130548523E+001, +0.00000000000E+000
+7.69000000000E+009, -2.54228612622E+001, +0.00000000000E+000
+7.69500000000E+009, -2.85729628194E+001, +0.00000000000E+000
+7.70000000000E+009, -3.01117051098E+001, +0.00000000000E+000
+7.70500000000E+009, -3.38961264376E+001, +0.00000000000E+000
