"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +6.06592966299E-001, +0.00000000000E+000
+7.50500000000E+009, +5.99915383790E-001, +0.00000000000E+000
+7.51000000000E+009, +6.15552693853E-001, +0.00000000000E+000
+7.51500000000E+009, +6.08922203054E-001, +0.00000000000E+000
+7.52000000000E+009, +6.08017846728E-001, +0.00000000000E+000
+7.52500000000E+009, +6.06472560448E-001, +0.00000000000E+000
+7.53000000000E+009, +5.99642843012E-001, +0.00000000000E+000
+7.53500000000E+009, +5.95325800010E-001, +0.00000000000E+000
+7.54000000000E+009, +5.92075786082E-001, +0.00000000000E+000
+7.54500000000E+009, +5.74677880222E-001, +0.00000000000E+000
+7.55000000000E+009, +5.60876539992E-001, +0.00000000000E+000
+7.55500000000E+009, +5.69298900125E-001, +0.00000000000E+000
+7.56000000000E+009, +5.72363090325E-001, +0.00000000000E+000
+7.56500000000E+009, +5.73029407992E-001, +0.00000000000E+000
+7.57000000000E+009, +5.71915818967E-001, +0.00000000000E+000
+7.57500000000E+009, +5.68691972270E-001, +0.00000000000E+000
+7.58000000000E+009, +5.75711665172E-001, +0.00000000000E+000
+7.58500000000E+009, +5.87084649092E-001, +0.00000000000E+000
+7.59000000000E+009, +5.91867793687E-001, +0.00000000000E+000
+7.59500000000E+009, +6.08154485944E-001, +0.00000000000E+000
+7.60000000000E+009, +6.07272706535E-001, +0.00000000000E+000
+7.60500000000E+009, +6.11830842733E-001, +0.00000000000E+000
+7.61000000000E+009, +6.09589730177E-001, +0.00000000000E+000
+7.61500000000E+009, +6.09497446185E-001, +0.00000000000E+000
+7.62000000000E+009, +6.10237872724E-001, +0.00000000000E+000
+7.62500000000E+009, +6.10141084265E-001, +0.00000000000E+000
+7.63000000000E+009, +6.06334591248E-001, +0.00000000000E+000
+7.63500000000E+009, +5.94212807544E-001, +0.00000000000E+000
+7.64000000000E+009, +5.94345481524E-001, +0.00000000000E+000
+7.64500000000E+009, +5.79274518554E-001, +0.00000000000E+000
+7.65000000000E+009, +5.78284302760E-001, +0.00000000000E+000
+7.65500000000E+009, +5.79663645542E-001, +0.00000000000E+000
+7.66000000000E+009, +5.85971551838E-001, +0.00000000000E+000
+7.66500000000E+009, +5.86370174997E-001, +0.00000000000E+000
+7.67000000000E+009, +5.96911347106E-001, +0.00000000000E+000
+7.67500000000E+009, +5.92684069042E-001, +0.00000000000E+000
+7.68000000000E+009, +6.05127027032E-001, +0.00000000000E+000
+7.68500000000E+009, +6.22670982051E-001, +0.00000000000E+000
+7.69000000000E+009, +6.25944050358E-001, +0.00000000000E+000
+7.69500000000E+009, +6.33459707787E-001, +0.00000000000E+000
+7.70000000000E+009, +6.36057920425E-001, +0.00000000000E+000
+7.70500000000E+009, +6.33222912208E-001, +0.00000000000E+000
+7.71000000000E+009, +6.36776553711E-001, +0.00000000000E+000
+7.71500000000E+009, +6.28298141613E-001, +0.00000000000E+000
+7.72000000000E+009, +6.25759831051E-001, +0.00000000000E+000
+7.72500000000E+009, +6.21159620395E-001, +0.00000000000E+000
+7.73000000000E+009, +6.18522597274E-001, +0.00000000000E+000
+7.73500000000E+009, +6.11966846620E-001, +0.00000000000E+000
+7.74000000000E+009, +6.10146618188E-001, +0.00000000000E+000
+7.74500000000E+009, +6.04617745638E-001, +0.00000000000E+000
+7.75000000000E+009, +6.08332279037E-001, +0.00000000000E+000
+7.75500000000E+009, +6.08069798833E-001, +0.00000000000E+000
