"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -3.87493481938E+000, +0.00000000000E+000
+7.70300000000E+009, -3.90901394331E+000, +0.00000000000E+000
+7.70600000000E+009, -3.89807980752E+000, +0.00000000000E+000
+7.70900000000E+009, -3.98534066778E+000, +0.00000000000E+000
+7.71200000000E+009, -4.18265634084E+000, +0.00000000000E+000
+7.71500000000E+009, -4.28662554300E+000, +0.00000000000E+000
+7.71800000000E+009, -4.25041382591E+000, +0.00000000000E+000
+7.72100000000E+009, -4.34135306682E+000, +0.00000000000E+000
+7.72400000000E+009, -4.51654911794E+000, +0.00000000000E+000
+7.72700000000E+009, -4.57301019762E+000, +0.00000000000E+000
+7.73000000000E+009, -4.59491334200E+000, +0.00000000000E+000
+7.73300000000E+009, -4.44935742629E+000, +0.00000000000E+000
+7.73600000000E+009, -4.54107588970E+000, +0.00000000000E+000
+7.73900000000E+009, -4.66168565050E+000, +0.00000000000E+000
+7.74200000000E+009, -4.61041168349E+000, +0.00000000000E+000
+7.74500000000E+009, -4.50750937082E+000, +0.00000000000E+000
+7.74800000000E+009, -4.55191735134E+000, +0.00000000000E+000
+7.75100000000E+009, -4.51822264345E+000, +0.00000000000E+000
+7.75400000000E+009, -4.49950397292E+000, +0.00000000000E+000
+7.75700000000E+009, -4.45868361156E+000, +0.00000000000E+000
+7.76000000000E+009, -4.59610676616E+000, +0.00000000000E+000
+7.76300000000E+009, -4.63900309163E+000, +0.00000000000E+000
+7.76600000000E+009, -4.64464138329E+000, +0.00000000000E+000
+7.76900000000E+009, -4.88355410002E+000, +0.00000000000E+000
+7.77200000000E+009, -5.02033946792E+000, +0.00000000000E+000
+7.77500000000E+009, -5.23923035924E+000, +0.00000000000E+000
+7.77800000000E+009, -5.46261412204E+000, +0.00000000000E+000
+7.78100000000E+009, -5.76032506760E+000, +0.00000000000E+000
+7.78400000000E+009, -5.98201281636E+000, +0.00000000000E+000
+7.78700000000E+009, -6.29170883944E+000, +0.00000000000E+000
+7.79000000000E+009, -6.74919074648E+000, +0.00000000000E+000
+7.79300000000E+009, -6.82992919064E+000, +0.00000000000E+000
+7.79600000000E+009, -6.92844804067E+000, +0.00000000000E+000
+7.79900000000E+009, -7.34077233163E+000, +0.00000000000E+000
+7.80200000000E+009, -7.55936688077E+000, +0.00000000000E+000
+7.80500000000E+009, -7.60928123473E+000, +0.00000000000E+000
+7.80800000000E+009, -7.69968955137E+000, +0.00000000000E+000
+7.81100000000E+009, -7.70126990746E+000, +0.00000000000E+000
+7.81400000000E+009, -7.90408934817E+000, +0.00000000000E+000
+7.81700000000E+009, -7.62877028410E+000, +0.00000000000E+000
+7.82000000000E+009, -7.49250299269E+000, +0.00000000000E+000
+7.82300000000E+009, -7.48820594163E+000, +0.00000000000E+000
+7.82600000000E+009, -7.40624425824E+000, +0.00000000000E+000
+7.82900000000E+009, -7.33268742968E+000, +0.00000000000E+000
+7.83200000000E+009, -7.30361011133E+000, +0.00000000000E+000
+7.83500000000E+009, -7.17599351630E+000, +0.00000000000E+000
+7.83800000000E+009, -7.01273063576E+000, +0.00000000000E+000
+7.84100000000E+009, -6.93456127961E+000, +0.00000000000E+000
+7.84400000000E+009, -6.94167258872E+000, +0.00000000000E+000
+7.84700000000E+009, -6.91163721055E+000, +0.00000000000E+000
+7.85000000000E+009, -6.89819540004E+000, +0.00000000000E+000
+7.85300000000E+009, -7.13134863072E+000, +0.00000000000E+000
+7.85600000000E+009, -7.08456134202E+000, +0.00000000000E+000
+7.85900000000E+009, -7.17660469768E+000, +0.00000000000E+000
+7.86200000000E+009, -7.27668814082E+000, +0.00000000000E+000
+7.86500000000E+009, -7.48879012742E+000, +0.00000000000E+000
+7.86800000000E+009, -7.77008109696E+000, +0.00000000000E+000
+7.87100000000E+009, -8.01480232706E+000, +0.00000000000E+000
+7.87400000000E+009, -8.39664358071E+000, +0.00000000000E+000
+7.87700000000E+009, -9.15629425376E+000, +0.00000000000E+000
+7.88000000000E+009, -9.46533658346E+000, +0.00000000000E+000
+7.88300000000E+009, -9.81701807819E+000, +0.00000000000E+000
+7.88600000000E+009, -1.02571275592E+001, +0.00000000000E+000
+7.88900000000E+009, -1.02351540290E+001, +0.00000000000E+000
+7.89200000000E+009, -1.06453754468E+001, +0.00000000000E+000
+7.89500000000E+009, -1.10239020890E+001, +0.00000000000E+000
+7.89800000000E+009, -1.10073999237E+001, +0.00000000000E+000
+7.90100000000E+009, -1.08823693729E+001, +0.00000000000E+000
+7.90400000000E+009, -1.09700681666E+001, +0.00000000000E+000
+7.90700000000E+009, -1.05712904636E+001, +0.00000000000E+000
+7.91000000000E+009, -1.03737497664E+001, +0.00000000000E+000
+7.91300000000E+009, -1.06182713943E+001, +0.00000000000E+000
+7.91600000000E+009, -1.05725399826E+001, +0.00000000000E+000
+7.91900000000E+009, -1.02633300340E+001, +0.00000000000E+000
+7.92200000000E+009, -1.03499513264E+001, +0.00000000000E+000
+7.92500000000E+009, -1.02958297558E+001, +0.00000000000E+000
+7.92800000000E+009, -1.04545418488E+001, +0.00000000000E+000
+7.93100000000E+009, -1.05672638562E+001, +0.00000000000E+000
+7.93400000000E+009, -1.06269601755E+001, +0.00000000000E+000
+7.93700000000E+009, -1.04394997381E+001, +0.00000000000E+000
+7.94000000000E+009, -1.06788976673E+001, +0.00000000000E+000
+7.94300000000E+009, -1.09214508891E+001, +0.00000000000E+000
+7.94600000000E+009, -1.10559711039E+001, +0.00000000000E+000
+7.94900000000E+009, -1.17931953928E+001, +0.00000000000E+000
+7.95200000000E+009, -1.19297766175E+001, +0.00000000000E+000
+7.95500000000E+009, -1.25619316969E+001, +0.00000000000E+000
+7.95800000000E+009, -1.29522842158E+001, +0.00000000000E+000
+7.96100000000E+009, -1.38382406008E+001, +0.00000000000E+000
+7.96400000000E+009, -1.48324401144E+001, +0.00000000000E+000
