"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -7.92229867920E+000, +0.00000000000E+000
+7.70300000000E+009, -7.63289871136E+000, +0.00000000000E+000
+7.70600000000E+009, -7.55185289156E+000, +0.00000000000E+000
+7.70900000000E+009, -7.49731792901E+000, +0.00000000000E+000
+7.71200000000E+009, -7.32142242241E+000, +0.00000000000E+000
+7.71500000000E+009, -7.15906493716E+000, +0.00000000000E+000
+7.71800000000E+009, -7.04253664049E+000, +0.00000000000E+000
+7.72100000000E+009, -7.05088315542E+000, +0.00000000000E+000
+7.72400000000E+009, -7.26363911433E+000, +0.00000000000E+000
+7.72700000000E+009, -7.20730753295E+000, +0.00000000000E+000
+7.73000000000E+009, -7.25369252361E+000, +0.00000000000E+000
+7.73300000000E+009, -7.45871548056E+000, +0.00000000000E+000
+7.73600000000E+009, -7.56308936382E+000, +0.00000000000E+000
+7.73900000000E+009, -7.76001917045E+000, +0.00000000000E+000
+7.74200000000E+009, -7.91508843310E+000, +0.00000000000E+000
+7.74500000000E+009, -8.17543323208E+000, +0.00000000000E+000
+7.74800000000E+009, -8.49441250087E+000, +0.00000000000E+000
+7.75100000000E+009, -8.40264342095E+000, +0.00000000000E+000
+7.75400000000E+009, -8.51396506322E+000, +0.00000000000E+000
+7.75700000000E+009, -8.76518578071E+000, +0.00000000000E+000
+7.76000000000E+009, -8.58731914924E+000, +0.00000000000E+000
+7.76300000000E+009, -8.77120896286E+000, +0.00000000000E+000
+7.76600000000E+009, -8.79853269245E+000, +0.00000000000E+000
+7.76900000000E+009, -8.74308933866E+000, +0.00000000000E+000
+7.77200000000E+009, -8.92444963961E+000, +0.00000000000E+000
+7.77500000000E+009, -8.50590934082E+000, +0.00000000000E+000
+7.77800000000E+009, -8.56162930936E+000, +0.00000000000E+000
+7.78100000000E+009, -8.64637148701E+000, +0.00000000000E+000
+7.78400000000E+009, -8.29846636535E+000, +0.00000000000E+000
+7.78700000000E+009, -8.32747624699E+000, +0.00000000000E+000
+7.79000000000E+009, -7.93562115117E+000, +0.00000000000E+000
+7.79300000000E+009, -8.04399913166E+000, +0.00000000000E+000
+7.79600000000E+009, -7.88928844068E+000, +0.00000000000E+000
+7.79900000000E+009, -7.97275716235E+000, +0.00000000000E+000
+7.80200000000E+009, -7.93788992718E+000, +0.00000000000E+000
+7.80500000000E+009, -7.96493080997E+000, +0.00000000000E+000
+7.80800000000E+009, -8.04565141684E+000, +0.00000000000E+000
+7.81100000000E+009, -7.97108607029E+000, +0.00000000000E+000
+7.81400000000E+009, -7.85638209284E+000, +0.00000000000E+000
+7.81700000000E+009, -8.25712578167E+000, +0.00000000000E+000
+7.82000000000E+009, -8.25066928769E+000, +0.00000000000E+000
+7.82300000000E+009, -8.48146741883E+000, +0.00000000000E+000
+7.82600000000E+009, -8.69799575711E+000, +0.00000000000E+000
+7.82900000000E+009, -8.76843188525E+000, +0.00000000000E+000
+7.83200000000E+009, -9.07015107110E+000, +0.00000000000E+000
+7.83500000000E+009, -9.22320767748E+000, +0.00000000000E+000
+7.83800000000E+009, -9.88504911064E+000, +0.00000000000E+000
+7.84100000000E+009, -1.00506724044E+001, +0.00000000000E+000
+7.84400000000E+009, -1.03343832948E+001, +0.00000000000E+000
+7.84700000000E+009, -1.05382098128E+001, +0.00000000000E+000
+7.85000000000E+009, -1.10291002172E+001, +0.00000000000E+000
+7.85300000000E+009, -1.13846663520E+001, +0.00000000000E+000
+7.85600000000E+009, -1.17592498419E+001, +0.00000000000E+000
+7.85900000000E+009, -1.19871795087E+001, +0.00000000000E+000
+7.86200000000E+009, -1.20274154406E+001, +0.00000000000E+000
+7.86500000000E+009, -1.23455960324E+001, +0.00000000000E+000
+7.86800000000E+009, -1.27514075254E+001, +0.00000000000E+000
+7.87100000000E+009, -1.29986548303E+001, +0.00000000000E+000
+7.87400000000E+009, -1.33017130675E+001, +0.00000000000E+000
+7.87700000000E+009, -1.27365273625E+001, +0.00000000000E+000
+7.88000000000E+009, -1.27295030594E+001, +0.00000000000E+000
+7.88300000000E+009, -1.26191680436E+001, +0.00000000000E+000
+7.88600000000E+009, -1.25281651120E+001, +0.00000000000E+000
+7.88900000000E+009, -1.26941280153E+001, +0.00000000000E+000
+7.89200000000E+009, -1.26098848029E+001, +0.00000000000E+000
+7.89500000000E+009, -1.26373699382E+001, +0.00000000000E+000
+7.89800000000E+009, -1.24338237387E+001, +0.00000000000E+000
+7.90100000000E+009, -1.25974948202E+001, +0.00000000000E+000
+7.90400000000E+009, -1.33144007050E+001, +0.00000000000E+000
+7.90700000000E+009, -1.36534504994E+001, +0.00000000000E+000
+7.91000000000E+009, -1.40479707007E+001, +0.00000000000E+000
+7.91300000000E+009, -1.41330774098E+001, +0.00000000000E+000
+7.91600000000E+009, -1.46656792672E+001, +0.00000000000E+000
+7.91900000000E+009, -1.53342652899E+001, +0.00000000000E+000
+7.92200000000E+009, -1.55500587955E+001, +0.00000000000E+000
+7.92500000000E+009, -1.69569087082E+001, +0.00000000000E+000
+7.92800000000E+009, -1.73791638577E+001, +0.00000000000E+000
+7.93100000000E+009, -1.82842187860E+001, +0.00000000000E+000
+7.93400000000E+009, -1.93949306252E+001, +0.00000000000E+000
+7.93700000000E+009, -2.13646432302E+001, +0.00000000000E+000
+7.94000000000E+009, -2.37289911959E+001, +0.00000000000E+000
+7.94300000000E+009, -2.46028155514E+001, +0.00000000000E+000
+7.94600000000E+009, -2.81566613904E+001, +0.00000000000E+000
+7.94900000000E+009, -3.15720421867E+001, +0.00000000000E+000
+7.95200000000E+009, -3.62565747640E+001, +0.00000000000E+000
+7.95500000000E+009, -4.88861448392E+001, +0.00000000000E+000
+7.95800000000E+009, -4.26912008032E+001, +0.00000000000E+000
+7.96100000000E+009, -4.13731545276E+001, +0.00000000000E+000
+7.96400000000E+009, -3.46866299400E+001, +0.00000000000E+000
+7.96700000000E+009, -3.23944555214E+001, +0.00000000000E+000
+7.97000000000E+009, -2.89955469181E+001, +0.00000000000E+000
+7.97300000000E+009, -2.81765606842E+001, +0.00000000000E+000
+7.97600000000E+009, -2.82513446709E+001, +0.00000000000E+000
+7.97900000000E+009, -2.66018536411E+001, +0.00000000000E+000
+7.98200000000E+009, -2.56270799138E+001, +0.00000000000E+000
+7.98500000000E+009, -2.36506338104E+001, +0.00000000000E+000
+7.98800000000E+009, -2.55553217355E+001, +0.00000000000E+000
+7.99100000000E+009, -2.59100924487E+001, +0.00000000000E+000
+7.99400000000E+009, -2.72098804436E+001, +0.00000000000E+000
+7.99700000000E+009, -3.06235119192E+001, +0.00000000000E+000
+8.00000000000E+009, -3.21446889237E+001, +0.00000000000E+000
+8.00300000000E+009, -3.20252732511E+001, +0.00000000000E+000
+8.00600000000E+009, -3.26484314876E+001, +0.00000000000E+000
+8.00900000000E+009, -3.34176623542E+001, +0.00000000000E+000
+8.01200000000E+009, -2.99131530174E+001, +0.00000000000E+000
+8.01500000000E+009, -2.87172451191E+001, +0.00000000000E+000
+8.01800000000E+009, -2.61747642620E+001, +0.00000000000E+000
+8.02100000000E+009, -2.51791925708E+001, +0.00000000000E+000
+8.02400000000E+009, -2.27436162231E+001, +0.00000000000E+000
+8.02700000000E+009, -2.26773796269E+001, +0.00000000000E+000
+8.03000000000E+009, -2.07375468249E+001, +0.00000000000E+000
+8.03300000000E+009, -2.02098882691E+001, +0.00000000000E+000
+8.03600000000E+009, -1.86901480675E+001, +0.00000000000E+000
+8.03900000000E+009, -1.80716275286E+001, +0.00000000000E+000
+8.04200000000E+009, -1.77499743962E+001, +0.00000000000E+000
+8.04500000000E+009, -1.77792347651E+001, +0.00000000000E+000
+8.04800000000E+009, -1.70680105088E+001, +0.00000000000E+000
+8.05100000000E+009, -1.62492871353E+001, +0.00000000000E+000
+8.05400000000E+009, -1.59770121066E+001, +0.00000000000E+000
+8.05700000000E+009, -1.57373838694E+001, +0.00000000000E+000
+8.06000000000E+009, -1.58873761708E+001, +0.00000000000E+000
+8.06300000000E+009, -1.55092194496E+001, +0.00000000000E+000
+8.06600000000E+009, -1.60228463798E+001, +0.00000000000E+000
+8.06900000000E+009, -1.64323277524E+001, +0.00000000000E+000
+8.07200000000E+009, -1.65812359857E+001, +0.00000000000E+000
+8.07500000000E+009, -1.57408684725E+001, +0.00000000000E+000
+8.07800000000E+009, -1.70120434536E+001, +0.00000000000E+000
+8.08100000000E+009, -1.72496788066E+001, +0.00000000000E+000
+8.08400000000E+009, -1.80575815993E+001, +0.00000000000E+000
+8.08700000000E+009, -1.87293682080E+001, +0.00000000000E+000
+8.09000000000E+009, -1.97720134796E+001, +0.00000000000E+000
+8.09300000000E+009, -1.97406136867E+001, +0.00000000000E+000
+8.09600000000E+009, -1.97519212574E+001, +0.00000000000E+000
+8.09900000000E+009, -1.98439612289E+001, +0.00000000000E+000
+8.10200000000E+009, -2.01504162328E+001, +0.00000000000E+000
+8.10500000000E+009, -1.99532965844E+001, +0.00000000000E+000
+8.10800000000E+009, -1.97041682870E+001, +0.00000000000E+000
+8.11100000000E+009, -1.92235874036E+001, +0.00000000000E+000
+8.11400000000E+009, -1.77468913318E+001, +0.00000000000E+000
+8.11700000000E+009, -1.68767381498E+001, +0.00000000000E+000
+8.12000000000E+009, -1.75580087128E+001, +0.00000000000E+000
+8.12300000000E+009, -1.61688087452E+001, +0.00000000000E+000
+8.12600000000E+009, -1.48811219392E+001, +0.00000000000E+000
+8.12900000000E+009, -1.51653527635E+001, +0.00000000000E+000
+8.13200000000E+009, -1.53130272606E+001, +0.00000000000E+000
+8.13500000000E+009, -1.42379734343E+001, +0.00000000000E+000
+8.13800000000E+009, -1.40709729306E+001, +0.00000000000E+000
+8.14100000000E+009, -1.34791198169E+001, +0.00000000000E+000
+8.14400000000E+009, -1.34653632205E+001, +0.00000000000E+000
+8.14700000000E+009, -1.34935787071E+001, +0.00000000000E+000
+8.15000000000E+009, -1.36725612977E+001, +0.00000000000E+000
+8.15300000000E+009, -1.37768003215E+001, +0.00000000000E+000
+8.15600000000E+009, -1.35273555074E+001, +0.00000000000E+000
+8.15900000000E+009, -1.43602834880E+001, +0.00000000000E+000
+8.16200000000E+009, -1.43449178273E+001, +0.00000000000E+000
+8.16500000000E+009, -1.45029553050E+001, +0.00000000000E+000
+8.16800000000E+009, -1.51164021494E+001, +0.00000000000E+000
+8.17100000000E+009, -1.49761150378E+001, +0.00000000000E+000
+8.17400000000E+009, -1.54173407637E+001, +0.00000000000E+000
+8.17700000000E+009, -1.62744875180E+001, +0.00000000000E+000
+8.18000000000E+009, -1.72358862394E+001, +0.00000000000E+000
+8.18300000000E+009, -1.65593273307E+001, +0.00000000000E+000
+8.18600000000E+009, -1.66397331182E+001, +0.00000000000E+000
+8.18900000000E+009, -1.65762010375E+001, +0.00000000000E+000
+8.19200000000E+009, -1.63791467267E+001, +0.00000000000E+000
+8.19500000000E+009, -1.55649446348E+001, +0.00000000000E+000
+8.19800000000E+009, -1.50182008057E+001, +0.00000000000E+000
+8.20100000000E+009, -1.42843984419E+001, +0.00000000000E+000
+8.20400000000E+009, -1.39786498766E+001, +0.00000000000E+000
+8.20700000000E+009, -1.27477645496E+001, +0.00000000000E+000
+8.21000000000E+009, -1.25274904691E+001, +0.00000000000E+000
+8.21300000000E+009, -1.21141255506E+001, +0.00000000000E+000
+8.21600000000E+009, -1.14679568556E+001, +0.00000000000E+000
+8.21900000000E+009, -1.07400626422E+001, +0.00000000000E+000
+8.22200000000E+009, -1.04278532667E+001, +0.00000000000E+000
+8.22500000000E+009, -1.02682487629E+001, +0.00000000000E+000
+8.22800000000E+009, -9.98636919617E+000, +0.00000000000E+000
+8.23100000000E+009, -9.91950011853E+000, +0.00000000000E+000
+8.23400000000E+009, -1.00157136580E+001, +0.00000000000E+000
+8.23700000000E+009, -9.63976966280E+000, +0.00000000000E+000
+8.24000000000E+009, -9.29638438780E+000, +0.00000000000E+000
+8.24300000000E+009, -9.21362190705E+000, +0.00000000000E+000
+8.24600000000E+009, -9.19567931890E+000, +0.00000000000E+000
+8.24900000000E+009, -9.34712750622E+000, +0.00000000000E+000
+8.25200000000E+009, -9.04214419806E+000, +0.00000000000E+000
+8.25500000000E+009, -9.60075469251E+000, +0.00000000000E+000
+8.25800000000E+009, -9.54513128616E+000, +0.00000000000E+000
+8.26100000000E+009, -9.64573087103E+000, +0.00000000000E+000
+8.26400000000E+009, -9.87420550085E+000, +0.00000000000E+000
+8.26700000000E+009, -9.88328821600E+000, +0.00000000000E+000
+8.27000000000E+009, -1.01949276009E+001, +0.00000000000E+000
+8.27300000000E+009, -1.03100864414E+001, +0.00000000000E+000
+8.27600000000E+009, -1.05198349970E+001, +0.00000000000E+000
+8.27900000000E+009, -1.06404655423E+001, +0.00000000000E+000
+8.28200000000E+009, -1.01571246274E+001, +0.00000000000E+000
+8.28500000000E+009, -1.03927947876E+001, +0.00000000000E+000
+8.28800000000E+009, -9.87207445323E+000, +0.00000000000E+000
+8.29100000000E+009, -9.79353115836E+000, +0.00000000000E+000
+8.29400000000E+009, -9.48094822436E+000, +0.00000000000E+000
+8.29700000000E+009, -9.11717119316E+000, +0.00000000000E+000
+8.30000000000E+009, -8.91572915555E+000, +0.00000000000E+000
