"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -2.00744878525E+000, +0.00000000000E+000
+7.70300000000E+009, -2.04528857543E+000, +0.00000000000E+000
+7.70600000000E+009, -2.00783126533E+000, +0.00000000000E+000
+7.70900000000E+009, -2.06638272984E+000, +0.00000000000E+000
+7.71200000000E+009, -2.15437107802E+000, +0.00000000000E+000
+7.71500000000E+009, -2.23968117510E+000, +0.00000000000E+000
+7.71800000000E+009, -2.20883863867E+000, +0.00000000000E+000
+7.72100000000E+009, -2.11903545574E+000, +0.00000000000E+000
+7.72400000000E+009, -2.22557982341E+000, +0.00000000000E+000
+7.72700000000E+009, -2.22851380408E+000, +0.00000000000E+000
+7.73000000000E+009, -2.05555266245E+000, +0.00000000000E+000
+7.73300000000E+009, -1.92411650685E+000, +0.00000000000E+000
+7.73600000000E+009, -1.83538263773E+000, +0.00000000000E+000
+7.73900000000E+009, -1.86227844323E+000, +0.00000000000E+000
+7.74200000000E+009, -1.76381549049E+000, +0.00000000000E+000
+7.74500000000E+009, -1.49754841085E+000, +0.00000000000E+000
+7.74800000000E+009, -1.42685657692E+000, +0.00000000000E+000
+7.75100000000E+009, -1.32073418762E+000, +0.00000000000E+000
+7.75400000000E+009, -1.21821494264E+000, +0.00000000000E+000
+7.75700000000E+009, -1.07852742271E+000, +0.00000000000E+000
+7.76000000000E+009, -1.08328719058E+000, +0.00000000000E+000
+7.76300000000E+009, -9.22448029465E-001, +0.00000000000E+000
+7.76600000000E+009, -8.92647492030E-001, +0.00000000000E+000
+7.76900000000E+009, -9.57185935603E-001, +0.00000000000E+000
+7.77200000000E+009, -9.78641093829E-001, +0.00000000000E+000
+7.77500000000E+009, -8.81527919257E-001, +0.00000000000E+000
+7.77800000000E+009, -8.86161425787E-001, +0.00000000000E+000
+7.78100000000E+009, -9.01724707391E-001, +0.00000000000E+000
+7.78400000000E+009, -9.37127424359E-001, +0.00000000000E+000
+7.78700000000E+009, -1.16478077460E+000, +0.00000000000E+000
+7.79000000000E+009, -1.20839214242E+000, +0.00000000000E+000
+7.79300000000E+009, -1.39328671622E+000, +0.00000000000E+000
+7.79600000000E+009, -1.47955041926E+000, +0.00000000000E+000
+7.79900000000E+009, -1.59849265322E+000, +0.00000000000E+000
+7.80200000000E+009, -1.74714736778E+000, +0.00000000000E+000
+7.80500000000E+009, -2.12925262677E+000, +0.00000000000E+000
+7.80800000000E+009, -2.17345877082E+000, +0.00000000000E+000
+7.81100000000E+009, -2.09109298428E+000, +0.00000000000E+000
+7.81400000000E+009, -2.33208391153E+000, +0.00000000000E+000
+7.81700000000E+009, -2.50627261672E+000, +0.00000000000E+000
+7.82000000000E+009, -2.41995848816E+000, +0.00000000000E+000
+7.82300000000E+009, -2.53694611853E+000, +0.00000000000E+000
+7.82600000000E+009, -2.55921485875E+000, +0.00000000000E+000
+7.82900000000E+009, -2.41147954206E+000, +0.00000000000E+000
+7.83200000000E+009, -2.38110839418E+000, +0.00000000000E+000
+7.83500000000E+009, -2.40428775679E+000, +0.00000000000E+000
+7.83800000000E+009, -2.39148654289E+000, +0.00000000000E+000
+7.84100000000E+009, -2.18624128676E+000, +0.00000000000E+000
+7.84400000000E+009, -2.11525784908E+000, +0.00000000000E+000
+7.84700000000E+009, -1.90669290911E+000, +0.00000000000E+000
+7.85000000000E+009, -1.86956512382E+000, +0.00000000000E+000
+7.85300000000E+009, -1.75133568732E+000, +0.00000000000E+000
+7.85600000000E+009, -1.66324808236E+000, +0.00000000000E+000
+7.85900000000E+009, -1.50536856480E+000, +0.00000000000E+000
+7.86200000000E+009, -1.43847661788E+000, +0.00000000000E+000
+7.86500000000E+009, -1.38085849751E+000, +0.00000000000E+000
+7.86800000000E+009, -1.35444554522E+000, +0.00000000000E+000
+7.87100000000E+009, -1.37667058925E+000, +0.00000000000E+000
+7.87400000000E+009, -1.27594332592E+000, +0.00000000000E+000
+7.87700000000E+009, -1.37789405441E+000, +0.00000000000E+000
+7.88000000000E+009, -1.38754132491E+000, +0.00000000000E+000
+7.88300000000E+009, -1.43128483170E+000, +0.00000000000E+000
+7.88600000000E+009, -1.37743414046E+000, +0.00000000000E+000
+7.88900000000E+009, -1.48663754897E+000, +0.00000000000E+000
+7.89200000000E+009, -1.62509568376E+000, +0.00000000000E+000
+7.89500000000E+009, -1.78754105065E+000, +0.00000000000E+000
+7.89800000000E+009, -1.80695423470E+000, +0.00000000000E+000
+7.90100000000E+009, -1.96218291890E+000, +0.00000000000E+000
+7.90400000000E+009, -1.96801264592E+000, +0.00000000000E+000
+7.90700000000E+009, -2.14163091548E+000, +0.00000000000E+000
+7.91000000000E+009, -2.19263464138E+000, +0.00000000000E+000
+7.91300000000E+009, -2.25929268740E+000, +0.00000000000E+000
+7.91600000000E+009, -2.34541378869E+000, +0.00000000000E+000
+7.91900000000E+009, -2.34384124275E+000, +0.00000000000E+000
+7.92200000000E+009, -2.36904334052E+000, +0.00000000000E+000
+7.92500000000E+009, -2.38166186431E+000, +0.00000000000E+000
+7.92800000000E+009, -2.35139319834E+000, +0.00000000000E+000
+7.93100000000E+009, -2.29813065319E+000, +0.00000000000E+000
+7.93400000000E+009, -2.27419860648E+000, +0.00000000000E+000
+7.93700000000E+009, -2.15226679456E+000, +0.00000000000E+000
+7.94000000000E+009, -1.88670021128E+000, +0.00000000000E+000
+7.94300000000E+009, -1.87805203996E+000, +0.00000000000E+000
+7.94600000000E+009, -1.73956383248E+000, +0.00000000000E+000
+7.94900000000E+009, -1.67565927807E+000, +0.00000000000E+000
+7.95200000000E+009, -1.56449664285E+000, +0.00000000000E+000
+7.95500000000E+009, -1.43050906552E+000, +0.00000000000E+000
+7.95800000000E+009, -1.43886463643E+000, +0.00000000000E+000
+7.96100000000E+009, -1.42928881382E+000, +0.00000000000E+000
+7.96400000000E+009, -1.36481118685E+000, +0.00000000000E+000
+7.96700000000E+009, -1.22672506613E+000, +0.00000000000E+000
+7.97000000000E+009, -1.20798632203E+000, +0.00000000000E+000
+7.97300000000E+009, -1.33200948397E+000, +0.00000000000E+000
+7.97600000000E+009, -1.45687758600E+000, +0.00000000000E+000
+7.97900000000E+009, -1.58287577105E+000, +0.00000000000E+000
+7.98200000000E+009, -1.63300706628E+000, +0.00000000000E+000
+7.98500000000E+009, -1.57045623170E+000, +0.00000000000E+000
+7.98800000000E+009, -1.77373627366E+000, +0.00000000000E+000
+7.99100000000E+009, -1.91465319608E+000, +0.00000000000E+000
+7.99400000000E+009, -1.91587573927E+000, +0.00000000000E+000
+7.99700000000E+009, -2.18523301224E+000, +0.00000000000E+000
+8.00000000000E+009, -2.45842843485E+000, +0.00000000000E+000
+8.00300000000E+009, -2.44799522518E+000, +0.00000000000E+000
+8.00600000000E+009, -2.47781201016E+000, +0.00000000000E+000
+8.00900000000E+009, -2.72187542884E+000, +0.00000000000E+000
+8.01200000000E+009, -2.78157440999E+000, +0.00000000000E+000
+8.01500000000E+009, -2.87868536561E+000, +0.00000000000E+000
+8.01800000000E+009, -2.88806487790E+000, +0.00000000000E+000
+8.02100000000E+009, -2.88968134968E+000, +0.00000000000E+000
+8.02400000000E+009, -3.05722122769E+000, +0.00000000000E+000
+8.02700000000E+009, -3.04467593984E+000, +0.00000000000E+000
+8.03000000000E+009, -3.05898042951E+000, +0.00000000000E+000
+8.03300000000E+009, -2.92626939042E+000, +0.00000000000E+000
+8.03600000000E+009, -2.77180260199E+000, +0.00000000000E+000
+8.03900000000E+009, -2.70484620331E+000, +0.00000000000E+000
+8.04200000000E+009, -2.56448764912E+000, +0.00000000000E+000
+8.04500000000E+009, -2.47573094615E+000, +0.00000000000E+000
+8.04800000000E+009, -2.24037615347E+000, +0.00000000000E+000
+8.05100000000E+009, -2.14552587085E+000, +0.00000000000E+000
+8.05400000000E+009, -2.05076685781E+000, +0.00000000000E+000
+8.05700000000E+009, -1.98768121252E+000, +0.00000000000E+000
+8.06000000000E+009, -1.75574411846E+000, +0.00000000000E+000
+8.06300000000E+009, -1.85131397215E+000, +0.00000000000E+000
+8.06600000000E+009, -1.65530079824E+000, +0.00000000000E+000
+8.06900000000E+009, -1.58623992393E+000, +0.00000000000E+000
+8.07200000000E+009, -1.37351389360E+000, +0.00000000000E+000
+8.07500000000E+009, -1.37800564735E+000, +0.00000000000E+000
+8.07800000000E+009, -1.42985379049E+000, +0.00000000000E+000
+8.08100000000E+009, -1.25299222294E+000, +0.00000000000E+000
+8.08400000000E+009, -1.44287844830E+000, +0.00000000000E+000
+8.08700000000E+009, -1.58949165571E+000, +0.00000000000E+000
+8.09000000000E+009, -1.66081698790E+000, +0.00000000000E+000
+8.09300000000E+009, -1.71656258993E+000, +0.00000000000E+000
+8.09600000000E+009, -1.75646101509E+000, +0.00000000000E+000
+8.09900000000E+009, -1.97418037349E+000, +0.00000000000E+000
+8.10200000000E+009, -2.20595815857E+000, +0.00000000000E+000
+8.10500000000E+009, -2.58713577628E+000, +0.00000000000E+000
+8.10800000000E+009, -2.66689235335E+000, +0.00000000000E+000
+8.11100000000E+009, -2.82218207294E+000, +0.00000000000E+000
+8.11400000000E+009, -2.87435999510E+000, +0.00000000000E+000
+8.11700000000E+009, -2.92018326397E+000, +0.00000000000E+000
+8.12000000000E+009, -3.02652915398E+000, +0.00000000000E+000
+8.12300000000E+009, -3.16439511617E+000, +0.00000000000E+000
