"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -1.01469348903E+000, +0.00000000000E+000
+7.70300000000E+009, -9.04432572185E-001, +0.00000000000E+000
+7.70600000000E+009, -8.33060684493E-001, +0.00000000000E+000
+7.70900000000E+009, -7.89621819827E-001, +0.00000000000E+000
+7.71200000000E+009, -8.37130081098E-001, +0.00000000000E+000
+7.71500000000E+009, -7.01535445564E-001, +0.00000000000E+000
+7.71800000000E+009, -7.68787406404E-001, +0.00000000000E+000
+7.72100000000E+009, -8.07891579671E-001, +0.00000000000E+000
+7.72400000000E+009, -7.42560445533E-001, +0.00000000000E+000
+7.72700000000E+009, -7.99686561840E-001, +0.00000000000E+000
+7.73000000000E+009, -8.92537226441E-001, +0.00000000000E+000
+7.73300000000E+009, -9.05751924498E-001, +0.00000000000E+000
+7.73600000000E+009, -9.89862741651E-001, +0.00000000000E+000
+7.73900000000E+009, -1.00048460601E+000, +0.00000000000E+000
+7.74200000000E+009, -1.03413351380E+000, +0.00000000000E+000
+7.74500000000E+009, -1.11080808355E+000, +0.00000000000E+000
+7.74800000000E+009, -1.21597962072E+000, +0.00000000000E+000
+7.75100000000E+009, -1.31765215761E+000, +0.00000000000E+000
+7.75400000000E+009, -1.34922319511E+000, +0.00000000000E+000
+7.75700000000E+009, -1.42522279377E+000, +0.00000000000E+000
+7.76000000000E+009, -1.48169261998E+000, +0.00000000000E+000
+7.76300000000E+009, -1.57733295870E+000, +0.00000000000E+000
+7.76600000000E+009, -1.55948826518E+000, +0.00000000000E+000
+7.76900000000E+009, -1.60480222786E+000, +0.00000000000E+000
+7.77200000000E+009, -1.60735910041E+000, +0.00000000000E+000
+7.77500000000E+009, -1.57633277471E+000, +0.00000000000E+000
+7.77800000000E+009, -1.64206366082E+000, +0.00000000000E+000
+7.78100000000E+009, -1.76679678483E+000, +0.00000000000E+000
+7.78400000000E+009, -1.62682167438E+000, +0.00000000000E+000
+7.78700000000E+009, -1.64787367400E+000, +0.00000000000E+000
+7.79000000000E+009, -1.52080157181E+000, +0.00000000000E+000
+7.79300000000E+009, -1.38009003408E+000, +0.00000000000E+000
+7.79600000000E+009, -1.35968851014E+000, +0.00000000000E+000
+7.79900000000E+009, -1.41290653871E+000, +0.00000000000E+000
+7.80200000000E+009, -1.26993579402E+000, +0.00000000000E+000
+7.80500000000E+009, -1.18348279483E+000, +0.00000000000E+000
+7.80800000000E+009, -1.14353819124E+000, +0.00000000000E+000
+7.81100000000E+009, -1.14696780507E+000, +0.00000000000E+000
+7.81400000000E+009, -1.04956093648E+000, +0.00000000000E+000
+7.81700000000E+009, -1.02578950084E+000, +0.00000000000E+000
+7.82000000000E+009, -8.71431052136E-001, +0.00000000000E+000
+7.82300000000E+009, -8.46818705169E-001, +0.00000000000E+000
+7.82600000000E+009, -9.18963932412E-001, +0.00000000000E+000
+7.82900000000E+009, -9.90126787800E-001, +0.00000000000E+000
+7.83200000000E+009, -1.00308723972E+000, +0.00000000000E+000
+7.83500000000E+009, -9.62909627307E-001, +0.00000000000E+000
+7.83800000000E+009, -1.06787443793E+000, +0.00000000000E+000
+7.84100000000E+009, -1.01561795006E+000, +0.00000000000E+000
+7.84400000000E+009, -1.07287114576E+000, +0.00000000000E+000
+7.84700000000E+009, -1.09613747476E+000, +0.00000000000E+000
+7.85000000000E+009, -1.19709988092E+000, +0.00000000000E+000
+7.85300000000E+009, -1.34225597486E+000, +0.00000000000E+000
+7.85600000000E+009, -1.33289665314E+000, +0.00000000000E+000
+7.85900000000E+009, -1.37141325585E+000, +0.00000000000E+000
+7.86200000000E+009, -1.44103421946E+000, +0.00000000000E+000
+7.86500000000E+009, -1.54921704187E+000, +0.00000000000E+000
+7.86800000000E+009, -1.58701873692E+000, +0.00000000000E+000
+7.87100000000E+009, -1.91486956561E+000, +0.00000000000E+000
+7.87400000000E+009, -2.05610771689E+000, +0.00000000000E+000
+7.87700000000E+009, -2.04342191239E+000, +0.00000000000E+000
+7.88000000000E+009, -2.28572491985E+000, +0.00000000000E+000
+7.88300000000E+009, -2.32740762089E+000, +0.00000000000E+000
+7.88600000000E+009, -2.31615163093E+000, +0.00000000000E+000
+7.88900000000E+009, -2.41012063100E+000, +0.00000000000E+000
+7.89200000000E+009, -2.42924242973E+000, +0.00000000000E+000
+7.89500000000E+009, -2.57918085669E+000, +0.00000000000E+000
+7.89800000000E+009, -2.65778843255E+000, +0.00000000000E+000
+7.90100000000E+009, -2.70023080254E+000, +0.00000000000E+000
+7.90400000000E+009, -2.75161091770E+000, +0.00000000000E+000
+7.90700000000E+009, -2.73726657342E+000, +0.00000000000E+000
+7.91000000000E+009, -2.81980529608E+000, +0.00000000000E+000
+7.91300000000E+009, -2.95502925246E+000, +0.00000000000E+000
+7.91600000000E+009, -3.08245239663E+000, +0.00000000000E+000
+7.91900000000E+009, -3.29870919963E+000, +0.00000000000E+000
+7.92200000000E+009, -3.42668176374E+000, +0.00000000000E+000
+7.92500000000E+009, -3.65800403418E+000, +0.00000000000E+000
+7.92800000000E+009, -3.83965026823E+000, +0.00000000000E+000
+7.93100000000E+009, -4.06254403981E+000, +0.00000000000E+000
+7.93400000000E+009, -4.29191803545E+000, +0.00000000000E+000
+7.93700000000E+009, -4.58468902282E+000, +0.00000000000E+000
+7.94000000000E+009, -5.00769313067E+000, +0.00000000000E+000
+7.94300000000E+009, -5.05682513492E+000, +0.00000000000E+000
+7.94600000000E+009, -5.51675195670E+000, +0.00000000000E+000
+7.94900000000E+009, -5.96582852826E+000, +0.00000000000E+000
+7.95200000000E+009, -6.35358972355E+000, +0.00000000000E+000
+7.95500000000E+009, -6.89917265619E+000, +0.00000000000E+000
+7.95800000000E+009, -7.34297787725E+000, +0.00000000000E+000
+7.96100000000E+009, -7.48399975674E+000, +0.00000000000E+000
+7.96400000000E+009, -8.54139050761E+000, +0.00000000000E+000
+7.96700000000E+009, -9.18736658101E+000, +0.00000000000E+000
+7.97000000000E+009, -9.91839469796E+000, +0.00000000000E+000
+7.97300000000E+009, -1.06289537952E+001, +0.00000000000E+000
+7.97600000000E+009, -1.13218164145E+001, +0.00000000000E+000
+7.97900000000E+009, -1.29571811476E+001, +0.00000000000E+000
+7.98200000000E+009, -1.37937566304E+001, +0.00000000000E+000
+7.98500000000E+009, -1.51921902561E+001, +0.00000000000E+000
+7.98800000000E+009, -1.66977474489E+001, +0.00000000000E+000
+7.99100000000E+009, -2.05448236878E+001, +0.00000000000E+000
+7.99400000000E+009, -2.42842162589E+001, +0.00000000000E+000
+7.99700000000E+009, -2.71516296256E+001, +0.00000000000E+000
+8.00000000000E+009, -2.87887878291E+001, +0.00000000000E+000
+8.00300000000E+009, -2.79617773627E+001, +0.00000000000E+000
+8.00600000000E+009, -2.14269489498E+001, +0.00000000000E+000
+8.00900000000E+009, -2.03097459931E+001, +0.00000000000E+000
+8.01200000000E+009, -1.72153229279E+001, +0.00000000000E+000
+8.01500000000E+009, -1.49413123934E+001, +0.00000000000E+000
+8.01800000000E+009, -1.35328273826E+001, +0.00000000000E+000
+8.02100000000E+009, -1.23444840694E+001, +0.00000000000E+000
+8.02400000000E+009, -1.14225679688E+001, +0.00000000000E+000
+8.02700000000E+009, -1.03411251786E+001, +0.00000000000E+000
+8.03000000000E+009, -9.59394839609E+000, +0.00000000000E+000
+8.03300000000E+009, -8.55929669657E+000, +0.00000000000E+000
+8.03600000000E+009, -7.85746882092E+000, +0.00000000000E+000
+8.03900000000E+009, -7.42530043119E+000, +0.00000000000E+000
+8.04200000000E+009, -7.15916063031E+000, +0.00000000000E+000
+8.04500000000E+009, -7.02138446438E+000, +0.00000000000E+000
+8.04800000000E+009, -6.52785025002E+000, +0.00000000000E+000
+8.05100000000E+009, -6.08482035592E+000, +0.00000000000E+000
+8.05400000000E+009, -5.99704521775E+000, +0.00000000000E+000
+8.05700000000E+009, -5.61326102489E+000, +0.00000000000E+000
+8.06000000000E+009, -5.31453388332E+000, +0.00000000000E+000
+8.06300000000E+009, -5.19216226524E+000, +0.00000000000E+000
+8.06600000000E+009, -4.93627528506E+000, +0.00000000000E+000
+8.06900000000E+009, -4.66678310060E+000, +0.00000000000E+000
+8.07200000000E+009, -4.22980526879E+000, +0.00000000000E+000
+8.07500000000E+009, -3.96348408349E+000, +0.00000000000E+000
+8.07800000000E+009, -3.97538993006E+000, +0.00000000000E+000
+8.08100000000E+009, -3.69179623195E+000, +0.00000000000E+000
+8.08400000000E+009, -3.62776354784E+000, +0.00000000000E+000
+8.08700000000E+009, -3.71968955828E+000, +0.00000000000E+000
+8.09000000000E+009, -3.52767042048E+000, +0.00000000000E+000
+8.09300000000E+009, -3.43272363564E+000, +0.00000000000E+000
+8.09600000000E+009, -3.35903458116E+000, +0.00000000000E+000
+8.09900000000E+009, -3.21169894177E+000, +0.00000000000E+000
+8.10200000000E+009, -3.22347705527E+000, +0.00000000000E+000
+8.10500000000E+009, -3.28384594194E+000, +0.00000000000E+000
+8.10800000000E+009, -3.00716215459E+000, +0.00000000000E+000
+8.11100000000E+009, -2.95953510601E+000, +0.00000000000E+000
+8.11400000000E+009, -2.81743671577E+000, +0.00000000000E+000
+8.11700000000E+009, -2.70477779623E+000, +0.00000000000E+000
+8.12000000000E+009, -2.50310825824E+000, +0.00000000000E+000
+8.12300000000E+009, -2.34627268262E+000, +0.00000000000E+000
+8.12600000000E+009, -2.35402700686E+000, +0.00000000000E+000
+8.12900000000E+009, -2.21922597563E+000, +0.00000000000E+000
+8.13200000000E+009, -2.37304031941E+000, +0.00000000000E+000
+8.13500000000E+009, -2.38022151691E+000, +0.00000000000E+000
+8.13800000000E+009, -2.40533181641E+000, +0.00000000000E+000
+8.14100000000E+009, -2.44330322208E+000, +0.00000000000E+000
+8.14400000000E+009, -2.46336680576E+000, +0.00000000000E+000
+8.14700000000E+009, -2.44651173441E+000, +0.00000000000E+000
+8.15000000000E+009, -2.39582985654E+000, +0.00000000000E+000
+8.15300000000E+009, -2.35571101418E+000, +0.00000000000E+000
+8.15600000000E+009, -2.43387210535E+000, +0.00000000000E+000
+8.15900000000E+009, -2.36073731220E+000, +0.00000000000E+000
+8.16200000000E+009, -2.30810853358E+000, +0.00000000000E+000
+8.16500000000E+009, -2.51411245284E+000, +0.00000000000E+000
+8.16800000000E+009, -2.42993680101E+000, +0.00000000000E+000
+8.17100000000E+009, -2.47127395638E+000, +0.00000000000E+000
+8.17400000000E+009, -2.44565295114E+000, +0.00000000000E+000
+8.17700000000E+009, -2.44029932265E+000, +0.00000000000E+000
+8.18000000000E+009, -2.68120475015E+000, +0.00000000000E+000
+8.18300000000E+009, -2.58610078369E+000, +0.00000000000E+000
