"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -1.44010883654E+000, +0.00000000000E+000
+7.70300000000E+009, -1.27521374327E+000, +0.00000000000E+000
+7.70600000000E+009, -1.21941254015E+000, +0.00000000000E+000
+7.70900000000E+009, -1.30598679719E+000, +0.00000000000E+000
+7.71200000000E+009, -1.22516902341E+000, +0.00000000000E+000
+7.71500000000E+009, -1.18518643432E+000, +0.00000000000E+000
+7.71800000000E+009, -1.13227589177E+000, +0.00000000000E+000
+7.72100000000E+009, -1.18492942462E+000, +0.00000000000E+000
+7.72400000000E+009, -1.16030899032E+000, +0.00000000000E+000
+7.72700000000E+009, -1.21066574777E+000, +0.00000000000E+000
+7.73000000000E+009, -1.18246254731E+000, +0.00000000000E+000
+7.73300000000E+009, -1.32065087938E+000, +0.00000000000E+000
+7.73600000000E+009, -1.29998355480E+000, +0.00000000000E+000
+7.73900000000E+009, -1.29497334139E+000, +0.00000000000E+000
+7.74200000000E+009, -1.41502472493E+000, +0.00000000000E+000
+7.74500000000E+009, -1.50382683019E+000, +0.00000000000E+000
+7.74800000000E+009, -1.62997775100E+000, +0.00000000000E+000
+7.75100000000E+009, -1.72822338138E+000, +0.00000000000E+000
+7.75400000000E+009, -1.76692747132E+000, +0.00000000000E+000
+7.75700000000E+009, -1.79260429112E+000, +0.00000000000E+000
+7.76000000000E+009, -1.87294555373E+000, +0.00000000000E+000
+7.76300000000E+009, -1.97899256411E+000, +0.00000000000E+000
+7.76600000000E+009, -1.94983984317E+000, +0.00000000000E+000
+7.76900000000E+009, -2.06054066706E+000, +0.00000000000E+000
+7.77200000000E+009, -2.10885053075E+000, +0.00000000000E+000
+7.77500000000E+009, -2.02805821201E+000, +0.00000000000E+000
+7.77800000000E+009, -2.07622964010E+000, +0.00000000000E+000
+7.78100000000E+009, -2.11503265576E+000, +0.00000000000E+000
+7.78400000000E+009, -2.02284702569E+000, +0.00000000000E+000
+7.78700000000E+009, -1.96445721647E+000, +0.00000000000E+000
+7.79000000000E+009, -1.91490301877E+000, +0.00000000000E+000
+7.79300000000E+009, -1.82609360883E+000, +0.00000000000E+000
+7.79600000000E+009, -1.81646293599E+000, +0.00000000000E+000
+7.79900000000E+009, -1.73874117024E+000, +0.00000000000E+000
+7.80200000000E+009, -1.78314171436E+000, +0.00000000000E+000
+7.80500000000E+009, -1.61198009308E+000, +0.00000000000E+000
+7.80800000000E+009, -1.55729071070E+000, +0.00000000000E+000
+7.81100000000E+009, -1.54316437046E+000, +0.00000000000E+000
+7.81400000000E+009, -1.50038200598E+000, +0.00000000000E+000
+7.81700000000E+009, -1.34289931912E+000, +0.00000000000E+000
+7.82000000000E+009, -1.19537399511E+000, +0.00000000000E+000
+7.82300000000E+009, -1.29521686003E+000, +0.00000000000E+000
+7.82600000000E+009, -1.30875634454E+000, +0.00000000000E+000
+7.82900000000E+009, -1.35827674537E+000, +0.00000000000E+000
+7.83200000000E+009, -1.38859217783E+000, +0.00000000000E+000
+7.83500000000E+009, -1.33269113515E+000, +0.00000000000E+000
+7.83800000000E+009, -1.47141747537E+000, +0.00000000000E+000
+7.84100000000E+009, -1.37991315109E+000, +0.00000000000E+000
+7.84400000000E+009, -1.45731798388E+000, +0.00000000000E+000
+7.84700000000E+009, -1.41132168172E+000, +0.00000000000E+000
+7.85000000000E+009, -1.51339015691E+000, +0.00000000000E+000
+7.85300000000E+009, -1.73891147590E+000, +0.00000000000E+000
+7.85600000000E+009, -1.75087812611E+000, +0.00000000000E+000
+7.85900000000E+009, -1.76485264435E+000, +0.00000000000E+000
+7.86200000000E+009, -1.82158024096E+000, +0.00000000000E+000
+7.86500000000E+009, -2.10950801011E+000, +0.00000000000E+000
+7.86800000000E+009, -2.16999378516E+000, +0.00000000000E+000
+7.87100000000E+009, -2.29445105987E+000, +0.00000000000E+000
+7.87400000000E+009, -2.44028987552E+000, +0.00000000000E+000
+7.87700000000E+009, -2.48915690742E+000, +0.00000000000E+000
+7.88000000000E+009, -2.67433121497E+000, +0.00000000000E+000
+7.88300000000E+009, -2.76776086741E+000, +0.00000000000E+000
+7.88600000000E+009, -2.87279354663E+000, +0.00000000000E+000
+7.88900000000E+009, -2.96337625238E+000, +0.00000000000E+000
+7.89200000000E+009, -3.06317142859E+000, +0.00000000000E+000
+7.89500000000E+009, -3.19621964306E+000, +0.00000000000E+000
+7.89800000000E+009, -3.25165876787E+000, +0.00000000000E+000
+7.90100000000E+009, -3.35240405107E+000, +0.00000000000E+000
+7.90400000000E+009, -3.49247303105E+000, +0.00000000000E+000
+7.90700000000E+009, -3.54662055454E+000, +0.00000000000E+000
+7.91000000000E+009, -3.65303473148E+000, +0.00000000000E+000
+7.91300000000E+009, -3.84070597827E+000, +0.00000000000E+000
+7.91600000000E+009, -4.03393502337E+000, +0.00000000000E+000
+7.91900000000E+009, -4.27872482096E+000, +0.00000000000E+000
