"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.70000000000E+009, -3.42004619200E+000, +0.00000000000E+000
+7.70300000000E+009, -3.32313175912E+000, +0.00000000000E+000
+7.70600000000E+009, -3.08935975832E+000, +0.00000000000E+000
+7.70900000000E+009, -3.06456772163E+000, +0.00000000000E+000
+7.71200000000E+009, -2.95617852547E+000, +0.00000000000E+000
+7.71500000000E+009, -2.67950375863E+000, +0.00000000000E+000
+7.71800000000E+009, -2.72409812920E+000, +0.00000000000E+000
+7.72100000000E+009, -2.52050590796E+000, +0.00000000000E+000
+7.72400000000E+009, -2.68777974824E+000, +0.00000000000E+000
+7.72700000000E+009, -2.65627855217E+000, +0.00000000000E+000
+7.73000000000E+009, -2.59917149094E+000, +0.00000000000E+000
+7.73300000000E+009, -2.62900088890E+000, +0.00000000000E+000
+7.73600000000E+009, -2.65022104251E+000, +0.00000000000E+000
+7.73900000000E+009, -2.73916423058E+000, +0.00000000000E+000
+7.74200000000E+009, -2.80822452556E+000, +0.00000000000E+000
+7.74500000000E+009, -3.05011883671E+000, +0.00000000000E+000
+7.74800000000E+009, -3.14885674661E+000, +0.00000000000E+000
+7.75100000000E+009, -3.24927277552E+000, +0.00000000000E+000
+7.75400000000E+009, -3.37750482731E+000, +0.00000000000E+000
+7.75700000000E+009, -3.49996944053E+000, +0.00000000000E+000
+7.76000000000E+009, -3.62429107277E+000, +0.00000000000E+000
+7.76300000000E+009, -3.82219820957E+000, +0.00000000000E+000
+7.76600000000E+009, -3.73144428790E+000, +0.00000000000E+000
+7.76900000000E+009, -3.89615295743E+000, +0.00000000000E+000
+7.77200000000E+009, -3.86408203037E+000, +0.00000000000E+000
+7.77500000000E+009, -3.91962677597E+000, +0.00000000000E+000
+7.77800000000E+009, -3.90059146820E+000, +0.00000000000E+000
+7.78100000000E+009, -3.90339176784E+000, +0.00000000000E+000
+7.78400000000E+009, -3.84407926051E+000, +0.00000000000E+000
+7.78700000000E+009, -3.88025975529E+000, +0.00000000000E+000
+7.79000000000E+009, -3.67389886731E+000, +0.00000000000E+000
+7.79300000000E+009, -3.39385578937E+000, +0.00000000000E+000
+7.79600000000E+009, -3.22793774667E+000, +0.00000000000E+000
+7.79900000000E+009, -3.28586426961E+000, +0.00000000000E+000
+7.80200000000E+009, -3.06262639400E+000, +0.00000000000E+000
+7.80500000000E+009, -2.86087423217E+000, +0.00000000000E+000
+7.80800000000E+009, -2.75601938185E+000, +0.00000000000E+000
+7.81100000000E+009, -2.65223200072E+000, +0.00000000000E+000
+7.81400000000E+009, -2.55101469750E+000, +0.00000000000E+000
+7.81700000000E+009, -2.28476552791E+000, +0.00000000000E+000
+7.82000000000E+009, -2.08916105041E+000, +0.00000000000E+000
+7.82300000000E+009, -2.03706744880E+000, +0.00000000000E+000
+7.82600000000E+009, -1.98747480062E+000, +0.00000000000E+000
+7.82900000000E+009, -2.01346284144E+000, +0.00000000000E+000
+7.83200000000E+009, -1.91739863584E+000, +0.00000000000E+000
+7.83500000000E+009, -1.78261484078E+000, +0.00000000000E+000
