Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,6.521066666667
Start Frequency,-80000000
Stop Frequency,9920000000
Average Count,0
Average Type,LogPower(Video)
RBW,43000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-80000000,-85.2018280029297
-70000000,-114.034172058105
-60000000,-84.3761825561523
-50000000,-114.065139770508
-40000000,-85.3610992431641
-30000000,-111.671943664551
-20000000,-85.7476806640625
-10000000,-110.210784912109
0,1.36858475208282
10000000,-118.267669677734
20000000,-83.3165512084961
30000000,-113.085647583008
40000000,-83.6231384277344
50000000,-121.275077819824
60000000,-85.1758499145508
70000000,-112.201622009277
80000000,-83.8016357421875
90000000,-110.74006652832
100000000,-51.8910217285156
110000000,-116.077972412109
120000000,-84.7613754272461
130000000,-121.990333557129
140000000,-84.1889343261719
150000000,-118.019744873047
160000000,-84.0932312011719
170000000,-115.714202880859
180000000,-85.5750579833984
190000000,-117.18155670166
200000000,-79.3073654174805
210000000,-115.581474304199
220000000,-84.7590484619141
230000000,-121.060523986816
240000000,-84.2390060424805
250000000,-111.805114746094
260000000,-84.740478515625
270000000,-112.113441467285
280000000,-84.0424423217773
290000000,-113.216087341309
300000000,-82.9959106445313
310000000,-114.398635864258
320000000,-84.3858184814453
330000000,-116.19457244873
340000000,-83.1115798950195
350000000,-111.791717529297
360000000,-82.2782287597656
370000000,-114.958305358887
380000000,-83.3390960693359
390000000,-113.045196533203
400000000,-84.7734222412109
410000000,-118.17578125
420000000,-85.0531387329102
430000000,-112.044136047363
440000000,-84.03564453125
450000000,-115.339233398438
460000000,-85.7521133422852
470000000,-119.792091369629
480000000,-85.1172027587891
490000000,-115.969863891602
500000000,-84.0950164794922
510000000,-117.869934082031
520000000,-84.6591949462891
530000000,-115.727737426758
540000000,-84.2513885498047
550000000,-117.063133239746
560000000,-85.9047012329102
570000000,-122.949783325195
580000000,-85.0012130737305
590000000,-117.611526489258
600000000,-84.7582168579102
610000000,-117.412063598633
620000000,-85.8771362304688
630000000,-117.261451721191
640000000,-85.442268371582
650000000,-114.265899658203
660000000,-85.4042205810547
670000000,-122.794982910156
680000000,-85.8170776367188
690000000,-114.24195098877
700000000,-85.2947540283203
710000000,-115.775650024414
720000000,-84.4184417724609
730000000,-115.405113220215
740000000,-85.8711700439453
750000000,-115.547859191895
760000000,-83.9645233154297
770000000,-113.93212890625
780000000,-85.1539764404297
790000000,-110.726196289063
800000000,-85.7667846679688
810000000,-111.066551208496
820000000,-84.823844909668
830000000,-112.323341369629
840000000,-84.4184036254883
850000000,-120.038246154785
860000000,-84.7832870483398
870000000,-112.490463256836
