Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,6.521066666667
Start Frequency,-80000000
Stop Frequency,9920000000
Average Count,0
Average Type,LogPower(Video)
RBW,43000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-80000000,-86.5140762329102
-70000000,-115.463317871094
-60000000,-84.1300430297852
-50000000,-114.328483581543
-40000000,-84.8417358398438
-30000000,-112.196563720703
-20000000,-84.9878997802734
-10000000,-111.763801574707
0,1.36301839351654
10000000,-111.074508666992
20000000,-84.7121200561523
30000000,-116.687255859375
40000000,-84.6013412475586
50000000,-116.191856384277
60000000,-84.8929901123047
70000000,-116.650192260742
80000000,-84.4350891113281
90000000,-111.777122497559
100000000,-56.1025505065918
110000000,-117.7216796875
120000000,-84.2632293701172
130000000,-113.709693908691
140000000,-84.6341247558594
150000000,-114.64429473877
160000000,-84.4628295898438
170000000,-116.231880187988
180000000,-85.2010040283203
190000000,-112.498008728027
200000000,-81.5895843505859
210000000,-110.947227478027
220000000,-83.7262496948242
230000000,-111.356094360352
240000000,-84.3850021362305
250000000,-115.604164123535
260000000,-84.7282333374023
270000000,-111.291282653809
280000000,-83.8993606567383
290000000,-111.302375793457
300000000,-83.9093627929688
310000000,-111.382774353027
320000000,-83.7234497070313
330000000,-113.374641418457
340000000,-84.5469436645508
350000000,-112.238830566406
360000000,-84.7938919067383
370000000,-120.594039916992
380000000,-84.4779815673828
390000000,-114.743263244629
400000000,-83.7441482543945
410000000,-112.543388366699
420000000,-84.7718048095703
430000000,-120.889587402344
440000000,-85.447380065918
450000000,-111.234580993652
460000000,-85.2867660522461
470000000,-114.132148742676
480000000,-84.1007308959961
490000000,-123.089317321777
500000000,-84.3264770507813
510000000,-118.144912719727
520000000,-85.6353912353516
530000000,-113.318557739258
540000000,-85.7653732299805
550000000,-114.645782470703
560000000,-85.4428558349609
570000000,-113.725860595703
580000000,-85.1789093017578
590000000,-113.159530639648
600000000,-86.0049591064453
610000000,-116.623863220215
620000000,-84.2738876342773
630000000,-119.811767578125
640000000,-85.4709243774414
650000000,-113.39778137207
660000000,-85.9156494140625
670000000,-115.313766479492
680000000,-85.3642120361328
690000000,-113.35912322998
700000000,-84.9425201416016
710000000,-115.680778503418
720000000,-85.3863143920898
730000000,-122.334144592285
740000000,-85.9892272949219
750000000,-117.382637023926
760000000,-84.6678619384766
770000000,-111.551490783691
780000000,-84.5427856445313
790000000,-114.053375244141
800000000,-84.6958160400391
810000000,-113.661399841309
820000000,-85.5482788085938
830000000,-115.402870178223
840000000,-85.2113647460938
850000000,-118.145881652832
860000000,-85.6269454956055
870000000,-111.380737304688
