Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.031733333333
Start Frequency,0
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,39000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,39000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,32.7413101196289
40000,17.8187122344971
80000,-20.3643436431885
120000,-61.7289009094238
160000,-47.2098922729492
200000,-64.8195114135742
240000,-54.4536819458008
280000,-70.6407089233398
320000,-61.8765563964844
360000,-70.1128845214844
400000,-62.6929016113281
440000,-77.7851867675781
480000,-70.8162231445313
520000,-78.5085906982422
560000,-69.7596740722656
600000,-83.2221069335938
640000,-72.8508453369141
680000,-84.1984100341797
720000,-73.8615493774414
760000,-88.7042694091797
800000,-71.8931732177734
840000,-86.4043273925781
880000,-75.3937683105469
920000,-85.068229675293
960000,-75.4326248168945
1000000,-85.5872421264648
1040000,-77.7784271240234
1080000,-89.6349334716797
1120000,-80.8980560302734
1160000,-98.5441513061523
1200000,-82.0735549926758
1240000,-93.9810943603516
1280000,-77.590705871582
1320000,-90.9469757080078
1360000,-75.3835754394531
1400000,-94.8805923461914
1440000,-80.4127502441406
1480000,-93.8956298828125
1520000,-82.0453338623047
1560000,-85.6909561157227
1600000,-79.4045715332031
1640000,-106.118141174316
1680000,-85.2804794311523
1720000,-94.8043899536133
1760000,-82.5852584838867
1800000,-107.313438415527
1840000,-84.2855224609375
1880000,-95.918083190918
1920000,-79.0487060546875
1960000,-92.0983276367188
2000000,-78.2776870727539
2040000,-101.411987304688
2080000,-82.6731567382813
2120000,-91.4593353271484
2160000,-81.9405364990234
2200000,-99.7000198364258
2240000,-87.8500595092773
2280000,-92.4481811523438
2320000,-84.1941757202148
2360000,-102.234596252441
2400000,-88.2033538818359
2440000,-94.5230941772461
2480000,-85.4166107177734
2520000,-93.9087066650391
2560000,-85.4588623046875
2600000,-100.325912475586
2640000,-84.845329284668
2680000,-93.3663558959961
2720000,-84.1287460327148
2760000,-97.6535034179688
2800000,-87.5163955688477
2840000,-98.0728759765625
2880000,-81.956413269043
2920000,-93.8446426391602
2960000,-86.2171173095703
3000000,-100.365287780762
3040000,-82.7946319580078
3080000,-102.009223937988
3120000,-82.5153579711914
3160000,-89.7012023925781
3200000,-82.7586212158203
3240000,-100.336547851563
3280000,-82.0589904785156
3320000,-91.4206008911133
3360000,-89.4056396484375
3400000,-92.5126113891602
3440000,-84.8676834106445
3480000,-90.3125839233398
3520000,-87.3519668579102
3560000,-93.0785293579102
3600000,-88.1678695678711
3640000,-96.9288024902344
3680000,-87.6538925170898
3720000,-91.3857498168945
3760000,-88.6451568603516
3800000,-99.3874588012695
