Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.031733333333
Start Frequency,0
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,39000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,39000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,32.7430992126465
40000,17.8034992218018
80000,-20.2444324493408
120000,-52.3910675048828
160000,-46.1217460632324
200000,-64.6369552612305
240000,-56.058162689209
280000,-62.7919158935547
320000,-59.4863929748535
360000,-69.3558349609375
400000,-61.8946914672852
440000,-69.4451141357422
480000,-64.7025604248047
520000,-77.1287231445313
560000,-68.8567657470703
600000,-87.2015380859375
640000,-72.2181777954102
680000,-80.2395629882813
720000,-72.7877197265625
760000,-81.6420516967773
800000,-78.6090698242188
840000,-86.9510803222656
880000,-76.6868362426758
920000,-88.2225952148438
960000,-75.7082366943359
1000000,-80.7460632324219
1040000,-71.5860137939453
1080000,-90.3669281005859
1120000,-71.2684936523438
1160000,-94.2461471557617
1200000,-76.6865158081055
1240000,-80.8186340332031
1280000,-77.7830963134766
1320000,-91.7496643066406
1360000,-79.7245254516602
1400000,-96.8779144287109
1440000,-80.4324340820313
1480000,-96.5784149169922
1520000,-80.6368255615234
1560000,-96.6341705322266
1600000,-84.5705795288086
1640000,-98.6433944702148
1680000,-80.2800140380859
1720000,-94.3220596313477
1760000,-82.8698196411133
1800000,-96.0883483886719
1840000,-80.4850616455078
1880000,-97.5601501464844
1920000,-83.7458114624023
1960000,-92.4374771118164
2000000,-85.3014221191406
2040000,-92.1520004272461
2080000,-84.512092590332
2120000,-92.2763366699219
2160000,-88.1544189453125
2200000,-99.8467788696289
2240000,-86.0451354980469
2280000,-92.630729675293
2320000,-86.3633117675781
2360000,-99.3665771484375
2400000,-83.2914810180664
2440000,-93.6693954467773
2480000,-83.9338302612305
2520000,-90.2621612548828
2560000,-84.8906326293945
2600000,-97.9831771850586
2640000,-89.0923233032227
2680000,-89.0397186279297
2720000,-82.7918319702148
2760000,-89.7161178588867
2800000,-86.0917816162109
2840000,-93.9261093139648
2880000,-85.3004989624023
2920000,-100.009315490723
2960000,-85.3705825805664
3000000,-102.079833984375
3040000,-88.9253005981445
3080000,-100.096908569336
3120000,-85.4639129638672
3160000,-92.6739196777344
3200000,-88.8534927368164
3240000,-97.7772521972656
3280000,-85.7789154052734
3320000,-102.529365539551
3360000,-84.456184387207
3400000,-94.7837600708008
3440000,-82.5097351074219
3480000,-94.0548782348633
3520000,-87.0969314575195
3560000,-94.1729431152344
3600000,-86.3387832641602
3640000,-100.245147705078
3680000,-87.6359939575195
3720000,-101.649765014648
3760000,-88.6031036376953
3800000,-92.6250228881836
