Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,0.1884
Start Frequency,0
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,16000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,16000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,32.7200050354004
40000,-52.3288345336914
80000,-29.2468109130859
120000,-68.6848373413086
160000,-56.5973434448242
200000,-66.0200805664063
240000,-55.406665802002
280000,-82.1332321166992
320000,-61.9964981079102
360000,-80.7074279785156
400000,-65.1634826660156
440000,-90.5181884765625
480000,-69.7247543334961
520000,-86.0578918457031
560000,-72.3984832763672
600000,-86.3269653320313
640000,-73.1698837280273
680000,-89.7265319824219
720000,-73.5575180053711
760000,-91.2256774902344
800000,-73.4769744873047
840000,-91.1826324462891
880000,-75.375732421875
920000,-97.5837478637695
960000,-78.3722991943359
1000000,-91.5233993530273
1040000,-80.1172943115234
1080000,-96.6282272338867
1120000,-83.9396438598633
1160000,-95.7564544677734
1200000,-80.8690795898438
1240000,-100.469505310059
1280000,-85.3208541870117
1320000,-92.9496307373047
1360000,-83.18994140625
1400000,-103.329231262207
1440000,-81.3584213256836
1480000,-100.828216552734
1520000,-85.7451858520508
1560000,-101.889595031738
1600000,-84.1279907226563
1640000,-106.551902770996
1680000,-85.1968765258789
1720000,-101.110176086426
1760000,-87.2377777099609
1800000,-104.809455871582
1840000,-86.8595428466797
1880000,-102.371337890625
1920000,-87.4091567993164
1960000,-99.1121597290039
2000000,-80.7750854492188
2040000,-107.552520751953
2080000,-85.3445892333984
2120000,-107.349517822266
2160000,-88.1301116943359
2200000,-102.071533203125
2240000,-87.8619766235352
2280000,-104.958709716797
2320000,-88.2889709472656
2360000,-103.3330078125
2400000,-86.648307800293
2440000,-97.3266525268555
2480000,-88.2065811157227
2520000,-105.091789245605
2560000,-88.3615875244141
2600000,-102.439231872559
2640000,-89.484748840332
2680000,-97.7000427246094
2720000,-86.3980712890625
2760000,-104.506866455078
2800000,-88.3927841186523
2840000,-105.331100463867
2880000,-87.6656799316406
2920000,-99.0625305175781
2960000,-87.2173767089844
3000000,-100.462280273438
3040000,-90.4187088012695
3080000,-106.601097106934
3120000,-85.9442825317383
3160000,-107.333564758301
3200000,-91.3319473266602
3240000,-107.245056152344
3280000,-89.3347930908203
3320000,-101.018760681152
3360000,-88.4018020629883
3400000,-110.09912109375
3440000,-88.7267456054688
3480000,-103.690711975098
3520000,-89.9969863891602
3560000,-104.388061523438
3600000,-93.3557434082031
3640000,-111.379280090332
3680000,-92.2846298217773
3720000,-99.8500671386719
3760000,-88.9097595214844
3800000,-104.006141662598
3840000,-90.7030410766602
