Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,6.521066666667
Start Frequency,-80000000
Stop Frequency,9920000000
Average Count,0
Average Type,LogPower(Video)
RBW,43000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-80000000,-82.6800994873047
-70000000,-111.302032470703
-60000000,-83.3241653442383
-50000000,-110.395584106445
-40000000,-83.759147644043
-30000000,-114.155418395996
-20000000,-83.3856353759766
-10000000,-118.282005310059
0,1.37779438495636
10000000,-112.527282714844
20000000,-84.3260650634766
30000000,-115.851928710938
40000000,-84.5497970581055
50000000,-112.726928710938
60000000,-84.1701965332031
70000000,-120.119300842285
80000000,-84.1992797851563
90000000,-113.242294311523
100000000,-21.6728401184082
110000000,-112.128639221191
120000000,-83.6085662841797
130000000,-111.905685424805
140000000,-84.0189208984375
150000000,-113.969841003418
160000000,-84.4521713256836
170000000,-111.458595275879
180000000,-83.865478515625
190000000,-110.777793884277
200000000,-54.0664329528809
210000000,-113.887756347656
220000000,-84.1092300415039
230000000,-113.523956298828
240000000,-84.5946044921875
250000000,-113.20198059082
260000000,-82.709587097168
270000000,-115.064399719238
280000000,-83.8868026733398
290000000,-119.305923461914
300000000,-36.5095367431641
310000000,-113.344497680664
320000000,-84.4872741699219
330000000,-111.567893981934
340000000,-83.0578155517578
350000000,-114.856216430664
360000000,-82.0854339599609
370000000,-110.298149108887
380000000,-82.66845703125
390000000,-110.689147949219
400000000,-58.8929023742676
410000000,-116.372215270996
420000000,-84.5993576049805
430000000,-112.794052124023
440000000,-85.3955917358398
450000000,-119.924674987793
460000000,-85.2900543212891
470000000,-112.610107421875
480000000,-84.6626510620117
490000000,-113.013824462891
500000000,-58.8411445617676
510000000,-113.800575256348
520000000,-85.2732162475586
530000000,-114.162101745605
540000000,-84.7274398803711
550000000,-124.944076538086
560000000,-85.1163940429688
570000000,-116.425842285156
580000000,-84.9854583740234
590000000,-111.535507202148
600000000,-56.0964508056641
610000000,-116.08122253418
620000000,-84.1231994628906
630000000,-115.214851379395
640000000,-84.8808364868164
650000000,-113.379386901855
660000000,-83.0806732177734
670000000,-112.959014892578
680000000,-84.740119934082
690000000,-114.488433837891
700000000,-35.496337890625
710000000,-117.169654846191
720000000,-85.8868865966797
730000000,-110.167556762695
740000000,-85.4173355102539
750000000,-114.938201904297
760000000,-84.9922790527344
770000000,-116.132446289063
780000000,-85.004150390625
790000000,-115.310913085938
800000000,-54.8008155822754
810000000,-110.044975280762
820000000,-84.2904663085938
830000000,-112.783073425293
840000000,-84.5632858276367
850000000,-115.838890075684
860000000,-84.1997146606445
870000000,-112.690017700195
