Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,6.521066666667
Start Frequency,-80000000
Stop Frequency,9920000000
Average Count,0
Average Type,LogPower(Video)
RBW,43000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-80000000,-85.7312927246094
-70000000,-111.202949523926
-60000000,-83.904182434082
-50000000,-116.929405212402
-40000000,-84.9592590332031
-30000000,-115.514739990234
-20000000,-84.565559387207
-10000000,-111.636611938477
0,1.37890768051147
10000000,-116.247573852539
20000000,-84.6906051635742
30000000,-111.753997802734
40000000,-82.8576736450195
50000000,-113.975509643555
60000000,-83.7616195678711
70000000,-110.852386474609
80000000,-83.0159454345703
90000000,-110.828636169434
100000000,-26.3174304962158
110000000,-116.588424682617
120000000,-84.4151763916016
130000000,-116.994987487793
140000000,-83.7634582519531
150000000,-117.37230682373
160000000,-83.1674423217773
170000000,-112.065330505371
180000000,-83.7998123168945
190000000,-114.201118469238
200000000,-59.9668006896973
210000000,-111.247062683105
220000000,-84.3423614501953
230000000,-112.748336791992
240000000,-84.2047805786133
250000000,-112.393203735352
260000000,-84.4463348388672
270000000,-114.207748413086
280000000,-83.2617111206055
290000000,-114.437530517578
300000000,-38.2941207885742
310000000,-114.848541259766
320000000,-83.2047805786133
330000000,-109.313865661621
340000000,-83.7361526489258
350000000,-113.425651550293
360000000,-82.1213073730469
370000000,-114.9375
380000000,-83.8468780517578
390000000,-111.352989196777
400000000,-75.3003692626953
410000000,-113.838394165039
420000000,-83.2349319458008
430000000,-115.729766845703
440000000,-83.8422470092773
450000000,-113.434211730957
460000000,-83.5163192749023
470000000,-113.000862121582
480000000,-83.9691925048828
490000000,-112.804527282715
500000000,-52.7537498474121
510000000,-116.120643615723
520000000,-82.5469131469727
530000000,-122.923530578613
540000000,-84.0809020996094
550000000,-115.342338562012
560000000,-85.3012008666992
570000000,-112.308250427246
580000000,-85.1731872558594
590000000,-115.847229003906
600000000,-69.6706314086914
610000000,-117.557426452637
620000000,-85.6722564697266
630000000,-114.503128051758
640000000,-84.3493576049805
650000000,-114.81640625
660000000,-84.4845123291016
670000000,-115.289772033691
680000000,-84.2420425415039
690000000,-111.156173706055
700000000,-67.1423416137695
710000000,-120.103355407715
720000000,-85.7696838378906
730000000,-110.488098144531
740000000,-84.9275436401367
750000000,-113.686836242676
760000000,-84.2753753662109
770000000,-113.318984985352
780000000,-85.4726333618164
790000000,-112.981521606445
800000000,-79.9207916259766
810000000,-113.747314453125
820000000,-84.3207321166992
830000000,-116.905746459961
840000000,-83.7572708129883
850000000,-112.259704589844
860000000,-83.7045974731445
870000000,-114.425521850586
