Trace
Swept SA
A.21.04,N9000B
513 EP4 ,01
Segment,0
Number of Points,1001
Sweep Time,6.521066666667
Start Frequency,-80000000
Stop Frequency,9920000000
Average Count,0
Average Type,LogPower(Video)
RBW,43000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-80000000,-84.7735748291016
-70000000,-115.460418701172
-60000000,-84.7101974487305
-50000000,-113.28564453125
-40000000,-84.70849609375
-30000000,-114.206634521484
-20000000,-83.5262603759766
-10000000,-111.393913269043
0,1.39783346652985
10000000,-116.303512573242
20000000,-83.9182510375977
30000000,-111.913192749023
40000000,-84.8807601928711
50000000,-112.204803466797
60000000,-84.2258529663086
70000000,-115.143547058105
80000000,-84.6557235717773
90000000,-113.538421630859
100000000,-26.6552734375
110000000,-117.90877532959
120000000,-84.202018737793
130000000,-116.23796081543
140000000,-84.7364654541016
150000000,-116.689872741699
160000000,-83.6461639404297
170000000,-114.347549438477
180000000,-52.2695922851563
190000000,-116.221717834473
200000000,-83.2832641601563
210000000,-113.6669921875
220000000,-84.0564575195313
230000000,-117.675369262695
240000000,-83.5746688842773
250000000,-113.190879821777
260000000,-85.0040817260742
270000000,-116.91577911377
280000000,-38.2151412963867
290000000,-110.878387451172
300000000,-81.8532638549805
310000000,-112.565208435059
320000000,-84.0230407714844
330000000,-113.411483764648
340000000,-83.3906860351563
350000000,-111.166107177734
360000000,-84.3100051879883
370000000,-110.719383239746
380000000,-70.2837066650391
390000000,-111.088813781738
400000000,-83.656623840332
410000000,-112.399711608887
420000000,-83.847900390625
430000000,-110.723358154297
440000000,-84.1666564941406
450000000,-112.906578063965
460000000,-83.2169570922852
470000000,-110.305679321289
480000000,-51.4783325195313
490000000,-115.931838989258
500000000,-84.5822143554688
510000000,-112.236534118652
520000000,-82.5147476196289
530000000,-114.66641998291
540000000,-83.9532928466797
550000000,-117.164077758789
560000000,-65.7029495239258
570000000,-115.334136962891
580000000,-86.2100677490234
590000000,-110.564727783203
600000000,-85.2040557861328
610000000,-113.347137451172
620000000,-84.8877716064453
630000000,-113.087257385254
640000000,-84.8992767333984
650000000,-116.433547973633
660000000,-71.8815536499023
670000000,-116.526176452637
680000000,-85.2012405395508
690000000,-114.607330322266
700000000,-85.2328643798828
710000000,-112.790245056152
720000000,-84.5332794189453
730000000,-112.71028137207
740000000,-85.9916610717773
750000000,-109.541038513184
760000000,-70.6365356445313
770000000,-112.347099304199
780000000,-83.9036102294922
790000000,-109.775283813477
800000000,-84.6052474975586
810000000,-121.444511413574
820000000,-85.072265625
830000000,-118.455215454102
840000000,-84.6357192993164
850000000,-114.037803649902
860000000,-69.6579971313477
870000000,-113.302223205566
