"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.57724130332E+001, +0.00000000000E+000
+7.00995000000E+007, -2.61816609751E+001, +0.00000000000E+000
+1.40099000000E+008, -2.63973814682E+001, +0.00000000000E+000
+2.10098500000E+008, -2.65574880623E+001, +0.00000000000E+000
+2.80098000000E+008, -2.66945588541E+001, +0.00000000000E+000
+3.50097500000E+008, -2.68201389581E+001, +0.00000000000E+000
+4.20097000000E+008, -2.69103103226E+001, +0.00000000000E+000
+4.90096500000E+008, -2.70332178715E+001, +0.00000000000E+000
+5.60096000000E+008, -2.71023347995E+001, +0.00000000000E+000
+6.30095500000E+008, -2.71884059144E+001, +0.00000000000E+000
+7.00095000000E+008, -2.72865448293E+001, +0.00000000000E+000
+7.70094500000E+008, -2.73639646495E+001, +0.00000000000E+000
+8.40094000000E+008, -2.74527026005E+001, +0.00000000000E+000
+9.10093500000E+008, -2.75201065723E+001, +0.00000000000E+000
+9.80093000000E+008, -2.75961326297E+001, +0.00000000000E+000
+1.05009250000E+009, -2.76648219802E+001, +0.00000000000E+000
+1.12009200000E+009, -2.77214306539E+001, +0.00000000000E+000
+1.19009150000E+009, -2.78023903168E+001, +0.00000000000E+000
+1.26009100000E+009, -2.78480133764E+001, +0.00000000000E+000
+1.33009050000E+009, -2.79171957313E+001, +0.00000000000E+000
+1.40009000000E+009, -2.79967752169E+001, +0.00000000000E+000
+1.47008950000E+009, -2.80329805393E+001, +0.00000000000E+000
+1.54008900000E+009, -2.81393273472E+001, +0.00000000000E+000
+1.61008850000E+009, -2.81780054402E+001, +0.00000000000E+000
+1.68008800000E+009, -2.82475398395E+001, +0.00000000000E+000
+1.75008750000E+009, -2.83121603877E+001, +0.00000000000E+000
+1.82008700000E+009, -2.83557198094E+001, +0.00000000000E+000
+1.89008650000E+009, -2.83845464341E+001, +0.00000000000E+000
+1.96008600000E+009, -2.84596697354E+001, +0.00000000000E+000
+2.03008550000E+009, -2.85237758054E+001, +0.00000000000E+000
+2.10008500000E+009, -2.85329182666E+001, +0.00000000000E+000
+2.17008450000E+009, -2.86613966981E+001, +0.00000000000E+000
+2.24008400000E+009, -2.86290303976E+001, +0.00000000000E+000
+2.31008350000E+009, -2.87453950631E+001, +0.00000000000E+000
+2.38008300000E+009, -2.88198053609E+001, +0.00000000000E+000
+2.45008250000E+009, -2.87953957791E+001, +0.00000000000E+000
+2.52008200000E+009, -2.89911436326E+001, +0.00000000000E+000
+2.59008150000E+009, -2.90078802260E+001, +0.00000000000E+000
+2.66008100000E+009, -2.90169471728E+001, +0.00000000000E+000
+2.73008050000E+009, -2.91088471774E+001, +0.00000000000E+000
+2.80008000000E+009, -2.91446210876E+001, +0.00000000000E+000
+2.87007950000E+009, -2.91308745501E+001, +0.00000000000E+000
+2.94007900000E+009, -2.92007604187E+001, +0.00000000000E+000
