"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -6.54846467344E+001, +0.00000000000E+000
+7.00995000000E+007, -4.41642996272E+001, +0.00000000000E+000
+1.40099000000E+008, -2.86115999244E+001, +0.00000000000E+000
+2.10098500000E+008, -1.94473542817E+001, +0.00000000000E+000
+2.80098000000E+008, -1.39239620124E+001, +0.00000000000E+000
+3.50097500000E+008, -1.04642355246E+001, +0.00000000000E+000
+4.20097000000E+008, -8.40055416236E+000, +0.00000000000E+000
+4.90096500000E+008, -7.18935573958E+000, +0.00000000000E+000
+5.60096000000E+008, -6.49401362817E+000, +0.00000000000E+000
+6.30095500000E+008, -6.11931087660E+000, +0.00000000000E+000
+7.00095000000E+008, -5.89411148243E+000, +0.00000000000E+000
+7.70094500000E+008, -5.76600028457E+000, +0.00000000000E+000
+8.40094000000E+008, -5.71391444532E+000, +0.00000000000E+000
+9.10093500000E+008, -5.66117270830E+000, +0.00000000000E+000
+9.80093000000E+008, -5.67972161049E+000, +0.00000000000E+000
+1.05009250000E+009, -5.71719239278E+000, +0.00000000000E+000
+1.12009200000E+009, -5.70697310514E+000, +0.00000000000E+000
+1.19009150000E+009, -5.78262611999E+000, +0.00000000000E+000
+1.26009100000E+009, -5.83036447185E+000, +0.00000000000E+000
+1.33009050000E+009, -5.91665323535E+000, +0.00000000000E+000
+1.40009000000E+009, -6.02536635512E+000, +0.00000000000E+000
+1.47008950000E+009, -6.11139288617E+000, +0.00000000000E+000
+1.54008900000E+009, -6.26774773811E+000, +0.00000000000E+000
+1.61008850000E+009, -6.39208961361E+000, +0.00000000000E+000
+1.68008800000E+009, -6.54293475405E+000, +0.00000000000E+000
+1.75008750000E+009, -6.74201183844E+000, +0.00000000000E+000
+1.82008700000E+009, -6.90374906147E+000, +0.00000000000E+000
+1.89008650000E+009, -7.08441281151E+000, +0.00000000000E+000
+1.96008600000E+009, -7.32528347512E+000, +0.00000000000E+000
+2.03008550000E+009, -7.55358983139E+000, +0.00000000000E+000
+2.10008500000E+009, -7.75234063016E+000, +0.00000000000E+000
+2.17008450000E+009, -8.05514174274E+000, +0.00000000000E+000
+2.24008400000E+009, -8.24171587071E+000, +0.00000000000E+000
+2.31008350000E+009, -8.54690585208E+000, +0.00000000000E+000
+2.38008300000E+009, -8.84556504833E+000, +0.00000000000E+000
+2.45008250000E+009, -9.04426519310E+000, +0.00000000000E+000
+2.52008200000E+009, -9.45485606359E+000, +0.00000000000E+000
+2.59008150000E+009, -9.69888206714E+000, +0.00000000000E+000
+2.66008100000E+009, -9.93002967359E+000, +0.00000000000E+000
+2.73008050000E+009, -1.02505416895E+001, +0.00000000000E+000
+2.80008000000E+009, -1.05104607564E+001, +0.00000000000E+000
+2.87007950000E+009, -1.07472727390E+001, +0.00000000000E+000
+2.94007900000E+009, -1.09949838049E+001, +0.00000000000E+000
+3.01007850000E+009, -1.13471234491E+001, +0.00000000000E+000
+3.08007800000E+009, -1.15268629105E+001, +0.00000000000E+000
+3.15007750000E+009, -1.19012059975E+001, +0.00000000000E+000
+3.22007700000E+009, -1.21858892304E+001, +0.00000000000E+000
+3.29007650000E+009, -1.23833186577E+001, +0.00000000000E+000
+3.36007600000E+009, -1.28272473490E+001, +0.00000000000E+000
+3.43007550000E+009, -1.30299545567E+001, +0.00000000000E+000
+3.50007500000E+009, -1.33347630935E+001, +0.00000000000E+000
+3.57007450000E+009, -1.37588367376E+001, +0.00000000000E+000
+3.64007400000E+009, -1.39966402103E+001, +0.00000000000E+000
+3.71007350000E+009, -1.43461977342E+001, +0.00000000000E+000
+3.78007300000E+009, -1.46695332910E+001, +0.00000000000E+000
+3.85007250000E+009, -1.49687708155E+001, +0.00000000000E+000
+3.92007200000E+009, -1.51895278884E+001, +0.00000000000E+000
+3.99007150000E+009, -1.55768177474E+001, +0.00000000000E+000
+4.06007100000E+009, -1.58660580862E+001, +0.00000000000E+000
+4.13007050000E+009, -1.60912363900E+001, +0.00000000000E+000
+4.20007000000E+009, -1.65895724081E+001, +0.00000000000E+000
+4.27006950000E+009, -1.66872268686E+001, +0.00000000000E+000
+4.34006900000E+009, -1.70948284977E+001, +0.00000000000E+000
+4.41006850000E+009, -1.74728028219E+001, +0.00000000000E+000
+4.48006800000E+009, -1.74719013836E+001, +0.00000000000E+000
+4.55006750000E+009, -1.78704635712E+001, +0.00000000000E+000
+4.62006700000E+009, -1.80329023907E+001, +0.00000000000E+000
+4.69006650000E+009, -1.81257610275E+001, +0.00000000000E+000
+4.76006600000E+009, -1.84108440279E+001, +0.00000000000E+000
+4.83006550000E+009, -1.86321866336E+001, +0.00000000000E+000
+4.90006500000E+009, -1.88886682664E+001, +0.00000000000E+000
+4.97006450000E+009, -1.92460251649E+001, +0.00000000000E+000
+5.04006400000E+009, -1.95242001989E+001, +0.00000000000E+000
+5.11006350000E+009, -1.97709178204E+001, +0.00000000000E+000
+5.18006300000E+009, -2.01307776753E+001, +0.00000000000E+000
+5.25006250000E+009, -2.04142913463E+001, +0.00000000000E+000
+5.32006200000E+009, -2.05609293895E+001, +0.00000000000E+000
+5.39006150000E+009, -2.09060563912E+001, +0.00000000000E+000
+5.46006100000E+009, -2.11714755812E+001, +0.00000000000E+000
+5.53006050000E+009, -2.13728488803E+001, +0.00000000000E+000
+5.60006000000E+009, -2.16376223297E+001, +0.00000000000E+000
+5.67005950000E+009, -2.18758192639E+001, +0.00000000000E+000
+5.74005900000E+009, -2.21299172543E+001, +0.00000000000E+000
+5.81005850000E+009, -2.26160807442E+001, +0.00000000000E+000
+5.88005800000E+009, -2.29773383415E+001, +0.00000000000E+000
+5.95005750000E+009, -2.33449833944E+001, +0.00000000000E+000
+6.02005700000E+009, -2.39469598295E+001, +0.00000000000E+000
+6.09005650000E+009, -2.42012903125E+001, +0.00000000000E+000
+6.16005600000E+009, -2.45845898525E+001, +0.00000000000E+000
+6.23005550000E+009, -2.51252132687E+001, +0.00000000000E+000
+6.30005500000E+009, -2.53470872419E+001, +0.00000000000E+000
+6.37005450000E+009, -2.56741921129E+001, +0.00000000000E+000
+6.44005400000E+009, -2.59272396469E+001, +0.00000000000E+000
+6.51005350000E+009, -2.61969978501E+001, +0.00000000000E+000
+6.58005300000E+009, -2.63540802410E+001, +0.00000000000E+000
+6.65005250000E+009, -2.66365656195E+001, +0.00000000000E+000
+6.72005200000E+009, -2.66890190649E+001, +0.00000000000E+000
+6.79005150000E+009, -2.71194846295E+001, +0.00000000000E+000
+6.86005100000E+009, -2.72980157115E+001, +0.00000000000E+000
+6.93005050000E+009, -2.73852496754E+001, +0.00000000000E+000
+7.00005000000E+009, -2.77715676665E+001, +0.00000000000E+000
+7.07004950000E+009, -2.79352472697E+001, +0.00000000000E+000
+7.14004900000E+009, -2.77583167642E+001, +0.00000000000E+000
+7.21004850000E+009, -2.79369510515E+001, +0.00000000000E+000
+7.28004800000E+009, -2.79209078856E+001, +0.00000000000E+000
+7.35004750000E+009, -2.77832889235E+001, +0.00000000000E+000
+7.42004700000E+009, -2.80333408936E+001, +0.00000000000E+000
+7.49004650000E+009, -2.81843233700E+001, +0.00000000000E+000
+7.56004600000E+009, -2.83043890421E+001, +0.00000000000E+000
+7.63004550000E+009, -2.89342703169E+001, +0.00000000000E+000
+7.70004500000E+009, -2.92238080405E+001, +0.00000000000E+000
+7.77004450000E+009, -2.95426810146E+001, +0.00000000000E+000
+7.84004400000E+009, -2.99655440832E+001, +0.00000000000E+000
+7.91004350000E+009, -3.01104856699E+001, +0.00000000000E+000
+7.98004300000E+009, -3.01469889637E+001, +0.00000000000E+000
+8.05004250000E+009, -3.04578126823E+001, +0.00000000000E+000
+8.12004200000E+009, -3.07688802965E+001, +0.00000000000E+000
+8.19004150000E+009, -3.08102102926E+001, +0.00000000000E+000
+8.26004100000E+009, -3.13704240913E+001, +0.00000000000E+000
+8.33004050000E+009, -3.15230275455E+001, +0.00000000000E+000
+8.40004000000E+009, -3.16198718221E+001, +0.00000000000E+000
+8.47003950000E+009, -3.19381129520E+001, +0.00000000000E+000
+8.54003900000E+009, -3.18376978554E+001, +0.00000000000E+000
+8.61003850000E+009, -3.21745314227E+001, +0.00000000000E+000
+8.68003800000E+009, -3.22965650783E+001, +0.00000000000E+000
+8.75003750000E+009, -3.21196453802E+001, +0.00000000000E+000
+8.82003700000E+009, -3.26114072454E+001, +0.00000000000E+000
+8.89003650000E+009, -3.28477059736E+001, +0.00000000000E+000
+8.96003600000E+009, -3.28585660009E+001, +0.00000000000E+000
+9.03003550000E+009, -3.31950113697E+001, +0.00000000000E+000
+9.10003500000E+009, -3.33002093042E+001, +0.00000000000E+000
+9.17003450000E+009, -3.33485908355E+001, +0.00000000000E+000
+9.24003400000E+009, -3.39519840224E+001, +0.00000000000E+000
+9.31003350000E+009, -3.42782210598E+001, +0.00000000000E+000
+9.38003300000E+009, -3.45438162203E+001, +0.00000000000E+000
+9.45003250000E+009, -3.52050652909E+001, +0.00000000000E+000
+9.52003200000E+009, -3.54500225794E+001, +0.00000000000E+000
+9.59003150000E+009, -3.60936053982E+001, +0.00000000000E+000
