"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -6.75816086007E+001, +0.00000000000E+000
+7.00995000000E+007, -4.40987055611E+001, +0.00000000000E+000
+1.40099000000E+008, -2.86185955652E+001, +0.00000000000E+000
+2.10098500000E+008, -1.94536285724E+001, +0.00000000000E+000
+2.80098000000E+008, -1.39300778032E+001, +0.00000000000E+000
+3.50097500000E+008, -1.04693014222E+001, +0.00000000000E+000
+4.20097000000E+008, -8.40893823883E+000, +0.00000000000E+000
+4.90096500000E+008, -7.19291627519E+000, +0.00000000000E+000
+5.60096000000E+008, -6.50241679030E+000, +0.00000000000E+000
+6.30095500000E+008, -6.12912795153E+000, +0.00000000000E+000
+7.00095000000E+008, -5.90136090870E+000, +0.00000000000E+000
+7.70094500000E+008, -5.77150136107E+000, +0.00000000000E+000
+8.40094000000E+008, -5.72611072395E+000, +0.00000000000E+000
+9.10093500000E+008, -5.66723106302E+000, +0.00000000000E+000
+9.80093000000E+008, -5.69045350125E+000, +0.00000000000E+000
+1.05009250000E+009, -5.72723220728E+000, +0.00000000000E+000
+1.12009200000E+009, -5.71524902433E+000, +0.00000000000E+000
+1.19009150000E+009, -5.78876749004E+000, +0.00000000000E+000
+1.26009100000E+009, -5.83771147465E+000, +0.00000000000E+000
+1.33009050000E+009, -5.92594099226E+000, +0.00000000000E+000
+1.40009000000E+009, -6.03449563659E+000, +0.00000000000E+000
+1.47008950000E+009, -6.12089054704E+000, +0.00000000000E+000
+1.54008900000E+009, -6.27909168863E+000, +0.00000000000E+000
+1.61008850000E+009, -6.40485562837E+000, +0.00000000000E+000
+1.68008800000E+009, -6.55649664716E+000, +0.00000000000E+000
+1.75008750000E+009, -6.74768965341E+000, +0.00000000000E+000
+1.82008700000E+009, -6.91595293361E+000, +0.00000000000E+000
+1.89008650000E+009, -7.09742668733E+000, +0.00000000000E+000
+1.96008600000E+009, -7.33637856563E+000, +0.00000000000E+000
+2.03008550000E+009, -7.55685112741E+000, +0.00000000000E+000
+2.10008500000E+009, -7.76281265111E+000, +0.00000000000E+000
+2.17008450000E+009, -8.06198542119E+000, +0.00000000000E+000
+2.24008400000E+009, -8.25308467777E+000, +0.00000000000E+000
+2.31008350000E+009, -8.55741701856E+000, +0.00000000000E+000
+2.38008300000E+009, -8.86064724994E+000, +0.00000000000E+000
+2.45008250000E+009, -9.05547570111E+000, +0.00000000000E+000
+2.52008200000E+009, -9.46282553971E+000, +0.00000000000E+000
+2.59008150000E+009, -9.71009626285E+000, +0.00000000000E+000
+2.66008100000E+009, -9.93592376674E+000, +0.00000000000E+000
+2.73008050000E+009, -1.02566232049E+001, +0.00000000000E+000
+2.80008000000E+009, -1.05216526861E+001, +0.00000000000E+000
+2.87007950000E+009, -1.07594787955E+001, +0.00000000000E+000
+2.94007900000E+009, -1.10045380046E+001, +0.00000000000E+000
+3.01007850000E+009, -1.13578583661E+001, +0.00000000000E+000
+3.08007800000E+009, -1.15388673632E+001, +0.00000000000E+000
+3.15007750000E+009, -1.19130488898E+001, +0.00000000000E+000
+3.22007700000E+009, -1.21962946959E+001, +0.00000000000E+000
+3.29007650000E+009, -1.23928328887E+001, +0.00000000000E+000
+3.36007600000E+009, -1.28431119479E+001, +0.00000000000E+000
+3.43007550000E+009, -1.30433989349E+001, +0.00000000000E+000
+3.50007500000E+009, -1.33455619372E+001, +0.00000000000E+000
+3.57007450000E+009, -1.37678250137E+001, +0.00000000000E+000
+3.64007400000E+009, -1.40075200511E+001, +0.00000000000E+000
+3.71007350000E+009, -1.43616180982E+001, +0.00000000000E+000
+3.78007300000E+009, -1.46769336470E+001, +0.00000000000E+000
+3.85007250000E+009, -1.49791528874E+001, +0.00000000000E+000
+3.92007200000E+009, -1.51954646798E+001, +0.00000000000E+000
+3.99007150000E+009, -1.55913805872E+001, +0.00000000000E+000
+4.06007100000E+009, -1.58654952904E+001, +0.00000000000E+000
+4.13007050000E+009, -1.60983591961E+001, +0.00000000000E+000
+4.20007000000E+009, -1.65959498216E+001, +0.00000000000E+000
+4.27006950000E+009, -1.66990632818E+001, +0.00000000000E+000
+4.34006900000E+009, -1.71248663391E+001, +0.00000000000E+000
+4.41006850000E+009, -1.74882928825E+001, +0.00000000000E+000
+4.48006800000E+009, -1.74793981985E+001, +0.00000000000E+000
+4.55006750000E+009, -1.79073827254E+001, +0.00000000000E+000
+4.62006700000E+009, -1.80416822673E+001, +0.00000000000E+000
+4.69006650000E+009, -1.81487745208E+001, +0.00000000000E+000
+4.76006600000E+009, -1.84058470290E+001, +0.00000000000E+000
+4.83006550000E+009, -1.86142016090E+001, +0.00000000000E+000
+4.90006500000E+009, -1.88750976389E+001, +0.00000000000E+000
+4.97006450000E+009, -1.92454407461E+001, +0.00000000000E+000
+5.04006400000E+009, -1.95413356785E+001, +0.00000000000E+000
+5.11006350000E+009, -1.97728269267E+001, +0.00000000000E+000
+5.18006300000E+009, -2.01171192326E+001, +0.00000000000E+000
+5.25006250000E+009, -2.04192107820E+001, +0.00000000000E+000
+5.32006200000E+009, -2.05624524537E+001, +0.00000000000E+000
+5.39006150000E+009, -2.09369094152E+001, +0.00000000000E+000
+5.46006100000E+009, -2.11521571029E+001, +0.00000000000E+000
+5.53006050000E+009, -2.13743824729E+001, +0.00000000000E+000
+5.60006000000E+009, -2.16482556376E+001, +0.00000000000E+000
+5.67005950000E+009, -2.18608617679E+001, +0.00000000000E+000
+5.74005900000E+009, -2.22015331608E+001, +0.00000000000E+000
+5.81005850000E+009, -2.26483540987E+001, +0.00000000000E+000
+5.88005800000E+009, -2.29326385634E+001, +0.00000000000E+000
+5.95005750000E+009, -2.33652672404E+001, +0.00000000000E+000
+6.02005700000E+009, -2.38771056304E+001, +0.00000000000E+000
+6.09005650000E+009, -2.42309481285E+001, +0.00000000000E+000
+6.16005600000E+009, -2.46704574936E+001, +0.00000000000E+000
+6.23005550000E+009, -2.50788747712E+001, +0.00000000000E+000
+6.30005500000E+009, -2.53591596918E+001, +0.00000000000E+000
+6.37005450000E+009, -2.56587861770E+001, +0.00000000000E+000
+6.44005400000E+009, -2.59302815365E+001, +0.00000000000E+000
+6.51005350000E+009, -2.61781962859E+001, +0.00000000000E+000
+6.58005300000E+009, -2.63887868722E+001, +0.00000000000E+000
+6.65005250000E+009, -2.66453667459E+001, +0.00000000000E+000
+6.72005200000E+009, -2.67124194121E+001, +0.00000000000E+000
+6.79005150000E+009, -2.70990050928E+001, +0.00000000000E+000
+6.86005100000E+009, -2.74589961697E+001, +0.00000000000E+000
+6.93005050000E+009, -2.73283464273E+001, +0.00000000000E+000
+7.00005000000E+009, -2.77207584824E+001, +0.00000000000E+000
+7.07004950000E+009, -2.79302126485E+001, +0.00000000000E+000
+7.14004900000E+009, -2.77061427890E+001, +0.00000000000E+000
+7.21004850000E+009, -2.79584428993E+001, +0.00000000000E+000
+7.28004800000E+009, -2.79331468513E+001, +0.00000000000E+000
+7.35004750000E+009, -2.77336579206E+001, +0.00000000000E+000
+7.42004700000E+009, -2.79916430549E+001, +0.00000000000E+000
+7.49004650000E+009, -2.81132253736E+001, +0.00000000000E+000
+7.56004600000E+009, -2.83366750122E+001, +0.00000000000E+000
+7.63004550000E+009, -2.89060637836E+001, +0.00000000000E+000
+7.70004500000E+009, -2.91628659067E+001, +0.00000000000E+000
+7.77004450000E+009, -2.95578464044E+001, +0.00000000000E+000
+7.84004400000E+009, -3.00077697771E+001, +0.00000000000E+000
+7.91004350000E+009, -3.01573207289E+001, +0.00000000000E+000
+7.98004300000E+009, -3.01612815499E+001, +0.00000000000E+000
+8.05004250000E+009, -3.04490048094E+001, +0.00000000000E+000
+8.12004200000E+009, -3.06682211915E+001, +0.00000000000E+000
+8.19004150000E+009, -3.09221936647E+001, +0.00000000000E+000
+8.26004100000E+009, -3.13959164405E+001, +0.00000000000E+000
+8.33004050000E+009, -3.15719922933E+001, +0.00000000000E+000
+8.40004000000E+009, -3.15643717196E+001, +0.00000000000E+000
+8.47003950000E+009, -3.19430160337E+001, +0.00000000000E+000
+8.54003900000E+009, -3.17652479725E+001, +0.00000000000E+000
+8.61003850000E+009, -3.18615145276E+001, +0.00000000000E+000
+8.68003800000E+009, -3.23202004338E+001, +0.00000000000E+000
+8.75003750000E+009, -3.20753489816E+001, +0.00000000000E+000
+8.82003700000E+009, -3.26195304060E+001, +0.00000000000E+000
+8.89003650000E+009, -3.27429400363E+001, +0.00000000000E+000
+8.96003600000E+009, -3.28499259234E+001, +0.00000000000E+000
+9.03003550000E+009, -3.31781545831E+001, +0.00000000000E+000
+9.10003500000E+009, -3.33455583380E+001, +0.00000000000E+000
+9.17003450000E+009, -3.33808051989E+001, +0.00000000000E+000
+9.24003400000E+009, -3.40580388300E+001, +0.00000000000E+000
+9.31003350000E+009, -3.41734090980E+001, +0.00000000000E+000
+9.38003300000E+009, -3.43659518066E+001, +0.00000000000E+000
+9.45003250000E+009, -3.52731247700E+001, +0.00000000000E+000
+9.52003200000E+009, -3.52739237180E+001, +0.00000000000E+000
+9.59003150000E+009, -3.58273124633E+001, +0.00000000000E+000
+9.66003100000E+009, -3.65999547319E+001, +0.00000000000E+000
+9.73003050000E+009, -3.63591474733E+001, +0.00000000000E+000
+9.80003000000E+009, -3.71479219097E+001, +0.00000000000E+000
+9.87002950000E+009, -3.71179616252E+001, +0.00000000000E+000
+9.94002900000E+009, -3.77235889620E+001, +0.00000000000E+000
+1.00100285000E+010, -3.83189598139E+001, +0.00000000000E+000
+1.00800280000E+010, -3.85871972630E+001, +0.00000000000E+000
+1.01500275000E+010, -3.91415332542E+001, +0.00000000000E+000
+1.02200270000E+010, -3.91643646648E+001, +0.00000000000E+000
+1.02900265000E+010, -3.95606199328E+001, +0.00000000000E+000
+1.03600260000E+010, -3.96543872008E+001, +0.00000000000E+000
+1.04300255000E+010, -3.98230162220E+001, +0.00000000000E+000
+1.05000250000E+010, -4.01316788199E+001, +0.00000000000E+000
+1.05700245000E+010, -4.06521156473E+001, +0.00000000000E+000
+1.06400240000E+010, -4.05061488247E+001, +0.00000000000E+000
+1.07100235000E+010, -4.07356491238E+001, +0.00000000000E+000
+1.07800230000E+010, -4.12304691906E+001, +0.00000000000E+000
+1.08500225000E+010, -4.15932773105E+001, +0.00000000000E+000
+1.09200220000E+010, -4.20089847574E+001, +0.00000000000E+000
+1.09900215000E+010, -4.24294925463E+001, +0.00000000000E+000
+1.10600210000E+010, -4.27390448353E+001, +0.00000000000E+000
+1.11300205000E+010, -4.30826176050E+001, +0.00000000000E+000
+1.12000200000E+010, -4.38148902865E+001, +0.00000000000E+000
+1.12700195000E+010, -4.45544773618E+001, +0.00000000000E+000
+1.13400190000E+010, -4.46729404400E+001, +0.00000000000E+000
+1.14100185000E+010, -4.53683215900E+001, +0.00000000000E+000
+1.14800180000E+010, -4.65326541944E+001, +0.00000000000E+000
+1.15500175000E+010, -4.63965918715E+001, +0.00000000000E+000
+1.16200170000E+010, -4.66336557066E+001, +0.00000000000E+000
+1.16900165000E+010, -4.70917637232E+001, +0.00000000000E+000
+1.17600160000E+010, -4.72686575910E+001, +0.00000000000E+000
+1.18300155000E+010, -4.82169187614E+001, +0.00000000000E+000
+1.19000150000E+010, -4.91110647709E+001, +0.00000000000E+000
+1.19700145000E+010, -5.34576207307E+001, +0.00000000000E+000
+1.20400140000E+010, -5.14522613199E+001, +0.00000000000E+000
+1.21100135000E+010, -4.88262894215E+001, +0.00000000000E+000
+1.21800130000E+010, -4.88982962383E+001, +0.00000000000E+000
+1.22500125000E+010, -4.96257445519E+001, +0.00000000000E+000
+1.23200120000E+010, -5.12686027642E+001, +0.00000000000E+000
+1.23900115000E+010, -5.10376011486E+001, +0.00000000000E+000
+1.24600110000E+010, -5.26585271031E+001, +0.00000000000E+000
+1.25300105000E+010, -5.28258824835E+001, +0.00000000000E+000
+1.26000100000E+010, -5.33886527929E+001, +0.00000000000E+000
+1.26700095000E+010, -5.47847666216E+001, +0.00000000000E+000
+1.27400090000E+010, -5.53738398523E+001, +0.00000000000E+000
+1.28100085000E+010, -5.61255134064E+001, +0.00000000000E+000
+1.28800080000E+010, -5.51167477778E+001, +0.00000000000E+000
+1.29500075000E+010, -5.61981187567E+001, +0.00000000000E+000
+1.30200070000E+010, -5.72532226244E+001, +0.00000000000E+000
+1.30900065000E+010, -5.94157249905E+001, +0.00000000000E+000
+1.31600060000E+010, -6.14969681570E+001, +0.00000000000E+000
+1.32300055000E+010, -6.38385088205E+001, +0.00000000000E+000
+1.33000050000E+010, -6.20293299730E+001, +0.00000000000E+000
+1.33700045000E+010, -7.07274875689E+001, +0.00000000000E+000
+1.34400040000E+010, -7.38750763185E+001, +0.00000000000E+000
+1.35100035000E+010, -6.93210244095E+001, +0.00000000000E+000
+1.35800030000E+010, -6.92236300993E+001, +0.00000000000E+000
+1.36500025000E+010, -8.38113981472E+001, +0.00000000000E+000
+1.37200020000E+010, -8.62559460023E+001, +0.00000000000E+000
+1.37900015000E+010, -6.14717136656E+001, +0.00000000000E+000
+1.38600010000E+010, -6.56971084246E+001, +0.00000000000E+000
+1.39300005000E+010, -6.36116750320E+001, +0.00000000000E+000
+1.40000000000E+010, -5.99131006056E+001, +0.00000000000E+000
