"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.38609445904E-001, +0.00000000000E+000
+3.52985000000E+007, -1.05234780968E-001, +0.00000000000E+000
+7.02970000000E+007, -2.25816334720E-001, +0.00000000000E+000
+1.05295500000E+008, -1.74102621024E-001, +0.00000000000E+000
+1.40294000000E+008, -3.65657272235E-001, +0.00000000000E+000
+1.75292500000E+008, -3.36001105330E-001, +0.00000000000E+000
+2.10291000000E+008, -4.39036624126E-001, +0.00000000000E+000
+2.45289500000E+008, -5.09216255951E-001, +0.00000000000E+000
+2.80288000000E+008, -6.61944766699E-001, +0.00000000000E+000
+3.15286500000E+008, -8.31470976628E-001, +0.00000000000E+000
+3.50285000000E+008, -8.11483378163E-001, +0.00000000000E+000
+3.85283500000E+008, -8.62669158358E-001, +0.00000000000E+000
+4.20282000000E+008, -1.13794165272E+000, +0.00000000000E+000
+4.55280500000E+008, -8.81305792269E-001, +0.00000000000E+000
+4.90279000000E+008, -8.97605833608E-001, +0.00000000000E+000
+5.25277500000E+008, -1.11473039795E+000, +0.00000000000E+000
+5.60276000000E+008, -8.74653345303E-001, +0.00000000000E+000
+5.95274500000E+008, -9.88593786289E-001, +0.00000000000E+000
+6.30273000000E+008, -9.55251056394E-001, +0.00000000000E+000
+6.65271500000E+008, -9.11333192251E-001, +0.00000000000E+000
+7.00270000000E+008, -1.09005765536E+000, +0.00000000000E+000
+7.35268500000E+008, -8.79508147683E-001, +0.00000000000E+000
+7.70267000000E+008, -1.05816256912E+000, +0.00000000000E+000
+8.05265500000E+008, -1.12935306884E+000, +0.00000000000E+000
+8.40264000000E+008, -9.73328957006E-001, +0.00000000000E+000
+8.75262500000E+008, -1.32184169454E+000, +0.00000000000E+000
+9.10261000000E+008, -1.25658617348E+000, +0.00000000000E+000
+9.45259500000E+008, -1.48088968290E+000, +0.00000000000E+000
+9.80258000000E+008, -2.04577046994E+000, +0.00000000000E+000
+1.01525650000E+009, -2.76915864434E+000, +0.00000000000E+000
+1.05025500000E+009, -3.84000495444E+000, +0.00000000000E+000
+1.08525350000E+009, -3.52892426551E+000, +0.00000000000E+000
+1.12025200000E+009, -3.35438669918E+000, +0.00000000000E+000
+1.15525050000E+009, -2.45677315904E+000, +0.00000000000E+000
+1.19024900000E+009, -2.31251521577E+000, +0.00000000000E+000
+1.22524750000E+009, -2.04179314410E+000, +0.00000000000E+000
+1.26024600000E+009, -1.95054248910E+000, +0.00000000000E+000
+1.29524450000E+009, -1.80912149842E+000, +0.00000000000E+000
+1.33024300000E+009, -1.74103732411E+000, +0.00000000000E+000
+1.36524150000E+009, -1.77690513698E+000, +0.00000000000E+000
+1.40024000000E+009, -1.62067952694E+000, +0.00000000000E+000
+1.43523850000E+009, -1.80428059911E+000, +0.00000000000E+000
+1.47023700000E+009, -1.72869136953E+000, +0.00000000000E+000
+1.50523550000E+009, -1.70061261286E+000, +0.00000000000E+000
+1.54023400000E+009, -1.90204727486E+000, +0.00000000000E+000
+1.57523250000E+009, -1.76782205020E+000, +0.00000000000E+000
+1.61023100000E+009, -2.04047417243E+000, +0.00000000000E+000
+1.64522950000E+009, -2.13972482196E+000, +0.00000000000E+000
+1.68022800000E+009, -2.13177417612E+000, +0.00000000000E+000
+1.71522650000E+009, -2.78837198469E+000, +0.00000000000E+000
+1.75022500000E+009, -3.05380566519E+000, +0.00000000000E+000
+1.78522350000E+009, -4.16700570399E+000, +0.00000000000E+000
+1.82022200000E+009, -5.08285171578E+000, +0.00000000000E+000
+1.85522050000E+009, -5.43787964324E+000, +0.00000000000E+000
+1.89021900000E+009, -4.48335994259E+000, +0.00000000000E+000
+1.92521750000E+009, -3.93331002071E+000, +0.00000000000E+000
+1.96021600000E+009, -3.38539486883E+000, +0.00000000000E+000
+1.99521450000E+009, -3.06121499448E+000, +0.00000000000E+000
+2.03021300000E+009, -2.90991901667E+000, +0.00000000000E+000
+2.06521150000E+009, -2.62678038904E+000, +0.00000000000E+000
+2.10021000000E+009, -2.78315857718E+000, +0.00000000000E+000
+2.13520850000E+009, -2.51132472904E+000, +0.00000000000E+000
+2.17020700000E+009, -2.49056866539E+000, +0.00000000000E+000
+2.20520550000E+009, -2.71234290055E+000, +0.00000000000E+000
+2.24020400000E+009, -2.36596150720E+000, +0.00000000000E+000
+2.27520250000E+009, -2.53397129935E+000, +0.00000000000E+000
+2.31020100000E+009, -2.56198008949E+000, +0.00000000000E+000
+2.34519950000E+009, -2.41718953882E+000, +0.00000000000E+000
+2.38019800000E+009, -2.70003922975E+000, +0.00000000000E+000
+2.41519650000E+009, -2.59203199438E+000, +0.00000000000E+000
+2.45019500000E+009, -2.70684951210E+000, +0.00000000000E+000
+2.48519350000E+009, -3.17209850298E+000, +0.00000000000E+000
+2.52019200000E+009, -3.27759416803E+000, +0.00000000000E+000
+2.55519050000E+009, -3.82940880634E+000, +0.00000000000E+000
+2.59018900000E+009, -5.24038671726E+000, +0.00000000000E+000
+2.62518750000E+009, -6.19019695921E+000, +0.00000000000E+000
+2.66018600000E+009, -6.96593490287E+000, +0.00000000000E+000
+2.69518450000E+009, -6.12443750737E+000, +0.00000000000E+000
+2.73018300000E+009, -4.96502323439E+000, +0.00000000000E+000
+2.76518150000E+009, -4.67843683493E+000, +0.00000000000E+000
+2.80018000000E+009, -3.61985243707E+000, +0.00000000000E+000
+2.83517850000E+009, -3.82881523911E+000, +0.00000000000E+000
+2.87017700000E+009, -3.77795571555E+000, +0.00000000000E+000
+2.90517550000E+009, -3.26392077796E+000, +0.00000000000E+000
+2.94017400000E+009, -3.75771861379E+000, +0.00000000000E+000
+2.97517250000E+009, -3.21252641898E+000, +0.00000000000E+000
+3.01017100000E+009, -3.04919558210E+000, +0.00000000000E+000
+3.04516950000E+009, -3.67142692580E+000, +0.00000000000E+000
+3.08016800000E+009, -2.97614058763E+000, +0.00000000000E+000
+3.11516650000E+009, -3.20062010688E+000, +0.00000000000E+000
+3.15016500000E+009, -3.80347360309E+000, +0.00000000000E+000
+3.18516350000E+009, -2.98958252664E+000, +0.00000000000E+000
+3.22016200000E+009, -3.22283060199E+000, +0.00000000000E+000
+3.25516050000E+009, -3.58837370524E+000, +0.00000000000E+000
+3.29015900000E+009, -3.29912857956E+000, +0.00000000000E+000
+3.32515750000E+009, -3.90371915404E+000, +0.00000000000E+000
+3.36015600000E+009, -4.49629363620E+000, +0.00000000000E+000
+3.39515450000E+009, -4.58105110000E+000, +0.00000000000E+000
+3.43015300000E+009, -6.74919693641E+000, +0.00000000000E+000
+3.46515150000E+009, -6.75884951937E+000, +0.00000000000E+000
+3.50015000000E+009, -7.42877885193E+000, +0.00000000000E+000
+3.53514850000E+009, -6.19917054035E+000, +0.00000000000E+000
+3.57014700000E+009, -5.41535726946E+000, +0.00000000000E+000
+3.60514550000E+009, -5.47194577736E+000, +0.00000000000E+000
+3.64014400000E+009, -4.16306779805E+000, +0.00000000000E+000
+3.67514250000E+009, -4.72249811607E+000, +0.00000000000E+000
+3.71014100000E+009, -4.54417323035E+000, +0.00000000000E+000
+3.74513950000E+009, -3.73761801145E+000, +0.00000000000E+000
+3.78013800000E+009, -4.68384665789E+000, +0.00000000000E+000
+3.81513650000E+009, -3.96207050161E+000, +0.00000000000E+000
+3.85013500000E+009, -3.71730614551E+000, +0.00000000000E+000
+3.88513350000E+009, -4.72121477805E+000, +0.00000000000E+000
+3.92013200000E+009, -3.47220662477E+000, +0.00000000000E+000
+3.95513050000E+009, -3.56683387709E+000, +0.00000000000E+000
+3.99012900000E+009, -4.71979332376E+000, +0.00000000000E+000
+4.02512750000E+009, -3.80743713906E+000, +0.00000000000E+000
+4.06012600000E+009, -4.01351067157E+000, +0.00000000000E+000
+4.09512450000E+009, -4.41217503367E+000, +0.00000000000E+000
+4.13012300000E+009, -3.83432629366E+000, +0.00000000000E+000
+4.16512150000E+009, -4.50464107283E+000, +0.00000000000E+000
+4.20012000000E+009, -5.22070066996E+000, +0.00000000000E+000
+4.23511850000E+009, -5.25297827654E+000, +0.00000000000E+000
+4.27011700000E+009, -6.95194795973E+000, +0.00000000000E+000
+4.30511550000E+009, -6.33403531410E+000, +0.00000000000E+000
+4.34011400000E+009, -6.51477087548E+000, +0.00000000000E+000
+4.37511250000E+009, -5.60757726388E+000, +0.00000000000E+000
+4.41011100000E+009, -5.52646095002E+000, +0.00000000000E+000
+4.44510950000E+009, -5.89034335503E+000, +0.00000000000E+000
+4.48010800000E+009, -4.28852244820E+000, +0.00000000000E+000
+4.51510650000E+009, -4.90835638334E+000, +0.00000000000E+000
+4.55010500000E+009, -4.99632521769E+000, +0.00000000000E+000
+4.58510350000E+009, -4.03629590827E+000, +0.00000000000E+000
+4.62010200000E+009, -5.48289248498E+000, +0.00000000000E+000
+4.65510050000E+009, -4.78725944951E+000, +0.00000000000E+000
+4.69009900000E+009, -3.92357069578E+000, +0.00000000000E+000
+4.72509750000E+009, -5.29992699193E+000, +0.00000000000E+000
+4.76009600000E+009, -4.78134595240E+000, +0.00000000000E+000
+4.79509450000E+009, -4.35406008049E+000, +0.00000000000E+000
+4.83009300000E+009, -5.03174211377E+000, +0.00000000000E+000
+4.86509150000E+009, -4.60561496588E+000, +0.00000000000E+000
+4.90009000000E+009, -4.87266332798E+000, +0.00000000000E+000
+4.93508850000E+009, -5.18090263380E+000, +0.00000000000E+000
+4.97008700000E+009, -4.79708271920E+000, +0.00000000000E+000
+5.00508550000E+009, -5.19276015117E+000, +0.00000000000E+000
+5.04008400000E+009, -6.18809117637E+000, +0.00000000000E+000
+5.07508250000E+009, -5.99959279753E+000, +0.00000000000E+000
+5.11008100000E+009, -6.21617718929E+000, +0.00000000000E+000
+5.14507950000E+009, -6.81803905368E+000, +0.00000000000E+000
+5.18007800000E+009, -6.77398391866E+000, +0.00000000000E+000
+5.21507650000E+009, -5.97914532777E+000, +0.00000000000E+000
+5.25007500000E+009, -5.49142291777E+000, +0.00000000000E+000
+5.28507350000E+009, -6.69090349431E+000, +0.00000000000E+000
+5.32007200000E+009, -5.72122616196E+000, +0.00000000000E+000
