"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.06613145591E-001, +0.00000000000E+000
+3.52985000000E+007, -1.27795864354E-001, +0.00000000000E+000
+7.02970000000E+007, -2.59550424201E-001, +0.00000000000E+000
+1.05295500000E+008, -2.33209398389E-001, +0.00000000000E+000
+1.40294000000E+008, -4.62884946704E-001, +0.00000000000E+000
+1.75292500000E+008, -4.48267727502E-001, +0.00000000000E+000
+2.10291000000E+008, -6.93675618572E-001, +0.00000000000E+000
+2.45289500000E+008, -7.94517078149E-001, +0.00000000000E+000
+2.80288000000E+008, -1.13390018330E+000, +0.00000000000E+000
+3.15286500000E+008, -1.13915375209E+000, +0.00000000000E+000
+3.50285000000E+008, -9.34539752264E-001, +0.00000000000E+000
+3.85283500000E+008, -9.03509982933E-001, +0.00000000000E+000
+4.20282000000E+008, -1.13739474943E+000, +0.00000000000E+000
+4.55280500000E+008, -9.38313086313E-001, +0.00000000000E+000
+4.90279000000E+008, -1.03542862956E+000, +0.00000000000E+000
+5.25277500000E+008, -1.13068902190E+000, +0.00000000000E+000
+5.60276000000E+008, -9.79695718659E-001, +0.00000000000E+000
+5.95274500000E+008, -1.14894325831E+000, +0.00000000000E+000
+6.30273000000E+008, -1.09563063608E+000, +0.00000000000E+000
+6.65271500000E+008, -1.15475226641E+000, +0.00000000000E+000
+7.00270000000E+008, -1.29620514403E+000, +0.00000000000E+000
+7.35268500000E+008, -1.22247076149E+000, +0.00000000000E+000
+7.70267000000E+008, -1.73821782075E+000, +0.00000000000E+000
+8.05265500000E+008, -1.79247180521E+000, +0.00000000000E+000
+8.40264000000E+008, -2.66880348323E+000, +0.00000000000E+000
+8.75262500000E+008, -3.18344120259E+000, +0.00000000000E+000
+9.10261000000E+008, -3.22344018926E+000, +0.00000000000E+000
+9.45259500000E+008, -2.37674204624E+000, +0.00000000000E+000
+9.80258000000E+008, -2.32753025665E+000, +0.00000000000E+000
+1.01525650000E+009, -2.33377708439E+000, +0.00000000000E+000
+1.05025500000E+009, -1.90010972011E+000, +0.00000000000E+000
+1.08525350000E+009, -2.23997890703E+000, +0.00000000000E+000
+1.12025200000E+009, -2.19637403065E+000, +0.00000000000E+000
+1.15525050000E+009, -2.07105448885E+000, +0.00000000000E+000
+1.19024900000E+009, -2.12451057676E+000, +0.00000000000E+000
+1.22524750000E+009, -2.02674005310E+000, +0.00000000000E+000
+1.26024600000E+009, -2.11747154106E+000, +0.00000000000E+000
+1.29524450000E+009, -2.12437870760E+000, +0.00000000000E+000
+1.33024300000E+009, -2.41855055239E+000, +0.00000000000E+000
+1.36524150000E+009, -2.68376533717E+000, +0.00000000000E+000
+1.40024000000E+009, -3.11025224696E+000, +0.00000000000E+000
+1.43523850000E+009, -3.97306305326E+000, +0.00000000000E+000
+1.47023700000E+009, -5.29615066029E+000, +0.00000000000E+000
+1.50523550000E+009, -6.30400501702E+000, +0.00000000000E+000
+1.54023400000E+009, -5.40626115869E+000, +0.00000000000E+000
+1.57523250000E+009, -4.43394239904E+000, +0.00000000000E+000
+1.61023100000E+009, -3.57879667538E+000, +0.00000000000E+000
+1.64522950000E+009, -3.52150180833E+000, +0.00000000000E+000
+1.68022800000E+009, -3.01931566695E+000, +0.00000000000E+000
+1.71522650000E+009, -3.12314586416E+000, +0.00000000000E+000
+1.75022500000E+009, -3.13933841058E+000, +0.00000000000E+000
+1.78522350000E+009, -2.95256968767E+000, +0.00000000000E+000
+1.82022200000E+009, -3.28074673267E+000, +0.00000000000E+000
+1.85522050000E+009, -3.17203156289E+000, +0.00000000000E+000
+1.89021900000E+009, -3.19161582369E+000, +0.00000000000E+000
+1.92521750000E+009, -3.40304179016E+000, +0.00000000000E+000
+1.96021600000E+009, -3.49033867156E+000, +0.00000000000E+000
+1.99521450000E+009, -4.20291613954E+000, +0.00000000000E+000
+2.03021300000E+009, -5.01515416501E+000, +0.00000000000E+000
+2.06521150000E+009, -7.27289813124E+000, +0.00000000000E+000
+2.10021000000E+009, -8.87367088316E+000, +0.00000000000E+000
+2.13520850000E+009, -8.70990452477E+000, +0.00000000000E+000
+2.17020700000E+009, -5.84444035581E+000, +0.00000000000E+000
+2.20520550000E+009, -5.18420721730E+000, +0.00000000000E+000
+2.24020400000E+009, -4.28877381145E+000, +0.00000000000E+000
+2.27520250000E+009, -3.96842446678E+000, +0.00000000000E+000
+2.31020100000E+009, -3.95882411692E+000, +0.00000000000E+000
+2.34519950000E+009, -3.48104046475E+000, +0.00000000000E+000
+2.38019800000E+009, -3.73544022831E+000, +0.00000000000E+000
+2.41519650000E+009, -3.73677406904E+000, +0.00000000000E+000
+2.45019500000E+009, -3.64447018053E+000, +0.00000000000E+000
+2.48519350000E+009, -4.12691776975E+000, +0.00000000000E+000
+2.52019200000E+009, -4.17873654240E+000, +0.00000000000E+000
+2.55519050000E+009, -4.16819081247E+000, +0.00000000000E+000
+2.59018900000E+009, -4.84097929791E+000, +0.00000000000E+000
+2.62518750000E+009, -6.07359762635E+000, +0.00000000000E+000
+2.66018600000E+009, -7.21138667710E+000, +0.00000000000E+000
+2.69518450000E+009, -1.13778730726E+001, +0.00000000000E+000
+2.73018300000E+009, -9.89013782432E+000, +0.00000000000E+000
+2.76518150000E+009, -8.18121656176E+000, +0.00000000000E+000
+2.80018000000E+009, -5.44491472447E+000, +0.00000000000E+000
+2.83517850000E+009, -5.30122818319E+000, +0.00000000000E+000
+2.87017700000E+009, -5.06337861020E+000, +0.00000000000E+000
+2.90517550000E+009, -4.35709990823E+000, +0.00000000000E+000
+2.94017400000E+009, -4.96434541253E+000, +0.00000000000E+000
+2.97517250000E+009, -4.25089882061E+000, +0.00000000000E+000
+3.01017100000E+009, -4.21527188748E+000, +0.00000000000E+000
+3.04516950000E+009, -5.02736756908E+000, +0.00000000000E+000
+3.08016800000E+009, -4.18712677939E+000, +0.00000000000E+000
+3.11516650000E+009, -4.84484239878E+000, +0.00000000000E+000
+3.15016500000E+009, -5.65486225631E+000, +0.00000000000E+000
+3.18516350000E+009, -4.72190457791E+000, +0.00000000000E+000
+3.22016200000E+009, -6.13908636685E+000, +0.00000000000E+000
+3.25516050000E+009, -8.10689557315E+000, +0.00000000000E+000
+3.29015900000E+009, -1.16199538678E+001, +0.00000000000E+000
+3.32515750000E+009, -1.09385535260E+001, +0.00000000000E+000
+3.36015600000E+009, -8.17577950841E+000, +0.00000000000E+000
+3.39515450000E+009, -7.42386709522E+000, +0.00000000000E+000
+3.43015300000E+009, -5.69956616439E+000, +0.00000000000E+000
+3.46515150000E+009, -6.17936760056E+000, +0.00000000000E+000
+3.50015000000E+009, -6.24326825170E+000, +0.00000000000E+000
+3.53514850000E+009, -5.49480206689E+000, +0.00000000000E+000
