"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.52000000000E+009, -3.31955116541E+000, +0.00000000000E+000
+2.53980000000E+009, -3.41501073121E+000, +0.00000000000E+000
+2.55960000000E+009, -3.78266510357E+000, +0.00000000000E+000
+2.57940000000E+009, -4.25569643967E+000, +0.00000000000E+000
+2.59920000000E+009, -4.71840150866E+000, +0.00000000000E+000
+2.61900000000E+009, -4.69004293185E+000, +0.00000000000E+000
+2.63880000000E+009, -4.38224367650E+000, +0.00000000000E+000
+2.65860000000E+009, -4.22967589189E+000, +0.00000000000E+000
+2.67840000000E+009, -4.50473403671E+000, +0.00000000000E+000
+2.69820000000E+009, -4.87642425545E+000, +0.00000000000E+000
+2.71800000000E+009, -4.77256695458E+000, +0.00000000000E+000
+2.73780000000E+009, -4.20881082340E+000, +0.00000000000E+000
+2.75760000000E+009, -3.57811483070E+000, +0.00000000000E+000
+2.77740000000E+009, -3.60960731743E+000, +0.00000000000E+000
+2.79720000000E+009, -3.89036725061E+000, +0.00000000000E+000
+2.81700000000E+009, -3.80419121830E+000, +0.00000000000E+000
+2.83680000000E+009, -3.30802899942E+000, +0.00000000000E+000
+2.85660000000E+009, -2.81491384315E+000, +0.00000000000E+000
+2.87640000000E+009, -2.62647831424E+000, +0.00000000000E+000
+2.89620000000E+009, -2.79521129036E+000, +0.00000000000E+000
+2.91600000000E+009, -2.92542531589E+000, +0.00000000000E+000
+2.93580000000E+009, -3.02877805939E+000, +0.00000000000E+000
+2.95560000000E+009, -3.17589358439E+000, +0.00000000000E+000
+2.97540000000E+009, -3.11612102193E+000, +0.00000000000E+000
+2.99520000000E+009, -3.10680973450E+000, +0.00000000000E+000
+3.01500000000E+009, -3.19082586788E+000, +0.00000000000E+000
+3.03480000000E+009, -3.46672824864E+000, +0.00000000000E+000
+3.05460000000E+009, -3.77547375042E+000, +0.00000000000E+000
+3.07440000000E+009, -3.78805678926E+000, +0.00000000000E+000
+3.09420000000E+009, -3.53967784804E+000, +0.00000000000E+000
+3.11400000000E+009, -3.54911327555E+000, +0.00000000000E+000
+3.13380000000E+009, -3.65379451868E+000, +0.00000000000E+000
+3.15360000000E+009, -3.81815334923E+000, +0.00000000000E+000
+3.17340000000E+009, -3.76794054266E+000, +0.00000000000E+000
+3.19320000000E+009, -3.66746851691E+000, +0.00000000000E+000
+3.21300000000E+009, -3.99324693894E+000, +0.00000000000E+000
+3.23280000000E+009, -4.24776534711E+000, +0.00000000000E+000
+3.25260000000E+009, -4.22433819169E+000, +0.00000000000E+000
+3.27240000000E+009, -4.16032296148E+000, +0.00000000000E+000
+3.29220000000E+009, -4.72940796079E+000, +0.00000000000E+000
+3.31200000000E+009, -6.02524849260E+000, +0.00000000000E+000
+3.33180000000E+009, -6.76244493640E+000, +0.00000000000E+000
+3.35160000000E+009, -6.57964074435E+000, +0.00000000000E+000
+3.37140000000E+009, -6.26945925108E+000, +0.00000000000E+000
+3.39120000000E+009, -7.00701646303E+000, +0.00000000000E+000
+3.41100000000E+009, -8.39182502120E+000, +0.00000000000E+000
+3.43080000000E+009, -9.05096788066E+000, +0.00000000000E+000
+3.45060000000E+009, -8.57559009336E+000, +0.00000000000E+000
+3.47040000000E+009, -7.76280118569E+000, +0.00000000000E+000
+3.49020000000E+009, -7.60041405530E+000, +0.00000000000E+000
+3.51000000000E+009, -7.97173045198E+000, +0.00000000000E+000
+3.52980000000E+009, -8.16521964857E+000, +0.00000000000E+000
+3.54960000000E+009, -7.40808255725E+000, +0.00000000000E+000
+3.56940000000E+009, -6.55558627454E+000, +0.00000000000E+000
+3.58920000000E+009, -7.14396967678E+000, +0.00000000000E+000
+3.60900000000E+009, -8.43661440040E+000, +0.00000000000E+000
+3.62880000000E+009, -9.82355539882E+000, +0.00000000000E+000
+3.64860000000E+009, -1.11499453797E+001, +0.00000000000E+000
+3.66840000000E+009, -1.35851828084E+001, +0.00000000000E+000
+3.68820000000E+009, -1.63564101994E+001, +0.00000000000E+000
+3.70800000000E+009, -1.84703022473E+001, +0.00000000000E+000
+3.72780000000E+009, -2.01954128339E+001, +0.00000000000E+000
+3.74760000000E+009, -2.23953440046E+001, +0.00000000000E+000
+3.76740000000E+009, -2.39679149207E+001, +0.00000000000E+000
+3.78720000000E+009, -2.58493205463E+001, +0.00000000000E+000
+3.80700000000E+009, -2.70775310124E+001, +0.00000000000E+000
+3.82680000000E+009, -2.75084110836E+001, +0.00000000000E+000
