"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.52000000000E+009, -1.31667825597E+001, +0.00000000000E+000
+2.53980000000E+009, -1.30213379859E+001, +0.00000000000E+000
+2.55960000000E+009, -1.31834002214E+001, +0.00000000000E+000
+2.57940000000E+009, -1.33307658990E+001, +0.00000000000E+000
+2.59920000000E+009, -1.31564824237E+001, +0.00000000000E+000
+2.61900000000E+009, -1.25378266815E+001, +0.00000000000E+000
+2.63880000000E+009, -1.17721630169E+001, +0.00000000000E+000
+2.65860000000E+009, -1.13072694165E+001, +0.00000000000E+000
+2.67840000000E+009, -1.11167167807E+001, +0.00000000000E+000
+2.69820000000E+009, -1.09123311133E+001, +0.00000000000E+000
+2.71800000000E+009, -9.97839538849E+000, +0.00000000000E+000
+2.73780000000E+009, -8.75565989487E+000, +0.00000000000E+000
+2.75760000000E+009, -8.14031336645E+000, +0.00000000000E+000
+2.77740000000E+009, -7.95750485987E+000, +0.00000000000E+000
+2.79720000000E+009, -7.79300953235E+000, +0.00000000000E+000
+2.81700000000E+009, -7.67408085292E+000, +0.00000000000E+000
+2.83680000000E+009, -8.22026696383E+000, +0.00000000000E+000
+2.85660000000E+009, -8.82033295065E+000, +0.00000000000E+000
+2.87640000000E+009, -9.19244875220E+000, +0.00000000000E+000
+2.89620000000E+009, -9.25414885711E+000, +0.00000000000E+000
+2.91600000000E+009, -9.93963490779E+000, +0.00000000000E+000
+2.93580000000E+009, -1.13087097769E+001, +0.00000000000E+000
+2.95560000000E+009, -1.25263053004E+001, +0.00000000000E+000
+2.97540000000E+009, -1.28480724001E+001, +0.00000000000E+000
+2.99520000000E+009, -1.25649646979E+001, +0.00000000000E+000
+3.01500000000E+009, -1.25518608511E+001, +0.00000000000E+000
+3.03480000000E+009, -1.37693653569E+001, +0.00000000000E+000
+3.05460000000E+009, -1.55274899542E+001, +0.00000000000E+000
+3.07440000000E+009, -1.60948062465E+001, +0.00000000000E+000
+3.09420000000E+009, -1.57620693833E+001, +0.00000000000E+000
+3.11400000000E+009, -1.51473827637E+001, +0.00000000000E+000
+3.13380000000E+009, -1.54205311077E+001, +0.00000000000E+000
+3.15360000000E+009, -1.69496074253E+001, +0.00000000000E+000
+3.17340000000E+009, -1.84624410914E+001, +0.00000000000E+000
+3.19320000000E+009, -1.87769237430E+001, +0.00000000000E+000
+3.21300000000E+009, -1.80046472426E+001, +0.00000000000E+000
+3.23280000000E+009, -1.75314330577E+001, +0.00000000000E+000
+3.25260000000E+009, -1.76446111447E+001, +0.00000000000E+000
+3.27240000000E+009, -1.86316986901E+001, +0.00000000000E+000
+3.29220000000E+009, -1.90754287202E+001, +0.00000000000E+000
+3.31200000000E+009, -1.82878039150E+001, +0.00000000000E+000
+3.33180000000E+009, -1.69237010103E+001, +0.00000000000E+000
+3.35160000000E+009, -1.56441204446E+001, +0.00000000000E+000
+3.37140000000E+009, -1.58950777158E+001, +0.00000000000E+000
+3.39120000000E+009, -1.64105063327E+001, +0.00000000000E+000
+3.41100000000E+009, -1.59774783855E+001, +0.00000000000E+000
+3.43080000000E+009, -1.46424451377E+001, +0.00000000000E+000
+3.45060000000E+009, -1.31292765511E+001, +0.00000000000E+000
+3.47040000000E+009, -1.22237472476E+001, +0.00000000000E+000
+3.49020000000E+009, -1.20913043506E+001, +0.00000000000E+000
+3.51000000000E+009, -1.18653203358E+001, +0.00000000000E+000
+3.52980000000E+009, -1.09248014115E+001, +0.00000000000E+000
+3.54960000000E+009, -9.74850705842E+000, +0.00000000000E+000
+3.56940000000E+009, -8.57456039821E+000, +0.00000000000E+000
+3.58920000000E+009, -7.86865403772E+000, +0.00000000000E+000
+3.60900000000E+009, -7.52809662895E+000, +0.00000000000E+000
+3.62880000000E+009, -7.03705336921E+000, +0.00000000000E+000
+3.64860000000E+009, -6.53848889390E+000, +0.00000000000E+000
+3.66840000000E+009, -6.17645620560E+000, +0.00000000000E+000
+3.68820000000E+009, -5.74262717708E+000, +0.00000000000E+000
+3.70800000000E+009, -5.33820647846E+000, +0.00000000000E+000
+3.72780000000E+009, -5.06214475221E+000, +0.00000000000E+000
+3.74760000000E+009, -5.06878559738E+000, +0.00000000000E+000
+3.76740000000E+009, -5.28461392458E+000, +0.00000000000E+000
+3.78720000000E+009, -5.32213303652E+000, +0.00000000000E+000
+3.80700000000E+009, -4.81952569552E+000, +0.00000000000E+000
+3.82680000000E+009, -4.40344742374E+000, +0.00000000000E+000
+3.84660000000E+009, -4.58439945575E+000, +0.00000000000E+000
+3.86640000000E+009, -4.96994374082E+000, +0.00000000000E+000
+3.88620000000E+009, -5.09985718827E+000, +0.00000000000E+000
+3.90600000000E+009, -4.72761236159E+000, +0.00000000000E+000
+3.92580000000E+009, -4.44542768044E+000, +0.00000000000E+000
+3.94560000000E+009, -4.89079912194E+000, +0.00000000000E+000
+3.96540000000E+009, -5.48182023052E+000, +0.00000000000E+000
+3.98520000000E+009, -5.77235237546E+000, +0.00000000000E+000
+4.00500000000E+009, -5.67144915206E+000, +0.00000000000E+000
+4.02480000000E+009, -5.57617890660E+000, +0.00000000000E+000
+4.04460000000E+009, -6.18282699726E+000, +0.00000000000E+000
+4.06440000000E+009, -6.99721392422E+000, +0.00000000000E+000
+4.08420000000E+009, -7.59767969237E+000, +0.00000000000E+000
+4.10400000000E+009, -7.62183497485E+000, +0.00000000000E+000
+4.12380000000E+009, -7.22422587641E+000, +0.00000000000E+000
+4.14360000000E+009, -7.61559316566E+000, +0.00000000000E+000
+4.16340000000E+009, -8.61530230570E+000, +0.00000000000E+000
+4.18320000000E+009, -9.28479397778E+000, +0.00000000000E+000
+4.20300000000E+009, -9.47195367511E+000, +0.00000000000E+000
+4.22280000000E+009, -9.16781359128E+000, +0.00000000000E+000
+4.24260000000E+009, -9.01323145816E+000, +0.00000000000E+000
+4.26240000000E+009, -9.64743327071E+000, +0.00000000000E+000
+4.28220000000E+009, -1.06902400782E+001, +0.00000000000E+000
+4.30200000000E+009, -1.13800745039E+001, +0.00000000000E+000
+4.32180000000E+009, -1.13233808320E+001, +0.00000000000E+000
+4.34160000000E+009, -1.07803116498E+001, +0.00000000000E+000
+4.36140000000E+009, -1.04570599475E+001, +0.00000000000E+000
+4.38120000000E+009, -1.10770282843E+001, +0.00000000000E+000
+4.40100000000E+009, -1.22028520978E+001, +0.00000000000E+000
+4.42080000000E+009, -1.26285900368E+001, +0.00000000000E+000
+4.44060000000E+009, -1.20843444783E+001, +0.00000000000E+000
+4.46040000000E+009, -1.11295531299E+001, +0.00000000000E+000
+4.48020000000E+009, -1.07734355177E+001, +0.00000000000E+000
+4.50000000000E+009, -1.14307970412E+001, +0.00000000000E+000
+4.51980000000E+009, -1.19720415494E+001, +0.00000000000E+000
+4.53960000000E+009, -1.19589105596E+001, +0.00000000000E+000
+4.55940000000E+009, -1.12628333933E+001, +0.00000000000E+000
+4.57920000000E+009, -1.02794111182E+001, +0.00000000000E+000
+4.59900000000E+009, -9.63760953646E+000, +0.00000000000E+000
+4.61880000000E+009, -9.73407233397E+000, +0.00000000000E+000
+4.63860000000E+009, -9.94538617827E+000, +0.00000000000E+000
+4.65840000000E+009, -9.74801148560E+000, +0.00000000000E+000
+4.67820000000E+009, -9.23044768917E+000, +0.00000000000E+000
+4.69800000000E+009, -8.54907297229E+000, +0.00000000000E+000
+4.71780000000E+009, -7.88879738079E+000, +0.00000000000E+000
+4.73760000000E+009, -7.89670372489E+000, +0.00000000000E+000
+4.75740000000E+009, -8.56943901686E+000, +0.00000000000E+000
+4.77720000000E+009, -9.38785180592E+000, +0.00000000000E+000
+4.79700000000E+009, -9.54437657250E+000, +0.00000000000E+000
+4.81680000000E+009, -9.02320143524E+000, +0.00000000000E+000
+4.83660000000E+009, -8.45676962286E+000, +0.00000000000E+000
+4.85640000000E+009, -8.69966756233E+000, +0.00000000000E+000
+4.87620000000E+009, -9.71505107353E+000, +0.00000000000E+000
+4.89600000000E+009, -1.08088890964E+001, +0.00000000000E+000
+4.91580000000E+009, -1.11307101874E+001, +0.00000000000E+000
+4.93560000000E+009, -1.05043280562E+001, +0.00000000000E+000
+4.95540000000E+009, -9.77197250132E+000, +0.00000000000E+000
+4.97520000000E+009, -9.84189637990E+000, +0.00000000000E+000
+4.99500000000E+009, -1.08508084956E+001, +0.00000000000E+000
+5.01480000000E+009, -1.18125973520E+001, +0.00000000000E+000
+5.03460000000E+009, -1.17749946606E+001, +0.00000000000E+000
+5.05440000000E+009, -1.10926187309E+001, +0.00000000000E+000
+5.07420000000E+009, -1.00837439527E+001, +0.00000000000E+000
+5.09400000000E+009, -9.88381426927E+000, +0.00000000000E+000
+5.11380000000E+009, -1.08642423089E+001, +0.00000000000E+000
+5.13360000000E+009, -1.14693478050E+001, +0.00000000000E+000
+5.15340000000E+009, -1.11577781883E+001, +0.00000000000E+000
+5.17320000000E+009, -9.97788032107E+000, +0.00000000000E+000
+5.19300000000E+009, -8.87557579781E+000, +0.00000000000E+000
+5.21280000000E+009, -8.50294696651E+000, +0.00000000000E+000
+5.23260000000E+009, -8.86389382710E+000, +0.00000000000E+000
+5.25240000000E+009, -9.00556467285E+000, +0.00000000000E+000
+5.27220000000E+009, -8.95839296161E+000, +0.00000000000E+000
+5.29200000000E+009, -8.80097247003E+000, +0.00000000000E+000
+5.31180000000E+009, -8.15107420090E+000, +0.00000000000E+000
+5.33160000000E+009, -7.76081648046E+000, +0.00000000000E+000
+5.35140000000E+009, -8.13836355318E+000, +0.00000000000E+000
+5.37120000000E+009, -9.06323152324E+000, +0.00000000000E+000
+5.39100000000E+009, -1.00222521134E+001, +0.00000000000E+000
+5.41080000000E+009, -9.92604689290E+000, +0.00000000000E+000
+5.43060000000E+009, -8.97195629390E+000, +0.00000000000E+000
+5.45040000000E+009, -8.41117837797E+000, +0.00000000000E+000
+5.47020000000E+009, -8.68105400995E+000, +0.00000000000E+000
+5.49000000000E+009, -9.72283055772E+000, +0.00000000000E+000
+5.50980000000E+009, -1.04498425339E+001, +0.00000000000E+000
+5.52960000000E+009, -1.01659681597E+001, +0.00000000000E+000
+5.54940000000E+009, -9.10954037233E+000, +0.00000000000E+000
+5.56920000000E+009, -8.43574246163E+000, +0.00000000000E+000
+5.58900000000E+009, -8.67900338815E+000, +0.00000000000E+000
+5.60880000000E+009, -9.75330997939E+000, +0.00000000000E+000
+5.62860000000E+009, -1.03463118625E+001, +0.00000000000E+000
+5.64840000000E+009, -9.76586160436E+000, +0.00000000000E+000
+5.66820000000E+009, -8.62320934399E+000, +0.00000000000E+000
+5.68800000000E+009, -7.97363366500E+000, +0.00000000000E+000
+5.70780000000E+009, -8.16080884479E+000, +0.00000000000E+000
+5.72760000000E+009, -8.78879153469E+000, +0.00000000000E+000
+5.74740000000E+009, -8.63246655748E+000, +0.00000000000E+000
+5.76720000000E+009, -7.72722265349E+000, +0.00000000000E+000
+5.78700000000E+009, -7.14775828832E+000, +0.00000000000E+000
+5.80680000000E+009, -6.87995931621E+000, +0.00000000000E+000
+5.82660000000E+009, -6.59549027629E+000, +0.00000000000E+000
+5.84640000000E+009, -6.40270552969E+000, +0.00000000000E+000
+5.86620000000E+009, -6.57143641104E+000, +0.00000000000E+000
+5.88600000000E+009, -7.60435147823E+000, +0.00000000000E+000
+5.90580000000E+009, -8.45804490255E+000, +0.00000000000E+000
+5.92560000000E+009, -8.28872837196E+000, +0.00000000000E+000
+5.94540000000E+009, -7.78124905329E+000, +0.00000000000E+000
+5.96520000000E+009, -8.04743196020E+000, +0.00000000000E+000
+5.98500000000E+009, -9.42567873841E+000, +0.00000000000E+000
+6.00480000000E+009, -1.07305086139E+001, +0.00000000000E+000
+6.02460000000E+009, -1.09146699732E+001, +0.00000000000E+000
+6.04440000000E+009, -1.01689482302E+001, +0.00000000000E+000
+6.06420000000E+009, -9.44701940827E+000, +0.00000000000E+000
+6.08400000000E+009, -9.49890901055E+000, +0.00000000000E+000
+6.10380000000E+009, -1.06311005725E+001, +0.00000000000E+000
+6.12360000000E+009, -1.16026400624E+001, +0.00000000000E+000
+6.14340000000E+009, -1.16298509758E+001, +0.00000000000E+000
+6.16320000000E+009, -1.08725688285E+001, +0.00000000000E+000
+6.18300000000E+009, -9.95081679526E+000, +0.00000000000E+000
+6.20280000000E+009, -1.00963436413E+001, +0.00000000000E+000
+6.22260000000E+009, -1.11534526377E+001, +0.00000000000E+000
+6.24240000000E+009, -1.18793039040E+001, +0.00000000000E+000
+6.26220000000E+009, -1.16556068796E+001, +0.00000000000E+000
+6.28200000000E+009, -1.07904701880E+001, +0.00000000000E+000
+6.30180000000E+009, -9.81095788026E+000, +0.00000000000E+000
+6.32160000000E+009, -9.94421294894E+000, +0.00000000000E+000
+6.34140000000E+009, -1.06363817261E+001, +0.00000000000E+000
+6.36120000000E+009, -1.10744262223E+001, +0.00000000000E+000
+6.38100000000E+009, -1.07669918377E+001, +0.00000000000E+000
+6.40080000000E+009, -9.99741213204E+000, +0.00000000000E+000
+6.42060000000E+009, -9.50363948133E+000, +0.00000000000E+000
+6.44040000000E+009, -9.55282484531E+000, +0.00000000000E+000
+6.46020000000E+009, -9.75089579349E+000, +0.00000000000E+000
+6.48000000000E+009, -9.90554689157E+000, +0.00000000000E+000
