"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.22667921228E-001, +0.00000000000E+000
+3.52985000000E+007, -1.13035011371E-001, +0.00000000000E+000
+7.02970000000E+007, -2.33996831781E-001, +0.00000000000E+000
+1.05295500000E+008, -1.90410741139E-001, +0.00000000000E+000
+1.40294000000E+008, -3.97459408111E-001, +0.00000000000E+000
+1.75292500000E+008, -3.55923778628E-001, +0.00000000000E+000
+2.10291000000E+008, -5.31615596173E-001, +0.00000000000E+000
+2.45289500000E+008, -5.77720300152E-001, +0.00000000000E+000
+2.80288000000E+008, -9.07099928332E-001, +0.00000000000E+000
+3.15286500000E+008, -8.36911439187E-001, +0.00000000000E+000
+3.50285000000E+008, -7.65210478457E-001, +0.00000000000E+000
+3.85283500000E+008, -7.96047437664E-001, +0.00000000000E+000
+4.20282000000E+008, -1.04543342093E+000, +0.00000000000E+000
+4.55280500000E+008, -8.31094954921E-001, +0.00000000000E+000
+4.90279000000E+008, -9.54689224590E-001, +0.00000000000E+000
+5.25277500000E+008, -1.10761065891E+000, +0.00000000000E+000
+5.60276000000E+008, -9.05523432928E-001, +0.00000000000E+000
+5.95274500000E+008, -1.07239408125E+000, +0.00000000000E+000
+6.30273000000E+008, -1.02715617112E+000, +0.00000000000E+000
+6.65271500000E+008, -1.05279210333E+000, +0.00000000000E+000
+7.00270000000E+008, -1.19433121700E+000, +0.00000000000E+000
+7.35268500000E+008, -1.03764147578E+000, +0.00000000000E+000
+7.70267000000E+008, -1.44562175940E+000, +0.00000000000E+000
+8.05265500000E+008, -1.40036226720E+000, +0.00000000000E+000
+8.40264000000E+008, -1.86021969002E+000, +0.00000000000E+000
+8.75262500000E+008, -2.49036344981E+000, +0.00000000000E+000
+9.10261000000E+008, -2.83904813452E+000, +0.00000000000E+000
+9.45259500000E+008, -2.31283391439E+000, +0.00000000000E+000
+9.80258000000E+008, -2.35865660241E+000, +0.00000000000E+000
+1.01525650000E+009, -2.46032951817E+000, +0.00000000000E+000
+1.05025500000E+009, -1.99454515376E+000, +0.00000000000E+000
+1.08525350000E+009, -2.20909589249E+000, +0.00000000000E+000
+1.12025200000E+009, -1.99937374050E+000, +0.00000000000E+000
+1.15525050000E+009, -1.87576340196E+000, +0.00000000000E+000
+1.19024900000E+009, -1.99680201986E+000, +0.00000000000E+000
+1.22524750000E+009, -1.92542413381E+000, +0.00000000000E+000
+1.26024600000E+009, -1.97225503232E+000, +0.00000000000E+000
+1.29524450000E+009, -1.90862516855E+000, +0.00000000000E+000
+1.33024300000E+009, -2.09720493478E+000, +0.00000000000E+000
+1.36524150000E+009, -2.28945278776E+000, +0.00000000000E+000
+1.40024000000E+009, -2.60828488199E+000, +0.00000000000E+000
+1.43523850000E+009, -3.42322382157E+000, +0.00000000000E+000
+1.47023700000E+009, -4.54092301147E+000, +0.00000000000E+000
+1.50523550000E+009, -5.33592200622E+000, +0.00000000000E+000
+1.54023400000E+009, -4.55490967061E+000, +0.00000000000E+000
+1.57523250000E+009, -3.82491218788E+000, +0.00000000000E+000
+1.61023100000E+009, -3.18365648477E+000, +0.00000000000E+000
+1.64522950000E+009, -3.29525037699E+000, +0.00000000000E+000
+1.68022800000E+009, -2.73276343621E+000, +0.00000000000E+000
+1.71522650000E+009, -2.73315378271E+000, +0.00000000000E+000
+1.75022500000E+009, -2.75813617957E+000, +0.00000000000E+000
+1.78522350000E+009, -2.51462653989E+000, +0.00000000000E+000
+1.82022200000E+009, -2.76710543131E+000, +0.00000000000E+000
+1.85522050000E+009, -2.69378467690E+000, +0.00000000000E+000
+1.89021900000E+009, -2.78365857587E+000, +0.00000000000E+000
+1.92521750000E+009, -2.96608006210E+000, +0.00000000000E+000
+1.96021600000E+009, -2.97057164602E+000, +0.00000000000E+000
+1.99521450000E+009, -3.44995890813E+000, +0.00000000000E+000
+2.03021300000E+009, -3.90546781898E+000, +0.00000000000E+000
+2.06521150000E+009, -5.39756661853E+000, +0.00000000000E+000
+2.10021000000E+009, -6.75166908341E+000, +0.00000000000E+000
+2.13520850000E+009, -7.11704814270E+000, +0.00000000000E+000
+2.17020700000E+009, -4.89630956086E+000, +0.00000000000E+000
+2.20520550000E+009, -4.39548297668E+000, +0.00000000000E+000
+2.24020400000E+009, -3.70413380219E+000, +0.00000000000E+000
+2.27520250000E+009, -3.46797264767E+000, +0.00000000000E+000
+2.31020100000E+009, -3.52269314757E+000, +0.00000000000E+000
+2.34519950000E+009, -3.14069391811E+000, +0.00000000000E+000
+2.38019800000E+009, -3.34675028973E+000, +0.00000000000E+000
+2.41519650000E+009, -3.23427003022E+000, +0.00000000000E+000
+2.45019500000E+009, -3.05657528001E+000, +0.00000000000E+000
+2.48519350000E+009, -3.39471451466E+000, +0.00000000000E+000
+2.52019200000E+009, -3.37762800572E+000, +0.00000000000E+000
+2.55519050000E+009, -3.33921784082E+000, +0.00000000000E+000
+2.59018900000E+009, -3.67706607853E+000, +0.00000000000E+000
+2.62518750000E+009, -4.31273468290E+000, +0.00000000000E+000
+2.66018600000E+009, -4.58930630311E+000, +0.00000000000E+000
