"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.26053528172E-001, +0.00000000000E+000
+3.52985000000E+007, -7.96227290860E-002, +0.00000000000E+000
+7.02970000000E+007, -2.25464615318E-001, +0.00000000000E+000
+1.05295500000E+008, -1.53618075204E-001, +0.00000000000E+000
+1.40294000000E+008, -3.27078269786E-001, +0.00000000000E+000
+1.75292500000E+008, -3.24485737536E-001, +0.00000000000E+000
+2.10291000000E+008, -3.36597743085E-001, +0.00000000000E+000
+2.45289500000E+008, -4.44122925279E-001, +0.00000000000E+000
+2.80288000000E+008, -4.11052291849E-001, +0.00000000000E+000
+3.15286500000E+008, -5.07292068232E-001, +0.00000000000E+000
+3.50285000000E+008, -5.02991546705E-001, +0.00000000000E+000
+3.85283500000E+008, -5.35199633082E-001, +0.00000000000E+000
+4.20282000000E+008, -6.26094128559E-001, +0.00000000000E+000
+4.55280500000E+008, -5.62482639434E-001, +0.00000000000E+000
+4.90279000000E+008, -6.84037888862E-001, +0.00000000000E+000
+5.25277500000E+008, -6.87088993426E-001, +0.00000000000E+000
+5.60276000000E+008, -6.42874004229E-001, +0.00000000000E+000
+5.95274500000E+008, -8.21668991324E-001, +0.00000000000E+000
+6.30273000000E+008, -7.03800756658E-001, +0.00000000000E+000
+6.65271500000E+008, -7.66000233688E-001, +0.00000000000E+000
+7.00270000000E+008, -9.10420534750E-001, +0.00000000000E+000
+7.35268500000E+008, -7.25459141829E-001, +0.00000000000E+000
+7.70267000000E+008, -9.22388108704E-001, +0.00000000000E+000
+8.05265500000E+008, -9.56764364953E-001, +0.00000000000E+000
+8.40264000000E+008, -7.80949544261E-001, +0.00000000000E+000
+8.75262500000E+008, -1.04606027755E+000, +0.00000000000E+000
+9.10261000000E+008, -9.53038064932E-001, +0.00000000000E+000
+9.45259500000E+008, -8.93894620201E-001, +0.00000000000E+000
+9.80258000000E+008, -1.14172463930E+000, +0.00000000000E+000
+1.01525650000E+009, -9.78970689044E-001, +0.00000000000E+000
+1.05025500000E+009, -1.02671353551E+000, +0.00000000000E+000
+1.08525350000E+009, -1.16079619327E+000, +0.00000000000E+000
+1.12025200000E+009, -1.03423045785E+000, +0.00000000000E+000
+1.15525050000E+009, -1.15324754690E+000, +0.00000000000E+000
+1.19024900000E+009, -1.15865843815E+000, +0.00000000000E+000
+1.22524750000E+009, -1.14713945540E+000, +0.00000000000E+000
+1.26024600000E+009, -1.22914592635E+000, +0.00000000000E+000
+1.29524450000E+009, -1.18324690930E+000, +0.00000000000E+000
+1.33024300000E+009, -1.27633795565E+000, +0.00000000000E+000
+1.36524150000E+009, -1.23954438236E+000, +0.00000000000E+000
+1.40024000000E+009, -1.24415128236E+000, +0.00000000000E+000
+1.43523850000E+009, -1.40288215846E+000, +0.00000000000E+000
+1.47023700000E+009, -1.25345549242E+000, +0.00000000000E+000
+1.50523550000E+009, -1.35380835592E+000, +0.00000000000E+000
+1.54023400000E+009, -1.43419405974E+000, +0.00000000000E+000
+1.57523250000E+009, -1.28075652685E+000, +0.00000000000E+000
+1.61023100000E+009, -1.51347946230E+000, +0.00000000000E+000
+1.64522950000E+009, -1.44271786998E+000, +0.00000000000E+000
+1.68022800000E+009, -1.31721630636E+000, +0.00000000000E+000
+1.71522650000E+009, -1.59354992466E+000, +0.00000000000E+000
+1.75022500000E+009, -1.45295857249E+000, +0.00000000000E+000
+1.78522350000E+009, -1.46174985105E+000, +0.00000000000E+000
