"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.39591417542E-001, +0.00000000000E+000
+3.52985000000E+007, -1.07631828717E-001, +0.00000000000E+000
+7.02970000000E+007, -2.23459424089E-001, +0.00000000000E+000
+1.05295500000E+008, -1.78722226982E-001, +0.00000000000E+000
+1.40294000000E+008, -3.76997175503E-001, +0.00000000000E+000
+1.75292500000E+008, -3.35596432712E-001, +0.00000000000E+000
+2.10291000000E+008, -4.84196733627E-001, +0.00000000000E+000
+2.45289500000E+008, -5.25398766095E-001, +0.00000000000E+000
+2.80288000000E+008, -7.70876379871E-001, +0.00000000000E+000
+3.15286500000E+008, -8.34075906822E-001, +0.00000000000E+000
+3.50285000000E+008, -7.83552442774E-001, +0.00000000000E+000
+3.85283500000E+008, -8.24054352879E-001, +0.00000000000E+000
+4.20282000000E+008, -1.04926022279E+000, +0.00000000000E+000
+4.55280500000E+008, -8.51073667441E-001, +0.00000000000E+000
+4.90279000000E+008, -9.59209289537E-001, +0.00000000000E+000
+5.25277500000E+008, -1.05573676104E+000, +0.00000000000E+000
+5.60276000000E+008, -8.66730568176E-001, +0.00000000000E+000
+5.95274500000E+008, -1.01192036619E+000, +0.00000000000E+000
+6.30273000000E+008, -9.65827817560E-001, +0.00000000000E+000
+6.65271500000E+008, -9.74234196194E-001, +0.00000000000E+000
+7.00270000000E+008, -1.13053913828E+000, +0.00000000000E+000
+7.35268500000E+008, -9.46596094089E-001, +0.00000000000E+000
+7.70267000000E+008, -1.24920332431E+000, +0.00000000000E+000
+8.05265500000E+008, -1.22079796784E+000, +0.00000000000E+000
+8.40264000000E+008, -1.36881760389E+000, +0.00000000000E+000
+8.75262500000E+008, -2.05067455969E+000, +0.00000000000E+000
+9.10261000000E+008, -2.40967600860E+000, +0.00000000000E+000
+9.45259500000E+008, -2.73417274754E+000, +0.00000000000E+000
+9.80258000000E+008, -2.46268637043E+000, +0.00000000000E+000
+1.01525650000E+009, -2.58926777193E+000, +0.00000000000E+000
+1.05025500000E+009, -1.95562007139E+000, +0.00000000000E+000
