"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.33959907693E-001, +0.00000000000E+000
+3.52985000000E+007, -1.11734384741E-001, +0.00000000000E+000
+7.02970000000E+007, -2.26587688797E-001, +0.00000000000E+000
+1.05295500000E+008, -1.81743850562E-001, +0.00000000000E+000
+1.40294000000E+008, -3.78991847275E-001, +0.00000000000E+000
+1.75292500000E+008, -3.31487914478E-001, +0.00000000000E+000
+2.10291000000E+008, -4.85647660660E-001, +0.00000000000E+000
+2.45289500000E+008, -5.30271193107E-001, +0.00000000000E+000
+2.80288000000E+008, -8.06466605963E-001, +0.00000000000E+000
+3.15286500000E+008, -8.29198650968E-001, +0.00000000000E+000
+3.50285000000E+008, -7.40034050775E-001, +0.00000000000E+000
+3.85283500000E+008, -7.36569611644E-001, +0.00000000000E+000
+4.20282000000E+008, -1.02251655814E+000, +0.00000000000E+000
+4.55280500000E+008, -8.14264003038E-001, +0.00000000000E+000
+4.90279000000E+008, -8.96928289224E-001, +0.00000000000E+000
+5.25277500000E+008, -1.08448016043E+000, +0.00000000000E+000
+5.60276000000E+008, -8.71586453065E-001, +0.00000000000E+000
+5.95274500000E+008, -1.01605264317E+000, +0.00000000000E+000
+6.30273000000E+008, -9.67085306563E-001, +0.00000000000E+000
+6.65271500000E+008, -9.71459059527E-001, +0.00000000000E+000
+7.00270000000E+008, -1.12962544937E+000, +0.00000000000E+000
+7.35268500000E+008, -9.39700926505E-001, +0.00000000000E+000
+7.70267000000E+008, -1.24200945590E+000, +0.00000000000E+000
+8.05265500000E+008, -1.21641109964E+000, +0.00000000000E+000
+8.40264000000E+008, -1.36795097706E+000, +0.00000000000E+000
+8.75262500000E+008, -2.01048083527E+000, +0.00000000000E+000
+9.10261000000E+008, -2.34983690886E+000, +0.00000000000E+000
+9.45259500000E+008, -2.67071794532E+000, +0.00000000000E+000
+9.80258000000E+008, -2.54281332431E+000, +0.00000000000E+000
+1.01525650000E+009, -2.65229149891E+000, +0.00000000000E+000
+1.05025500000E+009, -2.01015611541E+000, +0.00000000000E+000
+1.08525350000E+009, -2.14537477548E+000, +0.00000000000E+000
+1.12025200000E+009, -1.95693707901E+000, +0.00000000000E+000
