"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.43022073806E+001, +0.00000000000E+000
+5.29850000000E+006, -1.29934398734E+001, +0.00000000000E+000
+1.02970000000E+007, -1.03769321428E+001, +0.00000000000E+000
+1.52955000000E+007, -8.14578487453E+000, +0.00000000000E+000
+2.02940000000E+007, -6.40813264491E+000, +0.00000000000E+000
+2.52925000000E+007, -5.08883954503E+000, +0.00000000000E+000
+3.02910000000E+007, -4.08206485532E+000, +0.00000000000E+000
+3.52895000000E+007, -3.31431534179E+000, +0.00000000000E+000
+4.02880000000E+007, -2.72239818227E+000, +0.00000000000E+000
+4.52865000000E+007, -2.28615551343E+000, +0.00000000000E+000
+5.02850000000E+007, -1.96553506400E+000, +0.00000000000E+000
+5.52835000000E+007, -1.74275470677E+000, +0.00000000000E+000
+6.02820000000E+007, -1.60327519959E+000, +0.00000000000E+000
+6.52805000000E+007, -1.53592738263E+000, +0.00000000000E+000
+7.02790000000E+007, -1.53475292185E+000, +0.00000000000E+000
+7.52775000000E+007, -1.59267795768E+000, +0.00000000000E+000
+8.02760000000E+007, -1.69838188065E+000, +0.00000000000E+000
+8.52745000000E+007, -1.85326775168E+000, +0.00000000000E+000
+9.02730000000E+007, -2.05726347721E+000, +0.00000000000E+000
+9.52715000000E+007, -2.32859768763E+000, +0.00000000000E+000
+1.00270000000E+008, -2.67198639608E+000, +0.00000000000E+000
+1.05268500000E+008, -3.15496806740E+000, +0.00000000000E+000
+1.10267000000E+008, -3.81655153157E+000, +0.00000000000E+000
+1.15265500000E+008, -4.70967330428E+000, +0.00000000000E+000
+1.20264000000E+008, -5.81617999971E+000, +0.00000000000E+000
+1.25262500000E+008, -6.96686592844E+000, +0.00000000000E+000
+1.30261000000E+008, -7.58915017409E+000, +0.00000000000E+000
+1.35259500000E+008, -7.25677751411E+000, +0.00000000000E+000
+1.40258000000E+008, -6.29441450832E+000, +0.00000000000E+000
+1.45256500000E+008, -5.25165902551E+000, +0.00000000000E+000
+1.50255000000E+008, -4.38979189482E+000, +0.00000000000E+000
+1.55253500000E+008, -3.73606685640E+000, +0.00000000000E+000
+1.60252000000E+008, -3.25813197792E+000, +0.00000000000E+000
+1.65250500000E+008, -2.93640967438E+000, +0.00000000000E+000
+1.70249000000E+008, -2.71584874621E+000, +0.00000000000E+000
+1.75247500000E+008, -2.57066015448E+000, +0.00000000000E+000
+1.80246000000E+008, -2.47710125016E+000, +0.00000000000E+000
+1.85244500000E+008, -2.43025559616E+000, +0.00000000000E+000
+1.90243000000E+008, -2.40841348778E+000, +0.00000000000E+000
+1.95241500000E+008, -2.41396908173E+000, +0.00000000000E+000
+2.00240000000E+008, -2.45372985726E+000, +0.00000000000E+000
+2.05238500000E+008, -2.53065203416E+000, +0.00000000000E+000
+2.10237000000E+008, -2.66943365679E+000, +0.00000000000E+000
+2.15235500000E+008, -2.90221544161E+000, +0.00000000000E+000
+2.20234000000E+008, -3.27144857487E+000, +0.00000000000E+000
+2.25232500000E+008, -3.81544776647E+000, +0.00000000000E+000
+2.30231000000E+008, -4.60671460301E+000, +0.00000000000E+000
+2.35229500000E+008, -5.69064493385E+000, +0.00000000000E+000
+2.40228000000E+008, -7.02356178195E+000, +0.00000000000E+000
+2.45226500000E+008, -8.24479947953E+000, +0.00000000000E+000
+2.50225000000E+008, -8.69794677464E+000, +0.00000000000E+000
+2.55223500000E+008, -8.11770869134E+000, +0.00000000000E+000
+2.60222000000E+008, -7.04643423104E+000, +0.00000000000E+000
+2.65220500000E+008, -6.02459008018E+000, +0.00000000000E+000
+2.70219000000E+008, -5.20536179964E+000, +0.00000000000E+000
+2.75217500000E+008, -4.58099178811E+000, +0.00000000000E+000
+2.80216000000E+008, -4.12099025756E+000, +0.00000000000E+000
+2.85214500000E+008, -3.76359672198E+000, +0.00000000000E+000
+2.90213000000E+008, -3.48285305443E+000, +0.00000000000E+000
+2.95211500000E+008, -3.25463181042E+000, +0.00000000000E+000
+3.00210000000E+008, -3.06953053816E+000, +0.00000000000E+000
+3.05208500000E+008, -2.93627260077E+000, +0.00000000000E+000
+3.10207000000E+008, -2.85392641454E+000, +0.00000000000E+000
+3.15205500000E+008, -2.82413397632E+000, +0.00000000000E+000
+3.20204000000E+008, -2.86570401935E+000, +0.00000000000E+000
+3.25202500000E+008, -2.99903401927E+000, +0.00000000000E+000
+3.30201000000E+008, -3.23316122251E+000, +0.00000000000E+000
+3.35199500000E+008, -3.60196925783E+000, +0.00000000000E+000
+3.40198000000E+008, -4.15024725716E+000, +0.00000000000E+000
+3.45196500000E+008, -4.93192938805E+000, +0.00000000000E+000
+3.50195000000E+008, -6.01012711439E+000, +0.00000000000E+000
+3.55193500000E+008, -7.41301643306E+000, +0.00000000000E+000
+3.60192000000E+008, -9.05606160080E+000, +0.00000000000E+000
+3.65190500000E+008, -1.04863705349E+001, +0.00000000000E+000
+3.70189000000E+008, -1.08769729727E+001, +0.00000000000E+000
+3.75187500000E+008, -1.00728921424E+001, +0.00000000000E+000
+3.80186000000E+008, -8.80455579620E+000, +0.00000000000E+000
+3.85184500000E+008, -7.59808384345E+000, +0.00000000000E+000
+3.90183000000E+008, -6.57855595661E+000, +0.00000000000E+000
+3.95181500000E+008, -5.76473104890E+000, +0.00000000000E+000
+4.00180000000E+008, -5.10417376118E+000, +0.00000000000E+000
+4.05178500000E+008, -4.59027129615E+000, +0.00000000000E+000
+4.10177000000E+008, -4.18152098852E+000, +0.00000000000E+000
+4.15175500000E+008, -3.89483444020E+000, +0.00000000000E+000
+4.20174000000E+008, -3.70147256304E+000, +0.00000000000E+000
+4.25172500000E+008, -3.61299859448E+000, +0.00000000000E+000
+4.30171000000E+008, -3.61176000800E+000, +0.00000000000E+000
+4.35169500000E+008, -3.72016799227E+000, +0.00000000000E+000
+4.40168000000E+008, -3.93093404245E+000, +0.00000000000E+000
+4.45166500000E+008, -4.25542090504E+000, +0.00000000000E+000
+4.50165000000E+008, -4.72282938162E+000, +0.00000000000E+000
+4.55163500000E+008, -5.36850624927E+000, +0.00000000000E+000
+4.60162000000E+008, -6.25455473115E+000, +0.00000000000E+000
+4.65160500000E+008, -7.45760631746E+000, +0.00000000000E+000
+4.70159000000E+008, -9.04264821165E+000, +0.00000000000E+000
+4.75157500000E+008, -1.10502307230E+001, +0.00000000000E+000
+4.80156000000E+008, -1.31325433403E+001, +0.00000000000E+000
