"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.50000000000E+009, +9.56619814738E+001, +0.00000000000E+000
+7.50500000000E+009, +9.26701077646E+001, +0.00000000000E+000
+7.51000000000E+009, +9.08487378493E+001, +0.00000000000E+000
+7.51500000000E+009, +8.72365122439E+001, +0.00000000000E+000
+7.52000000000E+009, +8.43027959923E+001, +0.00000000000E+000
+7.52500000000E+009, +8.17889485040E+001, +0.00000000000E+000
+7.53000000000E+009, +7.97603457313E+001, +0.00000000000E+000
+7.53500000000E+009, +7.65077463582E+001, +0.00000000000E+000
+7.54000000000E+009, +7.50715743162E+001, +0.00000000000E+000
+7.54500000000E+009, +7.33649672269E+001, +0.00000000000E+000
+7.55000000000E+009, +7.18567077290E+001, +0.00000000000E+000
+7.55500000000E+009, +6.98387532151E+001, +0.00000000000E+000
+7.56000000000E+009, +6.90969590387E+001, +0.00000000000E+000
+7.56500000000E+009, +6.78224528383E+001, +0.00000000000E+000
+7.57000000000E+009, +6.60844720025E+001, +0.00000000000E+000
+7.57500000000E+009, +6.49590359897E+001, +0.00000000000E+000
+7.58000000000E+009, +6.26119897166E+001, +0.00000000000E+000
+7.58500000000E+009, +6.20241162753E+001, +0.00000000000E+000
+7.59000000000E+009, +5.97520722595E+001, +0.00000000000E+000
+7.59500000000E+009, +5.73337322435E+001, +0.00000000000E+000
+7.60000000000E+009, +5.42004382580E+001, +0.00000000000E+000
+7.60500000000E+009, +5.20426863121E+001, +0.00000000000E+000
+7.61000000000E+009, +4.90549658290E+001, +0.00000000000E+000
+7.61500000000E+009, +4.66495143700E+001, +0.00000000000E+000
+7.62000000000E+009, +4.39082278537E+001, +0.00000000000E+000
+7.62500000000E+009, +4.09299561934E+001, +0.00000000000E+000
+7.63000000000E+009, +3.83251495921E+001, +0.00000000000E+000
+7.63500000000E+009, +3.69891079674E+001, +0.00000000000E+000
+7.64000000000E+009, +3.54241611643E+001, +0.00000000000E+000
+7.64500000000E+009, +3.30685602594E+001, +0.00000000000E+000
+7.65000000000E+009, +3.28956876275E+001, +0.00000000000E+000
+7.65500000000E+009, +3.13670758360E+001, +0.00000000000E+000
+7.66000000000E+009, +2.85618872730E+001, +0.00000000000E+000
+7.66500000000E+009, +2.85858782889E+001, +0.00000000000E+000
+7.67000000000E+009, +2.68099132101E+001, +0.00000000000E+000
