"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.50000000000E+009, -2.11876694783E+001, +0.00000000000E+000
+1.50750000000E+009, -2.15523425313E+001, +0.00000000000E+000
+1.51500000000E+009, -2.16477196921E+001, +0.00000000000E+000
+1.52250000000E+009, -2.19900086172E+001, +0.00000000000E+000
+1.53000000000E+009, -2.23520373805E+001, +0.00000000000E+000
+1.53750000000E+009, -2.27369966343E+001, +0.00000000000E+000
+1.54500000000E+009, -2.29606038377E+001, +0.00000000000E+000
+1.55250000000E+009, -2.31943578898E+001, +0.00000000000E+000
+1.56000000000E+009, -2.34525092026E+001, +0.00000000000E+000
+1.56750000000E+009, -2.36295909973E+001, +0.00000000000E+000
+1.57500000000E+009, -2.39945390294E+001, +0.00000000000E+000
+1.58250000000E+009, -2.42406653362E+001, +0.00000000000E+000
+1.59000000000E+009, -2.46984029220E+001, +0.00000000000E+000
+1.59750000000E+009, -2.49573614370E+001, +0.00000000000E+000
+1.60500000000E+009, -2.55571653659E+001, +0.00000000000E+000
+1.61250000000E+009, -2.60826339497E+001, +0.00000000000E+000
+1.62000000000E+009, -2.68041626901E+001, +0.00000000000E+000
+1.62750000000E+009, -2.75071994813E+001, +0.00000000000E+000
+1.63500000000E+009, -2.81026275040E+001, +0.00000000000E+000
+1.64250000000E+009, -2.85101406804E+001, +0.00000000000E+000
+1.65000000000E+009, -2.88981674862E+001, +0.00000000000E+000
+1.65750000000E+009, -2.91672191232E+001, +0.00000000000E+000
+1.66500000000E+009, -2.90712863940E+001, +0.00000000000E+000
+1.67250000000E+009, -2.91581161265E+001, +0.00000000000E+000
+1.68000000000E+009, -2.92254447917E+001, +0.00000000000E+000
+1.68750000000E+009, -2.93258630235E+001, +0.00000000000E+000
+1.69500000000E+009, -2.96790986186E+001, +0.00000000000E+000
+1.70250000000E+009, -3.00887226906E+001, +0.00000000000E+000
+1.71000000000E+009, -3.10090568935E+001, +0.00000000000E+000
+1.71750000000E+009, -3.24029971222E+001, +0.00000000000E+000
+1.72500000000E+009, -3.40751617153E+001, +0.00000000000E+000
+1.73250000000E+009, -3.67315736545E+001, +0.00000000000E+000
+1.74000000000E+009, -4.06984913105E+001, +0.00000000000E+000
+1.74750000000E+009, -4.55012704866E+001, +0.00000000000E+000
+1.75500000000E+009, -4.98583724859E+001, +0.00000000000E+000
+1.76250000000E+009, -4.77566167056E+001, +0.00000000000E+000
+1.77000000000E+009, -4.44173309198E+001, +0.00000000000E+000
+1.77750000000E+009, -4.32447274166E+001, +0.00000000000E+000
+1.78500000000E+009, -4.28851573937E+001, +0.00000000000E+000
+1.79250000000E+009, -4.28719399340E+001, +0.00000000000E+000
+1.80000000000E+009, -4.38290870849E+001, +0.00000000000E+000
+1.80750000000E+009, -4.48061420317E+001, +0.00000000000E+000
+1.81500000000E+009, -4.42638538298E+001, +0.00000000000E+000
+1.82250000000E+009, -4.44998650237E+001, +0.00000000000E+000
+1.83000000000E+009, -4.42487734606E+001, +0.00000000000E+000
+1.83750000000E+009, -4.40517758915E+001, +0.00000000000E+000
+1.84500000000E+009, -4.19828317605E+001, +0.00000000000E+000
+1.85250000000E+009, -3.93050496691E+001, +0.00000000000E+000
+1.86000000000E+009, -3.63112472204E+001, +0.00000000000E+000
+1.86750000000E+009, -3.40868653610E+001, +0.00000000000E+000
+1.87500000000E+009, -3.26535313474E+001, +0.00000000000E+000
+1.88250000000E+009, -3.15444698679E+001, +0.00000000000E+000
+1.89000000000E+009, -3.09682052361E+001, +0.00000000000E+000
+1.89750000000E+009, -3.08046440278E+001, +0.00000000000E+000
+1.90500000000E+009, -3.09288050680E+001, +0.00000000000E+000
+1.91250000000E+009, -3.16837658664E+001, +0.00000000000E+000
+1.92000000000E+009, -3.27727633068E+001, +0.00000000000E+000
+1.92750000000E+009, -3.36476936046E+001, +0.00000000000E+000
+1.93500000000E+009, -3.53360754932E+001, +0.00000000000E+000
+1.94250000000E+009, -3.65429957710E+001, +0.00000000000E+000
+1.95000000000E+009, -3.69337524668E+001, +0.00000000000E+000
+1.95750000000E+009, -3.60814168296E+001, +0.00000000000E+000
+1.96500000000E+009, -3.53375420720E+001, +0.00000000000E+000
+1.97250000000E+009, -3.33156081251E+001, +0.00000000000E+000
+1.98000000000E+009, -3.21690021007E+001, +0.00000000000E+000
